{'短评内容': '连续住了两日！这个酒店经常有剧组入住，可以见到明星哦', '短评打分': 5}
{'短评内容': '已经有提前交代安排安静的位置房间，结果安排靠马路（完全可以安排靠近大院一侧的），更郁闷的是卫生间隔个20分钟就有个类似抽水泵的声音，晚上11点多到现在吵的睡不着！', '短评打分': 3}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '方便快捷，位置适中', '短评打分': 5}
{'短评内容': '房间内异味很重，一点都不通风，隔音效果也很差，交通还算方便', '短评打分': 4}
{'短评内容': '早上起来洗澡水都是冷的，服务态度一点都不好，', '短评打分': 2}
{'短评内容': '还行，服务态度不错', '短评打分': 4}
{'短评内容': '好评&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '锦江之星还算可以，很干净，服务热情！', '短评打分': 5}
{'短评内容': '隔音超差，还在施工，白天晚上都好吵，睡不好，问前台要被子也没给，就挺糊弄人的', '短评打分': 5}
{'短评内容': '挺不错的房间很大1.8的床棒棒的', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '老妈说还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的入住体验', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一切都很好，只是早上起来没有热水，很难过。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房間很新維护的很好，美中不足的是位置比較偏一點，連便利商店都要走一公里才有', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '值得推薦 乾淨 設備貼心', '短评打分': 5}
{'短评内容': '前台服務態度佳 打掃阿姨非常盡職', '短评打分': 5}
{'短评内容': '到厦门玩，朋友代订，舒服共住五天', '短评打分': 4}
{'短评内容': '酒店很新，房间超大，对面有家肚包鸡，往前几百米拐弯就是大街， 就是有点偏，比较适合自驾。', '短评打分': 5}
{'短评内容': '酒店比预期结果要好多了，房间大，家具，卫浴设施及毛巾等用品都是新的，而且都是品质不错的产品。值得推荐。只是离厦门市区打的的话要花40-50元。但是公交车很方便。', '短评打分': 5}
{'短评内容': ' 酒店很干净，周边也很安静，到集美工业区办事出差是很不错的选择', '短评打分': 3}
{'短评内容': '一进入酒店,感觉挺干净的,房间配置不错,住得挺舒服的;而且我落下了一个无线鼠标，工作人员也能及时通知我去取，服务态度不错，又有停车场，总体感觉比较好，要是能提供早餐那就更好了！', '短评打分': 5}
{'短评内容': '这个锦江是新开的，装修不错，很干净，设施也齐全，早餐自费18元、位，位置不是特别好，停车现在基本没问题，但是窗户供通风的面积很小，刷卡才能上电梯，可能是为了安全的缘故。', '短评打分': 5}
{'短评内容': '这个锦江是新开的，装修不错，很干净，设施也齐全，早餐自费18元、位，位置不是特别好，价格比思明区的便宜不少，停车基本没问题，但是窗户供通风的面积很小，可能是为了安全的缘故。', '短评打分': 5}
{'短评内容': '这个锦江是新开的，装修不错，很干净，设施也齐全，早餐自费18元、位，位置不是特别好，停车基本没问题，但是窗户供通风的面积很小，可能是为了安全的缘故。', '短评打分': 5}
