{'短评内容': '帮好友出差预定，整体应该还行，就是商务出差入住一晚，休息而已，其他暂时还不是很清楚，应该周边交通等应该还好可以', '短评打分': 4}
{'短评内容': '吃的什么挺方便，还可以', '短评打分': 4}
{'短评内容': '还不错，住了三天，吃的什么都挺近，就是离市区有点路程，而且酒店也位于老城区呢边，虽然打车挺方便，但是感觉还是有点偏。', '短评打分': 4}
{'短评内容': '因出差入住，离办事地点很近，交通便利。价位也合适。附近有停车场比较方便，也可以打印发票。很不错！！！！', '短评打分': 4}
{'短评内容': '很不多', '短评打分': 5}
{'短评内容': '住着舒服，环境好', '短评打分': 5}
{'短评内容': '特别好  666', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还是比较好的，环境干净，价格优惠，房间比较大，就是离车站远一些', '短评打分': 5}
{'短评内容': '环境不错，就是网太差了', '短评打分': 4}
{'短评内容': '酒店性价比很好。值得推荐大家去看看。距离东区位置优越，出行便捷。周边吃饭好多地方。酒店自己的餐厅也很好！', '短评打分': 3}
{'短评内容': '环境还行，总体一般', '短评打分': 4}
{'短评内容': '很不错，适合住', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '卫生好，寝室干净，停车位置紧张', '短评打分': 5}
{'短评内容': '设施老旧，该重装修了，地摊不是一般的脏，酒店主营是餐饮', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '真是为办事 木办法', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境挺不错，满意。', '短评打分': 3}
{'短评内容': '交通便利，性价比高，服务一般', '短评打分': 3}
{'短评内容': '配置及环境对得起这个价位了，只是服务态度有待改进', '短评打分': 3}
{'短评内容': '位置有些偏，门口不好打车。周围吃的也很少。。。', '短评打分': 1}
{'短评内容': '不错,我住过了', '短评打分': 3}
{'短评内容': '周边交通方便，比较干净，性价比一半，购物吃饭便利。', '短评打分': 5}
{'短评内容': '交通方便，性价比一般，比较干净，周边吃饭购物方便。', '短评打分': 5}
{'短评内容': '交通比较方便,周边生活设施齐全,性价比一般.', '短评打分': 5}
{'短评内容': '地理位置上机场高速比较方便\n然后早餐还凑合 房间比较干净 也比较大', '短评打分': 5}
{'短评内容': '房间空间、设施还行，就是四个房间分别有浓重的烟味或霉味，早餐是简单的自助，周围交通吃饭还算方便。', '短评打分': 5}
{'短评内容': ' 基本可以 早餐差点', '短评打分': 3}
{'短评内容': '价格挺实惠的，环境也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '隔音效果挺好，睡眠质量挺高，价格还不贵。', '短评打分': 5}
{'短评内容': '房间看着比较干净，空间挺大的，采光很好，感觉挺不错。', '短评打分': 5}
{'短评内容': '位置还好，卫生打扫挺不错，还能提供早餐，感觉挺方便的。', '短评打分': 3}
{'短评内容': '性价比还不错性价比还不错性价比还不错性价比还不错', '短评打分': 1}
{'短评内容': '房间很宽敞，比较干净，总体不错，但我住的506房屋地漏不好，洗澡时卫生间积水严重', '短评打分': 5}
{'短评内容': '在郑州，还是要定4星级以上的酒店才保险。', '短评打分': 1}
{'短评内容': '很好的一家酒店，前台经理服务真周到，我们的巨人也很感激！下次来还会住这里！', '短评打分': 5}
{'短评内容': '还不错~就是洗澡没有热水', '短评打分': 3}
{'短评内容': '虽然那天40度，但晚上洗澡居然没有热水，还是非常难受的！\r\n第二天离店时问：为啥晚上没有热水？前台接待回复：酒店用的是太阳能，因为夏天了所以不加热了……\r\n\r\n好牵强的理由', '短评打分': 5}
