{'短评内容': '前台服务态度超级棒', '短评打分': 5}
{'短评内容': '还好哈哈哈', '短评打分': 5}
{'短评内容': '离地铁站挺近的，交通还是挺便利的。唯一不好的就是上任房间抽烟，所以进屋一股烟味。房间设备挺齐全的。基本满意吧！', '短评打分': 4}
{'短评内容': '非常完美下次还会来', '短评打分': 5}
{'短评内容': '早餐很好，酒店位置很方便出行', '短评打分': 5}
{'短评内容': '床好大呀！服务也不错，下次还去那里', '短评打分': 5}
{'短评内容': '春节期间来的，离地铁站很近，到了报姓名直接入住，环境设施马马虎虎吧', '短评打分': 5}
{'短评内容': '房间设施设备很齐全，什么都有。前台服务态度也很好，我要一间靠窗户的还真的就给我选了一间，房间很干净。唯一的就是有点小，不过这个价格还是很实惠了。下次去还会去这一家。', '短评打分': 5}
{'短评内容': '酒店位置交通很方便，搭的士搭城轨都很方便，出门吃饭也很便利，但房间偏小，由于靠近路边，不隔音，夜里睡觉有点吵，价格倒是实惠～', '短评打分': 4}
{'短评内容': '挺不错的，下次出行还会住，建议应有提示在牛角坨1出口', '短评打分': 5}
{'短评内容': '还不错，睡了两晚，对这个价位要求不能太高', '短评打分': 4}
{'短评内容': '很满意，好评', '短评打分': 5}
{'短评内容': '坚决不推荐', '短评打分': 3}
{'短评内容': '图片忘记照了，花了136，住的一楼102。住宿一般吧！空气不太流通，室内灯光不是很好。', '短评打分': 4}
{'短评内容': '酒店卫生很干净，价格也不贵。酒店位置也不错是交通枢纽中心，出游坐车很方便。', '短评打分': 5}
{'短评内容': '出差住的，地理位置很方便，价格希望能更优惠，', '短评打分': 5}
{'短评内容': '酒店位置很好 特价房无窗户', '短评打分': 3}
{'短评内容': '依然住在706.很好', '短评打分': 3}
{'短评内容': '房间大，环境好。', '短评打分': 3}
{'短评内容': '房间窗户很大，环境很不错，主要是交通便利。', '短评打分': 3}
{'短评内容': '房间很不错，服务态度也很好。', '短评打分': 3}
{'短评内容': '交通很便利，火车站、轻轨、公交都很近，机场也很近，附件还有大巴，打车也好打。服务很热情', '短评打分': 5}
{'短评内容': '交通便利，到各处都很方便，有地铁有公交，房间环境也不错', '短评打分': 5}
{'短评内容': '房间还不错，离地铁、轻轨都很近，去哪里都方便，性价比很高', '短评打分': 5}
{'短评内容': '离机场大吧上清寺站很近........................................', '短评打分': 5}
{'短评内容': '去哪里都很便捷，12元的自助早饭也很丰盛，火车站、长途汽车站都在咫尺', '短评打分': 5}
{'短评内容': '地理位置好，性价比好，加12元的自助早饭也不错，可能地处繁华市区只是有点吵', '短评打分': 5}
{'短评内容': '酒店交通方便 到火车站 汽车站 重庆大礼堂很近', '短评打分': 3}
{'短评内容': '说实话比不上成都的如家，不知道为什么这家很不一样，硬件差别太大，房间有卫生间出来的怪味，双人间都正对高架，很吵。服务没问题，但设施实在是不敢恭维~', '短评打分': 1}
{'短评内容': '大部分房间下水气味上窜厉害，去了尽量别住高层，1-4层吧。而且大部分房间靠马路，即使背马路的地方，如果开窗的话噪音也特别大。不过主要还是下水道味道太厉害了。他们自己也知道，去住的话让他们找没味道的房间。我看了好几间，本来订的是标准间，最后等了两小时也只能换个商务大床408，没什么特别大的味道。楼下的标间全部没有。上层的味道大。其他的都还可以，希望下水气味上窜的问题尽早解决。', '短评打分': 1}
{'短评内容': '一贯如家的感觉，离轻轨站近，唯一不足的是餐厅只有早餐。', '短评打分': 5}
{'短评内容': ' 出差的选择，环境不错。', '短评打分': 3}
{'短评内容': '卫生间味道比较熏人，交通还可以，走到机场大巴点也就不到10分钟，不过机场大巴旁边有个7天连锁，更近，：-）', '短评打分': 5}
