{'descr': '。', 'star': 5}
{'descr': '总体还不错，就是没窗户，别的都还好。', 'star': 5}
{'descr': '离重大近，去重大办事选的这里', 'star': 4}
{'descr': '房间在一楼，部分房间没有窗，但去重大办事比较方便。', 'star': 4}
{'descr': '离重庆大学比较近', 'star': 4}
{'descr': '房间设施老旧', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '价格高什么都没有，味道大，服务态度不好', 'star': 1}
{'descr': '为了办事情方便特意订的，普通的酒店，房间比较小', 'star': 4}
{'descr': '第二次定了，很不错，离学校近', 'star': 5}
{'descr': '房间间环境还是不错 ，干净，床比较大 ，就是网速太慢了', 'star': 5}
{'descr': '房间间环境还是不错 ，干净，床比较大 ，就是网速太慢了', 'star': 5}
{'descr': '性价比很不错的酒店，房间装修挺新的，服务态度也很好。', 'star': 5}
{'descr': '性价比很不错的酒店，房间装修挺新的，服务态度也很好。', 'star': 5}
{'descr': '除了没有窗户，其他的条件都不错，干净、态度好、交通便利。推荐', 'star': 5}
{'descr': '除了没有窗户，其他的条件都不错，干净、态度好、交通便利。推荐', 'star': 5}
{'descr': '离重庆大学很近，房间比较小，装修挺新的，还不错', 'star': 5}
{'descr': '离重庆大学很近，房间比较小，装修挺新的，还不错', 'star': 5}
{'descr': '隔音效果很差 隔壁放水的声音都听的到 好多都没有窗户 有的也是在上方的 不透气 打不开', 'star': 1}
{'descr': '隔音效果很差 隔壁放水的声音都听的到 好多都没有窗户 有的也是在上方的 不透气 打不开', 'star': 1}
{'descr': '酒店经济又恨舒适，不错.旁边就是重大，附近的交通也很顺畅', 'star': 5}
{'descr': '酒店经济又恨舒适，不错.旁边就是重大，附近的交通也很顺畅', 'star': 5}
{'descr': '前台服务不错 缺点就是没有窗户。。。。。', 'star': 5}
{'descr': '前台服务不错 缺点就是没有窗户。。。。。', 'star': 5}
{'descr': '整体感觉比较干净 交通方便 超市就在隔壁 不错', 'star': 5}
{'descr': '整体感觉比较干净 交通方便 超市就在隔壁 不错', 'star': 5}
{'descr': '酒店位置不错，距离重庆大学比较近，楼下超市、七中好吃一条街等比较方便，但入住那天出现两次警报自动报警，立马咨询酒店前台，但是酒店方并未采取措施，只是说“该警报不属于酒店管辖范围”，第二天要考试，都影响休息，建议酒店负责人与该楼的物业联系，酒店本来就是休息的地方，警报突然响起，我都差点冲出酒店!!!虚惊一场！！！', 'star': 5}
{'descr': '酒店位置不错，距离重庆大学比较近，楼下超市、七中好吃一条街等比较方便，但入住那天出现两次警报自动报警，立马咨询酒店前台，但是酒店方并未采取措施，只是说“该警报不属于酒店管辖范围”，第二天要考试，都影响休息，建议酒店负责人与该楼的物业联系，酒店本来就是休息的地方，警报突然响起，我都差点冲出酒店!!!虚惊一场！！！', 'star': 5}
{'descr': '很迷你的家庭矛盾式的宾馆，150的房间只够一个人住，大部分都在一层，员工还算热情。在重大旁边，参加考试学习什么的不错的选择。', 'star': 3}
{'descr': '很迷你的家庭矛盾式的宾馆，150的房间只够一个人住，大部分都在一层，员工还算热情。在重大旁边，参加考试学习什么的不错的选择。', 'star': 3}
{'descr': '前台美女！服务热情、住宿环境安静干净、配置齐全。性价比很高！', 'star': 3}
{'descr': '前台美女！服务热情、住宿环境安静干净、配置齐全。性价比很高！', 'star': 3}
{'descr': '干净、宽敞，很好，物有所值，值得推荐。', 'star': 3}
{'descr': '干净、宽敞，很好，物有所值，值得推荐。', 'star': 3}
{'descr': '服务不错', 'star': 3}
{'descr': '服务不错', 'star': 3}
{'descr': '？性价比比较高，环境干净卫生', 'star': 3}
{'descr': '？性价比比较高，环境干净卫生', 'star': 3}
{'descr': '该酒店超级差！！！ 首先是空调，居然在启动后的几个小时内没暖气，一个字：冷！其次，酒店网络我就不敢恭维了！平均半分钟掉线一次！郁闷。，。。。。。。。', 'star': 1}
{'descr': '该酒店超级差！！！ 首先是空调，居然在启动后的几个小时内没暖气，一个字：冷！其次，酒店网络我就不敢恭维了！平均半分钟掉线一次！郁闷。，。。。。。。。', 'star': 1}
