{'短评内容': '就设施有点差，洗脸龙头放不出冷水', '短评打分': 5}
{'短评内容': '不错哦，环境很好。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '总体还不错吧', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，里面设施非常干净，满意', '短评打分': 5}
{'短评内容': '环境好，卫生干净，靠近商业区方便', '短评打分': 5}
{'短评内容': '不错，房间干净', '短评打分': 5}
{'短评内容': '京东的酒店服务挺不错的', '短评打分': 5}
{'短评内容': '酒店还不错，舒适干净，也安静，值得大家选择', '短评打分': 5}
{'短评内容': '嗯  真好', '短评打分': 5}
{'短评内容': '总体而言不错的选择', '短评打分': 5}
{'短评内容': '经常去，挺好的', '短评打分': 5}
{'短评内容': '挺好的呢，性价比可以，额外买了一份早餐，早餐15元，自助，很好吃！小香肠火腿，炒菜炒饭炒面，喜欢', '短评打分': 3}
{'短评内容': '酒店算是可以', '短评打分': 5}
{'短评内容': '房间挺干净，有暖气，挺暖和，无线网络速度也还不错，旁边有大型购物超市，很方便', '短评打分': 5}
{'短评内容': '还行吧。', '短评打分': 5}
{'短评内容': '地理位置好，近长江利群，服务态度好，免费升级的商务房。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧。', '短评打分': 4}
{'短评内容': '位置还不错，就是停车比较麻烦', '短评打分': 5}
{'短评内容': '位置好，在商业街附近有大型购物商场。性价比高，早餐不错', '短评打分': 5}
{'短评内容': '房间有点小 但还算干净 旁边的火锅店挺好吃 附近比较繁华 ', '短评打分': 5}
{'短评内容': '环境很好很满意', '短评打分': 3}
{'短评内容': '酒店环境挺好的100分，但是客观的说，前台人员态度较差，没有礼貌，似乎没有经过上岗之前的专业培训。让人感觉十分不爽。之所以住这，是因为到客户这里比较方便，否则我会换一家的。', '短评打分': 1}
