{'短评内容': '去南山寺 天涯海角的人们一定要在这里住 真的很方便 公交一小时 感谢老板帮我们升级了海景房 房间很大 出门过马路就是海边 安静惬意 ', '短评打分': 5}
{'短评内容': '除了阳台上能看到海，其他什么都差！！！', '短评打分': 2}
{'短评内容': '环境一般吧。', '短评打分': 4}
{'短评内容': '一般……', '短评打分': 4}
{'短评内容': '老板人不错。。', '短评打分': 5}
{'短评内容': '外景不错', '短评打分': 5}
{'短评内容': '免费升级两室一厅超值 下次还在这里住 阳台和卧室可以看见大海 楼下小区有个大游泳池 吃饭远点 可以自己做 出小区3分钟走到海边 尽情玩耍', '短评打分': 5}
{'短评内容': '房间非常干净，有点类似住家，有厨房有洗衣机有冰箱，还可以看电视，离海很近 ，走路三分钟，听着海浪入睡，非常赞，价格便宜，没想到能住这么好的房间，楼下还有游泳池，下次带爸妈过来住～～', '短评打分': 5}
{'短评内容': '房间布局还算合理，一般硬件可行，部分老化，适合家庭居住，情侣居住，周边环境很好，吃饭不是很方便，建议有车最好，可以晚上去市区吃饭，走路过去有点小累，很喜欢周围的环境', '短评打分': 4}
{'短评内容': '出门就是大海，小区环境也不错，房间够大，老板免费升级一室一厅，多谢！', '短评打分': 5}
{'短评内容': '位置特别好，晚上睡的很舒适，完全不吵，真真是闹中取静。卫生也挺满意的，会推荐朋友来的哦！', '短评打分': 5}
{'短评内容': '房间不错，晚上还能听到海浪声，每一会就睡着了，那种感觉好奇妙的。', '短评打分': 5}
{'短评内容': '房间不错，海景美美哒，挺满意的。', '短评打分': 5}
{'短评内容': '这家挺不错的，风景美，房间佳，好评。', '短评打分': 5}
{'短评内容': '房间不错，天气好的时候看海景太美啦，最后都不舍得走了。', '短评打分': 5}
{'短评内容': '房间设施蛮不错，装修也简洁大气，让人感觉蛮不错的。', '短评打分': 5}
{'短评内容': '第一次去三亚旅游，总想预定一间靠海的房子，问了好几家酒店，发现价格超出了我承受范围，于是在网上抱着试一试的态度搜了一些度假公寓，对比了一番，看一看酒店介绍，最终预定了吉营度假公寓。入住后，简直比我想象中的还要完美，房间明亮，床很舒坦，卫浴齐全，生活方便，关键还有一个临海的阳台，站在阳台上美丽的三亚湾一览无遗，傍晚吃晚饭后还可以和女朋友共享夕阳，走不到50米的路，可以泡一泡清澈的海水，去天涯海角、南', '短评打分': 5}
{'短评内容': '很不错的一家酒店式公寓，离海很近，出小区就是海，而且算是比较新的小区，很干净，也不吵。老板人很好，帮我免费升到了两居，呵呵。价格在这附近算是便宜的，个人认为性价比很高,下次去海南还会考虑住这。', '短评打分': 5}
{'短评内容': '非常好的公寓，昨天晚上很晚才入住，今天早上起得也比较晚，不过一打开窗子海景很好，而且在房间里也能看到大海，老板很细心很周到，推荐个大家', '短评打分': 5}
