{'短评内容': '挺好的，房间空间不小，卫生和酒店的位置都挺不错的', '短评打分': 5}
{'短评内容': '酒店的位置和卫生环境都不错，房间也比较宽敞', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '不明白为什么所有的毛巾，一次性杯子都要用塑料袋套上，不是很不环保吗？套上也没觉得毛巾有多好。餐厅倒是不错。房间里面还有装修的味道。卫生间太小了，面盆居然和淋浴同用一个水龙头.....', '短评打分': 4}
{'短评内容': '方便快捷的预订方式，好。', '短评打分': 5}
{'短评内容': '很好，清洁，服务好', '短评打分': 5}
{'短评内容': '还可以吧，家里亲戚来住，帮他们预订的，周边没有地铁只有公交，也没什么可逛的商场。', '短评打分': 4}
{'短评内容': '因为是新店，所以各方面非常好。早餐厅很大，早餐也很好。在经济型酒店里算是好的了。交通也很方便，临着大马路。', '短评打分': 5}
{'短评内容': '是这样的，我和朋友出门旅游，同时想到海宁买点皮衣、包包什么的。由于不是专程去的，所以，没有提前预定目标、更找不到合适我的酒店。到了之后，就在皮革城附近网上搜索，感觉这家不错。就定下来了。结果，一入住，发现比我原来想象的要好。周边环境好。吃饭也方便，设施齐全。所以十分满意。我计划明年再来一次。还住这里。朋友们可以试试。绝对暖心。0k！', '短评打分': 5}
{'短评内容': '是这样的，我和朋友出门旅游，同时想到海宁买点皮衣、包包什么的。由于不是专程去的，所以，没有提前预定目标、更找不到合适我的酒店。到了之后，就在皮革城附近网上搜索，感觉这家不错。就定下来了。结果，一入住，发现比我原来想象的要好。周边环境好。吃饭也方便，设施齐全。所以十分满意。我计划明年再来一次。还住这里。朋友们可以试试。绝对暖心。0k！', '短评打分': 5}
{'短评内容': '没什么说的，一个字，就是“好”！', '短评打分': 4}
{'短评内容': '还不错 环境还可以 比较方便 下次还来', '短评打分': 5}
{'短评内容': '总体还算可以，经济型酒店，不要要求太多。干净卫生就好。离地铁站远了点，附近吃的也不多，环境还不错。值得推荐。', '短评打分': 4}
{'短评内容': '环境不错，价格也实惠，就是有小卡片，需要加费管理。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '适合出行居住', '短评打分': 4}
{'短评内容': '干净卫生，还好，周边交通也比较方便，在上海能这样很满足！', '短评打分': 5}
{'短评内容': '酒店亮堂舒适，总体不错！', '短评打分': 3}
{'短评内容': '住了好多次，不错，在上海（浦东）配得上这个价格。', '短评打分': 5}
{'短评内容': '酒店比较大，位置不错，设施方便，房间整洁，推荐入住', '短评打分': 5}
{'短评内容': '酒店环境清幽，房间也不错，设施方便，适宜出差入住', '短评打分': 5}
{'短评内容': '花木店距离地铁非常近，楼下又有很多好吃的，临街还有大排档，价格合理，早餐也很好吃，服务又非常好，距离中国馆等步行十分钟就到了，总之相比其他锦江，我觉得这个性价比最高', '短评打分': 5}
{'短评内容': '非常不错，交通方便，吃饭也方便，干净卫生', '短评打分': 5}
{'短评内容': '卫生：干净；位置：不方便，出入必打的；服务：态度生硬；房间：面积较小，设施较新，床还不错；卫生间：迷你型卫生间，值得一提的是：淋浴头连着洗手盆水龙头，这种造型亏你们想得出来？住了这么多宾馆这还是第一次遇见。总体评价：中等偏下。', '短评打分': 1}
{'短评内容': '环境挺不错的，干净优雅很温馨，有家的感觉，下次还来这住同时也会给我的朋友推荐', '短评打分': 5}
{'短评内容': '很好，下次还住这里，早餐特别好，物美价廉，服务周到', '短评打分': 5}
{'短评内容': '整体感觉还不错，交通也蛮方便的。下回到上海还会考虑住。', '短评打分': 5}
{'短评内容': '女儿说幽静，有庄园的感觉。', '短评打分': 3}
{'短评内容': '干净，性价比比较高，另外就是交通方便，适合私人付款住宿', '短评打分': 5}
{'短评内容': '附近还有格林豪泰、如家快捷酒店，周边可吃的饭馆就很少了！', '短评打分': 5}
{'短评内容': '距离展馆位置打的要14元的起步价！距离展馆位置打的要14元的起步价！距离展馆位置打的要14元的起步价！', '短评打分': 5}
{'短评内容': '房间和床小了些！房间和床小了些！房间和床小了些！房间和床小了些！房间和床小了些！', '短评打分': 5}
{'短评内容': '房间情况还好！房间情况还好！房间情况还好！房间情况还好！房间情况还好！', '短评打分': 5}
{'短评内容': '锦江之星是国内连锁酒店中比较好的，比如家、七天、汉庭之类好多了。', '短评打分': 5}
{'短评内容': '交通方便，价格实惠，另外比较干净，适合自费居住', '短评打分': 5}
{'短评内容': '很赶紧，很卫生。不错。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常不错，舒适又卫生，餐厅更是超级棒，特色菜好吃的不得了，持房卡早餐才23块，超值！就是离地铁站有点远，要走过两条街还不止。', '短评打分': 5}
{'短评内容': '连锁洒店锦江之星就不用多说了，房间床感觉小了点，洒店早餐不错。', '短评打分': 5}
{'短评内容': '满意,公务,旅行较好选择', '短评打分': 3}
{'短评内容': '如果参加上海新国际博览中心的展览，该酒店还是性价比最高的选择！', '短评打分': 5}
{'短评内容': '环境挺好,交通一般.', '短评打分': 3}
{'短评内容': '酒店环境还不错.房间还可以.只是卫生间小一点.距离新国际博览中心打车起步价.总的来说还不错.', '短评打分': 5}
{'短评内容': '还不错的酒店 服务还可以 停车场比较大 路比较好找', '短评打分': 5}
{'短评内容': '酒店位置离展馆不远,开车10分钟能到.\n房间隔音效果也还好.\n酒店的餐厅也可以.', '短评打分': 5}
{'短评内容': '地理条件很好 卫生方面也可以  价格适中 经济型', '短评打分': 5}
{'短评内容': '房间很干净，住的挺舒服，就是隔音效果不是太好，如果改进了，就更好了。总体来说，经济实惠！', '短评打分': 5}
{'短评内容': '连锁酒店来说是蛮不错的一家。就是早餐差点。但是下回还会选这家。', '短评打分': 5}
{'短评内容': '环境还不错，不过早餐一般，没什么好选择。下回还会选择这家！', '短评打分': 5}
{'短评内容': '交通方便，比较合适第二天到浦东机场的过路旅客', '短评打分': 5}
{'短评内容': '还不错，但是个人觉得房间太小，住一两天还好，而且交通不是很方便', '短评打分': 5}
{'短评内容': '周围吃饭不太方便，特别是早餐没什么选择。虽然楼下就是锦江大厨，但这毕竟不能满足每天的用餐需求。酒店的地理位置一般，交通不是很方便。\n房间不大还可以接受，但床实在是太小了，也就是100X200CM，实在是不太舒服。 卫生间之小可以PK飞机上的洗手间。', '短评打分': 1}
{'短评内容': '还行.只是房型不是很喜欢，服务什么的都还不错', '短评打分': 5}
{'短评内容': '管理不错,干净卫生;没有浴帽,不方便,建议酒店提供;\n', '短评打分': 5}
{'短评内容': '隔音太差', '短评打分': 3}
{'短评内容': '一般吧，空调不好，热水还行，吃饭方便。！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错，就是冬天空调不太好。不过热水很好，多冲一会加点暖了。', '短评打分': 5}
{'短评内容': '房间很宽敞，也很干净，对于出差旅游来说还是很不错的选择！', '短评打分': 5}
{'短评内容': '标A房间太小', '短评打分': 3}
{'短评内容': '这家锦江之星的房间面积在上海锦江之星店中算是蛮大的了,到浦东机场很方便', '短评打分': 5}
{'短评内容': '这家酒店有分无烟区房间。安静、卫生、正规。跟大酒店一样。完全不像所想象的快捷酒店。我感觉超过很多三星级酒店。我给100分。', '短评打分': 5}
{'短评内容': '酒店环境不错，停车方便，服务很好，卫生也不错！\n同一楼内就有锦江大厨可以用餐，很方便也很经济。\n这次主要去了巧克力梦工厂和上海科技馆，酒店离这两个地方都不远。\n记忆中我已是第四次入住该酒店，真的不错！', '短评打分': 5}
{'短评内容': '房间不错，简约干净。', '短评打分': 3}
{'短评内容': '环境挺好，比较干净，旁边锦江大厨还能解决吃饭问题，方便，就是离地铁站稍远', '短评打分': 5}
{'短评内容': '还不错，地理位置好，出行方便，坐车、地铁都不错，服务态度也比较好，。', '短评打分': 5}
{'短评内容': '第二天要赶磁悬浮，所以选择了这个酒店，出乎意料，房间很温馨,很干净整洁，总之性价比不错，自费早餐么就一般了', '短评打分': 5}
{'短评内容': '很好，很干净，下次还去，真有一种到家的感觉，装修风格很温馨', '短评打分': 5}
{'短评内容': '很方便，楼下餐厅饭菜非常可口。早餐也丰富', '短评打分': 5}
{'短评内容': '还好房间还是有些温馨的', '短评打分': 3}
{'短评内容': '  环境卫生特别好 装饰高档 住得舒服.....', '短评打分': 5}
{'短评内容': '不错，就是早餐有点贵，23元一位，不值！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '公司同事多次入住该酒店，说环境好，交通便捷。', '短评打分': 5}
{'短评内容': '多次入住这家酒店，因地理位置距我办事的地方近，且酒店有锦江大厨可以用餐，所以每每去上海都是入住这家酒店，但是，前台服务效率不是很高，我入住时，正巧和四个台湾人同时办手续，结果前台三个人都跑去招呼这四个台湾人。一个人提问四个人一起回答其说不一，弄的台湾人不知何以，反倒耽误时间。不知前台服务员是怎么想的，其中还有一位主管。最后还是我提议，只留一位服务员一一对他们进行解答，还好，对方采纳了，速度反而快了', '短评打分': 5}
{'短评内容': '不错 很干净的一家店 楼下的锦江大厨菜的味道也很好', '短评打分': 5}
{'短评内容': '我公司其他办事处的同事很喜欢住锦江之星花木店。', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 3}
{'短评内容': '同行的人是後來離開的，據他說，押金沒有退還給他\n但是在當時登記的時候，有特別問，說是只要有押金條就可以\n可是最後拿了那張押金條過去卻又說不能退', '短评打分': 1}
{'短评内容': '环境比较干净，也安静。就是离地铁口还是有一定距离呀', '短评打分': 5}
{'短评内容': '床太软了对于睡惯硬板床的我不习惯', '短评打分': 3}
{'短评内容': '停车很方便,吃饭很方便,酒店楼下的餐厅菜价合适,基本是本帮菜.早餐很丰富,值', '短评打分': 5}
{'短评内容': '不错的酒店,服务很好,早餐不错,品种很多,即使晚上吃饭,菜价也很合适.房间卫生也很好 ', '短评打分': 5}
{'短评内容': '去浦东机场很方便，可以去龙阳路坐地铁或是磁悬浮。周边配套还可以，有饭店和超市。如果喜欢如家或汉庭的，那么周边就有，可以换着住', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 3}
{'短评内容': '很好，很满意', '短评打分': 3}
{'短评内容': '这个店不错的，一楼的配套酒店服务和品味都很好', '短评打分': 5}
{'短评内容': '不错的酒店，设施很新！很人性化！下次还会选择住在这里！', '短评打分': 5}
{'短评内容': '订了房到那儿说没房，然后给安排在了一个离得远连必胜客肯德基都不送外卖的地方。', '短评打分': 1}
{'短评内容': '电梯要刷房卡才能上去，增加了安全系数。房间布置简洁清爽，就餐很方便，大厨很美味。', '短评打分': 5}
{'短评内容': '整体还不错的酒店，但是宽带速度有时无法保证，希望改进', '短评打分': 5}
{'短评内容': '酒店很不错。', '短评打分': 3}
{'短评内容': '经常入住这家酒店，尽管是快捷酒店，但服务是星际的。不错，还回去住。只是，商务房如果价格再低一点就更好了。', '短评打分': 5}
{'短评内容': '. . All is fine. . ', '短评打分': 3}
{'短评内容': '都很好，比如干净、方便、服务周到！如果送早餐更好', '短评打分': 5}
