{'短评内容': '满意', '短评打分': 5}
{'短评内容': '早餐不错很丰富，酒店整体条件设施也还可以。周围交通便利，就是房间里面没有暖气，用的空调，卫生间里有点冷。', '短评打分': 5}
{'短评内容': '电视不太清晰，但是服务非常好', '短评打分': 5}
{'短评内容': '吧！         还行', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '酒店不错的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '各方面都还满意。', '短评打分': 5}
{'短评内容': '经常入住这家酒店了，很满意', '短评打分': 5}
{'短评内容': '好评！！！！', '短评打分': 5}
{'短评内容': '设施设备比两年前更破败了，进房间后根据网上视频的经验一看，床单被罩还真的没换，枕套更是很脏，唉，就住一晚，和衣而睡凑合一晚吧。', '短评打分': 3}
{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '就在就餐的饭店旁边 朋友家跟前 餐后直接入住 很方便 只是大桶水没注明免费或价格 搞得客人不敢使用', '短评打分': 5}
{'短评内容': '不错不错不错值得一住', '短评打分': 3}
{'短评内容': '尚苑是吃早餐地方，401是楼头，隔音效果不是很好，但是有房间清扫服务，欧美风，很温馨。', '短评打分': 3}
{'短评内容': '服务态度还行  挺好', '短评打分': 3}
{'短评内容': '不错不错不错新改的网络', '短评打分': 3}
