{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '很好，位置好找', '短评打分': 5}
{'短评内容': '因为早上时间比较紧，所以我没有用酒店的早餐，无法评价。自己一个人，也不涉及到加床问题。订的是大床房，空间还是特别充裕，酒店位置还算比较好找，不过牌子再大一点就更好了。还有就是隔音有些差，睡觉的时候能听见隔壁开关门的声音。', '短评打分': 5}
{'短评内容': '酒店还不错，适合出差，位置很好，就是房间不太好找', '短评打分': 5}
{'短评内容': '还行吧，商务型酒店，门口交通干道，洛阳地方不大，去哪儿也都方便，门口可停3台车左右。', '短评打分': 4}
{'短评内容': '不错。不错。很好的酒店，住了好多次。真心不错。下次还会去。', '短评打分': 5}
{'短评内容': '京东预定就是挺方便，一直用的京东', '短评打分': 5}
{'短评内容': '哎呦，不错哦，给你32个赞！地球最强战队！', '短评打分': 5}
{'短评内容': '位置便利 房间干净', '短评打分': 4}
{'短评内容': '不会再去了，也不建议各位去住，酒店没有公用雨伞，服务也差，豪华大房竟然没有吹风机，需要单独借，日了狗了，打电话要瓶水，竟然说自己来拿，没有送到客房的服务，并且只有康师傅这没人喝的，农夫山泉都没有，真是再日了狗了', '短评打分': 1}
{'短评内容': '设施很陈旧，条件也比较一般，地理位置不错，旁边就是广场和小吃城，离商业中心也不远~', '短评打分': 2}
{'短评内容': '很干净的酒店 很好的地段 交通很方便 服务人员都很热心 下次来洛阳我还想再住这里', '短评打分': 5}
{'短评内容': '各项指标一般，提供的服务有限，请服务人员拿个电吹风说人员不足，要自己下楼取，卫生间的吹风效果不明显，衣服一晚上还是湿的，可以满足临时落脚', '短评打分': 3}
{'短评内容': '旁边有家米皮店挺好吃，哈哈，隔壁邮局里可以寄明信片', '短评打分': 4}
{'短评内容': '位置很好，离博物馆近，旁边吃东西方便，住的挺好的。', '短评打分': 4}
{'短评内容': '服务不错，可以信赖', '短评打分': 5}
{'短评内容': '非常棒.......', '短评打分': 5}
{'短评内容': '还不错。四周出行吃东西逛一下都很方便。离洛阳博物馆龙门石窟都不远，挺好玩的。房间质量，过得去吧，一般快捷酒店的水平，没特别出彩，也没特别差。早餐不够丰盛，不过也还行。', '短评打分': 4}
{'短评内容': '服务不错，地段也还好，吃饭打车都方便，四月份去有点贵', '短评打分': 5}
{'短评内容': '地点不错，装修有点旧，服务还可以', '短评打分': 2}
{'短评内容': '挺好的。。', '短评打分': 5}
{'短评内容': '挺好的。。', '短评打分': 5}
{'短评内容': '位置很好，吃当地特色美食也很方便，还有停车位，不错。', '短评打分': 5}
{'短评内容': '离火车站很近，打车只要起步价，离商业广场也不远，什么都挺方便的，旁边是公安局，入住环境还可以的，态度也不错', '短评打分': 5}
{'短评内容': '整体效果不错，毕竟是全国连锁的，卫生打扫比较干净，就是房间有点小，地面很滑。需注意。', '短评打分': 5}
{'短评内容': '房间很干净很大，设施很齐全，工作人员态度很好，地理位置也很好，性价比很高的酒店。推荐！', '短评打分': 5}
{'短评内容': '酒店位置还好，交通方便，只是牡丹花期间涨价太厉害！', '短评打分': 5}
{'短评内容': '酒店位置比较好, 房间较大, 但是水流太小, 洗漱极不舒服, 周五周六周日比平时贵七成', '短评打分': 3}
{'短评内容': '枕套上不干净，洗澡淋浴的喷头是那种固定的，不能取下来，洗的很不舒服，吹风机还要找前台要才给，拖鞋是那种一次性的拖鞋，比较干净，但是洗澡后很麻烦，只有浴帘，洗澡时水溅的到处都是\n其他都还好', '短评打分': 1}
{'短评内容': '酒店内部设施不错，房内空间宽敞，只是走廊有些曲折，另外大概为了省电，走廊灯经常是关闭的，有点不够人性化。不过餐饮很方便，酒店有餐厅（没吃过，不知口味如何，不敢妄加评论），王城广场旁边就有小吃街，街口有个24小时营业的快餐店，实惠方便，有地方特色，推荐！酒店美中不足是总台人员的服务两重天：头天晚上在总台要求使用大堂的公共电脑，一位先生竟然说USB接口是封死的，没法用！第二天早上试着提出同样要求，总台', '短评打分': 5}
{'短评内容': ' 有点难找  应注明在凯旋路和体育场路口处', '短评打分': 3}
{'短评内容': '酒店有一點舊 走廊也太省電了吧 晚上都不點燈\n交通一般 去火車站打車只要起步價', '短评打分': 5}
{'短评内容': '   房间稍微有点小', '短评打分': 3}
{'短评内容': '酒店的位置 装修 服务都不错 如果家庭房的配备物品为三人份 就更好了~', '短评打分': 5}
{'短评内容': '非常满意,谢谢你们的服务!', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '不错离广场超近，附近车站多，打车也方便。', '短评打分': 5}
{'短评内容': '环境不错，位置佳，经济实惠。唯一不爽的是床垫覆层能感觉到弹簧。', '短评打分': 3}
{'短评内容': '环境还可以，旁边就是公安局，比较安全···', '短评打分': 5}
{'短评内容': '总体不错，就是当天不知道什么原因，窗外一直有类似空调的响声，最后也没有解决！', '短评打分': 5}
{'短评内容': '很市中心，价格合适。停车不方便。旅游住宿不错', '短评打分': 5}
{'短评内容': '环境， 服务都挺好，位置在市中心，交通也很方便', '短评打分': 5}
{'短评内容': '刚进房间的时候有股味道，开窗散了一会。酒店是临街的难免有喇叭声。', '短评打分': 5}
{'短评内容': '环境挺好！但是酒店的餐饮不怎么样！特别是早餐！', '短评打分': 5}
{'短评内容': '不错的酒店，房间设施较为完善，硬件较新，前台服务质量需要提高！', '短评打分': 5}
{'短评内容': '位置好，交通便利，酒店设施不错，干净整洁。', '短评打分': 5}
{'短评内容': '蛮好的 蛮干净的 就是卫生间没有地巾 洗澡时拉了帘子也溅了好多水出来 排不掉。。', '短评打分': 5}
{'短评内容': ' 离天子驾六，市博物馆都很近，81，56路到白马，龙门的车就在广场西边。房间干净安静很好。', '短评打分': 3}
{'短评内容': '房间还不错,就是停车位太少,而且都是停在路边,酒店没有自己的停车场', '短评打分': 5}
{'短评内容': '也是比较舒适、干净的快捷酒店。交通也比较便利，附近有个购物广场，晚上逛街、吃饭很方便。', '短评打分': 5}
{'短评内容': '停车位极少,自驾游不推荐,房间很干净,服务也很好', '短评打分': 1}
{'短评内容': '还是不错的。就是卫生间小了些。', '短评打分': 3}
{'短评内容': ' 不错的酒店，其他都好，就是早餐品种太少了，建议改进。', '短评打分': 3}
{'短评内容': '很好的酒店，服务不错，就是淋浴室地面太滑，孩子都滑到了，希望改进。', '短评打分': 5}
{'短评内容': '房间干净，位置不错。价格便宜，就是水温不稳忽冷忽热的。', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好。', '短评打分': 5}
{'短评内容': '位置很好 价格还可以 服务不错 总体还可以 ', '短评打分': 5}
{'短评内容': '位置不错 相对于7天快捷和如家快捷酒店来说贵了一点点 但是住的还是比较舒服吧 环境也不错', '短评打分': 5}
{'短评内容': '+酒店地处市中心位置，比较安静，但是配套设施一般，电视坏了洗澡水温不稳定空调有异味，希望酒店有所改善。', '短评打分': 5}
{'短评内容': '位置挺好，给人感觉卫生，房间设施挺全，应该说性价比还是很好的。总体上说，挺不错。', '短评打分': 5}
