{'descr': '外面显的太旧了 里面还行 晚上睡觉有蚊子 希望店家以后注意点', 'star': 5}
{'descr': '地铁口就在楼下，很方便。附近餐饮还行。就是房间内有蟑螂，卫生有待提高\n', 'star': 5}
{'descr': '在酒店住感觉环境一般，卫生度一般，吃饭交通倒是挺方便的。', 'star': 3}
{'descr': '我觉得还不错，旁边就有超市，离地铁站也近，房间也不错。', 'star': 3}
{'descr': '就打的特点算是交通方便把，环境中等，就住一晚上么，将就将就就行了~ 7分', 'star': 5}
{'descr': '实在太吵太吵！特别是早上 汉中门车站就在楼下 噪音太大睡不好', 'star': 1}
{'descr': '私人出差住住还不错,下次还来，主要是交通方便，就在地铁口', 'star': 5}
{'descr': '还行就是顶灯是坏的。', 'star': 3}
{'descr': '服务员态度不错，就是2楼房间竟然没有灯，换到3楼，南面下面是汽车站，所以换到北面。出门就是地铁，出行方便的。住宿要自带肥皂，如果高峰用水水会很凉。', 'star': 5}
{'descr': '位置相当好，房间也够大，只可惜卫生太差了，服务形象也差，所以只住了一晚就退了。', 'star': 1}
{'descr': '对面公交车站，旁边就是地铁站，十分方便且好找，打车去夫子庙12元左右。很干净，唯一不足就是没有肥皂和吹风机，半夜被楼上滴水声吵醒，除此之外都很棒。', 'star': 5}
{'descr': '隔壁及门前是车站，装修比较老了，落伍了啊', 'star': 1}
{'descr': '该招待所设施一般，但前台服务较热情，最好的一点是交通特方便，距汉中门地铁站很近、机场大巴始发就在招待所门口', 'star': 5}
{'descr': '虽然有点旧，但是里面还行，感觉住起来安全。', 'star': 5}
{'descr': '交通很方便，地铁二号线汉中门站1号口步行一分钟就到。店内装修只是典型的老招待所标准，房间内部很干净，也很大，设施齐全。唯一不好的就是紧挨着马路，门口就是一公交始发站，有点吵。\n', 'star': 5}
{'descr': '交通很方便，离地铁站、公交站大概5分钟。酒店环境一般，还算干净。', 'star': 5}
{'descr': ',感觉还行吧！蛮干净的，交通蛮方便的。', 'star': 3}
{'descr': '感觉不舒服，刚进门的时候就令人失望。条件只能说是一般。下次选其他酒店了。性价比稍微差点。感觉不舒服，刚进门的时候就令人失望。条件只能说是一般。下次选其他酒店了。性价比稍微差点。', 'star': 1}
{'descr': ' 方便快捷', 'star': 3}
{'descr': '离地铁站很近，2号线汉中门站1号出口出来就是了，从外面看比较旧的建筑，但是卫生不错，床也很大，是两米的。只是窗口就贴着居民居，说话什么都能听到的，所以窗子也没法打开', 'star': 5}
{'descr': '装潢古老，但很厚重.进去以后感觉就像在古老的皇廷。一些家具的陈旧正好可以造出那种很厚重的感觉。很不错！我比较喜欢这样的风格！', 'star': 5}
{'descr': '一般般，毕竟是招待所，这样的设施和服务应该说还有待改善和提高', 'star': 5}
{'descr': '酒店的位置很好，就在地铁站的附近，门面不起眼，房间装修的也一般，但是很干净，特别是被子很干净。停车也很方便', 'star': 5}
