{'短评内容': '喜欢天露山的山清水秀，沿途的风景都很美，空气是一流的棒棒哒…………………………………………………………', '短评打分': 4}
{'短评内容': '早餐一般，反正能吃饱，3房，1张大床，4张单人床，环境绝对是舒适的，可以烧烤，温泉', '短评打分': 5}
{'短评内容': '我们晚上7点多到，路上好像荒郊僻野，半山木屋房型不错，幽静！但一位带牛仔帽的电瓶车司机服务太差，很容易和游客激动，还一直叫我投诉，晕！而且司机旁边某人，也在那对前台调解人员大声说话，总之对于路不熟的游客，这种服务态度令人相当不愉快！我们体谅司机不要那么折腾，都从住宿的山上走下来，他们却一点耐心和爱心都不具备！', '短评打分': 3}
{'短评内容': '清新愉人! 宁静舒适!', '短评打分': 5}
{'短评内容': '国庆难得人比较少，不错', '短评打分': 5}
{'短评内容': '替朋友预订。朋友说环境不错，空气清新，就是很偏僻，卫生一般，洗手间有味道，但总体还是不错，一家人度假挺好！', '短评打分': 4}
{'短评内容': '盘山小路上到房间下面，看上去好危险。景区设施比较差，有两家吃饭的餐厅7点多就关门了，只能开车到镇里去吃。虽然房间挺舒服，但是性价比不高。主要是配套服务有待提高。', '短评打分': 4}
{'短评内容': '酒店环境很好、幽静舒适、但早餐实在太差了、与酒店房价格格不入、路边滩都不如', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
