{'短评内容': '加空调暖气', '短评打分': 5}
{'短评内容': '我提几点意见。1.卫生间的下水不太好。应该改改。洗完澡洗了脚，底下可多存水。下水不是很通，又把脏水弄脚上了。2.电视节目不多。剩下的就说好处。有中央空调，有很大的桌面放些东西。配备暖水壶，杯子。可以说这个价钱非常舒适。以后太原住店。就去你家了。', '短评打分': 5}
{'短评内容': '非常不错，很干净，服务也很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错比较安静', '短评打分': 5}
{'短评内容': '不怎么的', '短评打分': 3}
{'短评内容': '酒店可以，环境也不错，睡觉也不吵。', '短评打分': 5}
{'短评内容': '酒店可以，环境也不错，睡觉也不吵。', '短评打分': 5}
{'短评内容': '酒店可以，环境也不错，睡觉也不吵。', '短评打分': 5}
{'短评内容': '酒店可以，环境也不错，睡觉也不吵。', '短评打分': 5}
{'短评内容': '酒店可以，环境也不错，睡觉也不吵。', '短评打分': 5}
