{'短评内容': '酒店还行，房间很大', '短评打分': 5}
{'短评内容': '酒店还行，房间很大。。。。。。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '性价比不高的', '短评打分': 3}
{'短评内容': '性价比不高的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '你周边环境一般', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '挺好的嗯，呵呵呵呵', '短评打分': 5}
{'短评内容': '性价比很高，比较隐蔽', '短评打分': 4}
{'短评内容': '环境还可以，无线网络有点差，我到楼下逛了一下退房时间还没有到，到房间房门打不开了。', '短评打分': 5}
{'短评内容': '环境舒适，干净！下次来接着住', '短评打分': 5}
{'短评内容': '还行吧，说的过去', '短评打分': 4}
{'短评内容': '房间还算干净，房型比较奇怪。。', '短评打分': 5}
{'短评内容': '常住的一家酒店  相当不错 ', '短评打分': 4}
{'短评内容': '很值，特别是返利100一天的时候，酒店装修很好', '短评打分': 5}
{'短评内容': '环境很好 卫生 总体来说性价比非常高', '短评打分': 3}
{'短评内容': '房间的装修很中意啊，床也很舒适，赠送的水果能再新鲜点就好了。另外，房间没有赠送免费的矿泉水希望能改进。', '短评打分': 5}
{'短评内容': '酒店非常不错，就是太偏僻了！房间大舒服，价格不贵。', '短评打分': 5}
{'短评内容': '入住的很好，很安静', '短评打分': 3}
{'短评内容': '酒店环境好，房间宽敞明亮，欧式风格很有情调！', '短评打分': 5}
{'短评内容': '由于自己的预算原因住了无窗的半套房房型，虽然没窗，但没有其他客人说的闷热的感觉，房间很宽敞，布置得也很有情调和舒服，还有个四人餐桌，晚上还送了免费水果，服务很好，早上的早餐因为个人原因没能用，但看了一下环境也很不错，如果是有窗房相信一定更好，以后来一定还会来住的！', '短评打分': 5}
{'短评内容': '装修豪华，房间大，服务好，价格优，值得入住', '短评打分': 5}
{'短评内容': '已经多次入住酒店了,之前评价很高,但是这次入住的感觉不如以前,原因如下:\n1.半夜大约2点多,有许多人进入房间,关门声音非常大声,被吓醒了,后来就睡不着了,房门设计不佳\n\n2.早餐质量下降了,生菜色拉上还有小虫在上面飞,卫生不佳,面包也是干干的,看来是放了好几天的,可见酒店不用心\n3.负责早餐餐厅的服务员个个靠在墙壁旁或柱子旁聊天,感觉很不专业,餐桌也不干净\n', '短评打分': 1}
{'短评内容': '不错，硬件很好。就是靠近铁路，太吵了。明早6点退房，也不准备早餐，有些欠缺。', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 3}
