{'短评内容': '很好推荐入住。', '短评打分': 5}
{'短评内容': '推荐入住', '短评打分': 5}
{'短评内容': '推荐 入住', '短评打分': 5}
{'短评内容': '房间干净，外边吃饭方便。', '短评打分': 4}
{'短评内容': '交通方便，吃的也方便', '短评打分': 4}
{'短评内容': '有点差，是一楼的房子，比较潮湿', '短评打分': 1}
{'短评内容': '出差住的', '短评打分': 3}
{'短评内容': '还好吧，不错', '短评打分': 5}
{'短评内容': '感受作为商务酒店，及格。', '短评打分': 3}
{'短评内容': '还不错吧，价格偏高点', '短评打分': 4}
{'短评内容': '第一次住锦江之星！该店卫生，清洁度尚可，歺厅价廉物美！有停车场，开车去十分方便，若再去江东区办事一定考虑再次住入！', '短评打分': 3}
{'短评内容': '位置不错，周边餐饮很多，房间有点小', '短评打分': 4}
{'短评内容': '还行，房间虽然小，但是感觉布置的不错', '短评打分': 5}
{'短评内容': 'clean and suitable for business trip. It is great to near a sport centre.', '短评打分': 4}
{'短评内容': '一般的快捷酒店吧。太吵', '短评打分': 4}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '房间小、声音大、隔音不好', '短评打分': 3}
{'短评内容': '交通便利,环境还不错!!!!!!!!!!', '短评打分': 5}
{'短评内容': '交通便捷，出行方便，脑中取静，最佳选择，下次再来住。', '短评打分': 5}
{'短评内容': '酒店环境还可以，服务到位，唯一可惜的是我预定的房间面临街道，晚上比较吵闹，难以入睡', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 3}
{'短评内容': '还不错，周围吃的也多，挺方便的。就是卫生间似乎小了些。', '短评打分': 3}
{'短评内容': '位置很不错 服务业不错 ！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店干净 吃饭方便！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '因为是加盟酒店，所以和真正的锦江之星还有一定差距。房间好小啊，早餐有些单一。北方人吃不惯。马桶盖是坏的，洗脸的地方也有问题。比较老吧。\n服务态度不错，每天回来到扫，收拾的非常非常干净。', '短评打分': 5}
{'短评内容': '其他还好的，就是靠马路的有点吵。\n房间比较不错的', '短评打分': 5}
{'短评内容': '酒店的环境还是不错的干净卫生，晚上也较安静', '短评打分': 5}
{'短评内容': '蛮好的，交通饮食都很方便。边上还有个家乐福。', '短评打分': 5}
{'短评内容': '酒店还可以，就是浴室太小了', '短评打分': 3}
{'短评内容': '很干净，很不错！在一个小院子里，还是比较安静的！', '短评打分': 5}
{'短评内容': '很干净，也很安静，离步行街也不远，是个不错的酒店', '短评打分': 5}
{'短评内容': '设施，服务都还不错，可是一大早院子里就是卡车声，搞了很久，酒店过道摆满了床垫', '短评打分': 3}
{'短评内容': '酒店环境很不错，卫生好，很整洁，设施也很不错，就是早饭不是很好吃，附近吃的餐馆不多，不过不行10多分钟有一家家乐福，总体不错。', '短评打分': 5}
{'短评内容': '环境不错，很干净，交通也很方便，很好找，不过酒店的早饭只能说是一般，可能不合我的口味吧', '短评打分': 5}
