{'短评内容': '一定程度？', '短评打分': 5}
{'短评内容': '非常好，干净，环境优美，第二次了，值得订购。下次再来。', '短评打分': 5}
{'短评内容': '没有想象到有这么差，除了位置在大学内。没有任何住的价值。', '短评打分': 2}
{'短评内容': '环境很好，在烟大里面，离大海很近，非常赞', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '大学里边的一所酒店', '短评打分': 5}
{'短评内容': '环境非常棒', '短评打分': 5}
{'短评内容': '离烟大东门约100米，出东门过马路就到了海边！内部有餐厅，价格也不算贵，很方便。服务员态度很好，房间也干净。据说住在三层就可以看海景了，可惜这次给的是一层房间。下次可以特意要求一下。', '短评打分': 5}
{'短评内容': '环境挺好，挺不错的', '短评打分': 5}
{'短评内容': '服务，卫生都很好', '短评打分': 5}
{'短评内容': '去大学办事儿住这儿还不错，但是价格和海悦差不多。。。设施烂好多。。。', '短评打分': 4}
{'短评内容': '新装修的部分挺好的，学校里也挺安静，这次就是回母校怀念的，住这里最好了！', '短评打分': 5}
{'短评内容': '床太硬，其他都还好', '短评打分': 5}
{'短评内容': '酒店环境还可以，但是服务有点', '短评打分': 4}
{'短评内容': '棒极了，出了酒店过马路就是大海非常值得小住', '短评打分': 3}
