{'短评内容': '酒店服务很好！周围环境好，很满意。', '短评打分': 5}
{'短评内容': '房间挺大的，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '来出差的，还可以', '短评打分': 5}
{'短评内容': '服务周到，设备一般', '短评打分': 2}
{'短评内容': '358的价格，进去到处不敢摸，卫生太差了。离井冈山老区还有一个多小时的的士。非常不方便', '短评打分': 2}
{'短评内容': '房子还不错 就是wifi有点卡 建议自己带毛巾 里面的毛巾确实看上去不太干净 有待改进 周围环境还不错', '短评打分': 5}
{'短评内容': '环境不错，房间干净卫生', '短评打分': 5}
{'短评内容': '垃圾酒店，竟然没有电梯，在大厅办理入住的时候发现其他没有通过携程预订的客人只要100元房费，垃圾酒店，希望看见的朋友不要选择他家。', '短评打分': 1}
{'短评内容': '环境很好，安静、整洁', '短评打分': 5}
{'短评内容': '入住感觉很好。', '短评打分': 5}
{'短评内容': '卫生一般，厕所里的蓬头都不好用，马桶很脏', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一进酒店房间，感觉很脏，很老旧，地毯破旧脏，与房价不符；房间内的WIFI也不好用，房间内放了麻将桌，显得很拥挤；卫生间内的纸巾差，沐浴花洒不好用，提供的毛巾显得很旧；空调制冷很不错。  ', '短评打分': 3}
