{'descr': '房间很大，很舒服。车子停在路边，还好没有抄单。', 'star': 5}
{'descr': '装修有些旧了 空调也不太好', 'star': 3}
{'descr': '还可以，我订的家庭房，房间倒是挺大的，里面的陈设旧了点，不够时尚！', 'star': 5}
{'descr': '酒店很不好，服务员一点儿不热情，地板很破，洗手池堵塞，是我在上海住过的商务酒店中最差的，价格却是最贵的。', 'star': 3}
{'descr': '干净又安静,地处碧云社区，真的很不错，非常适合商务住宿。', 'star': 5}
{'descr': '房间很干净，环境也很安静。由于晚到，我预定的房型没有了，前台就主动给我调整到比较好的房间，感觉真的很不错。', 'star': 5}
{'descr': '  酒店很安静.以后还会光顾', 'star': 3}
{'descr': '酒店房间大，但设备不完善，落地窗开不了，早餐太次！', 'star': 1}
{'descr': '环境很好', 'star': 3}
{'descr': '房间大，床大，有阳台', 'star': 3}
{'descr': '很差，毛巾都是烂的，早饭也没有地方吃饭，位置比较偏', 'star': 1}
{'descr': '不错的服务，不错的位置，就是早餐不方便，周围冷清了一点', 'star': 5}
{'descr': '环境还可以，不过位置有点偏了，刚好我有一天肚子痛，靠，药店都没有，附近在修什么广场，有点吵，吃的地方少，服务各方面都还可以，挺好的，就是远，偏 。。', 'star': 3}
{'descr': '  很不好', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '感觉还行吧。门口看起来不太起眼，另外服务一般般，刚来网络不太行，打电话给总台，半天不见人来，结果自己弄好了，要住6天，，有待观擦。。', 'star': 1}
{'descr': '房间的卫生设施都还行，价格还算比较适中，位置不是很好找，酒店的环境还行吧，和连锁型的酒店都差不多。', 'star': 5}
{'descr': '环境很好，很适合入住的', 'star': 5}
{'descr': '不错。', 'star': 3}
{'descr': '给外宾定的，还可以把，就是付款方式不方便，客人到了，不能用国外信用卡支付押金，麻烦。', 'star': 5}
{'descr': '位置有点偏，不过如果不是游玩只是出差，这附近吃饭还挺方便的，而且实惠，我来的时候说没有我的预约，酒店先安排我入住的，然后让补一分订单，这个挺好的', 'star': 5}
{'descr': '干净卫生，房间面积很大挺舒服', 'star': 5}
{'descr': '价格与酒店设施不符，320的房间竟然只有个电视，而且部分服务员的服务态度相当那个不好。不会再去了', 'star': 1}
{'descr': '世博会期间，像格林豪泰这样的经济型酒店，也卖到了328，也是无奈，不过这家的豪华房间倒是超大的', 'star': 5}
{'descr': '感觉还不错的酒店，房间也很干净很舒适，价格还是挺适中的和其他的格林连锁酒店都差不多，还是比较不错的酒店。', 'star': 5}
{'descr': '酒店的环境硬件设施都很好，价格比较高，卫生服务都很不错，当时入住的是三人间房间也很宽敞，位置比较一般，整体来讲算是比较达标的酒店值得推荐入住。', 'star': 5}
{'descr': '房间有工作人员定时来清洁，如果房间内有人，疚会事先询问，很有礼貌。', 'star': 5}
{'descr': '对房间面积很满意，配有绿色植物，既美观又健康，很喜欢。', 'star': 5}
{'descr': '早餐很丰盛，有中式的也有西式的，房间设施也不错，关键是有网线。', 'star': 5}
{'descr': '这是一家我住过的最差的酒店\r\n3月7日，晚上11点多我带日本客人去酒店入住，开房的时候顺便买了两张第二天的早餐卷，8日早上我们8点50分下楼吃早餐，结果令人大失所望，早餐食物所剩无几，餐台上脏的令人作呕，客人说不吃了，我就去总台退餐劵，被告知不能退，而且餐厅服务员的态度极其恶劣，客人非常生气，据理力争，最后餐劵是退了，但是却生了一肚子气，以后不会再入住格林豪泰的任何一家酒店了。另外说明，9点钟的时', 'star': 1}
{'descr': '很好，服务人员态度好！', 'star': 5}
