{'短评内容': '老样子的了！', '短评打分': 3}
{'短评内容': '酒店位置方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '经济实惠 可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位于十字路口，地处繁华路段，在市政府对面。但由于隔音效果不是很好，所以感觉有些吵。周边各种设施都有吃的玩的地方都有。酒店已开业多年，所以环境和房间都感觉有些老旧。', '短评打分': 3}
{'短评内容': '环境非常不错，服务态度也很好。。', '短评打分': 5}
{'短评内容': '挺好的，下次再来', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '酒店在中心周围，交通很方便，离高铁汽车站也近。边上的黄河路小吃很多。酒店设备有点旧，整体环境布局还行，价格也不便宜！', '短评打分': 4}
{'短评内容': '酒店在中心周围，交通很方便，离高铁汽车站也近。边上的黄河路小吃很多。酒店设备有点旧，整体环境布局还行，价格也不便宜！', '短评打分': 4}
{'短评内容': '酒店在中心周围，交通很方便，离高铁汽车站也近。边上的黄河路小吃很多。酒店设备有点旧，整体环境布局还行，价格也不便宜！', '短评打分': 4}
{'短评内容': '在附近办事，这家宾馆最便捷，环境还可以。房间大小适中，房间里还有个小冰箱挺不错，价格跟周围宾馆相比比较实惠。', '短评打分': 5}
{'短评内容': '价廉，适合短时间游', '短评打分': 5}
{'短评内容': '一般般的酒店', '短评打分': 3}
{'短评内容': '环境差，设备旧，房间味道恶臭，墙体脱落。', '短评打分': 2}
{'短评内容': '很老的少三星酒店，位置尚可，交通、餐饮和购物便利。房间设施太陈旧了，卫生条件有待改善。服务员态度有待改进...', '短评打分': 3}
{'短评内容': '房型大干净卫生 服务周到热情 好评', '短评打分': 4}
{'短评内容': '交通便利，房间干净宽敞，离市区很近', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '设施有点老旧 需要改善', '短评打分': 4}
{'短评内容': '还不错，性价比高，最近几次出差都住这里', '短评打分': 4}
