{'短评内容': '虽然样式有的老，可是周围的环境还是比较安静', '短评打分': 3}
{'短评内容': '国营宾馆，闹中取静', '短评打分': 5}
{'短评内容': '前台的人都挺好，有要求也尽量满足，主要是离我办事的地方很近，电视有点落后，但是还好，收台挺多，不过主要也不是为了看电视，人比较少，环境可以哈', '短评打分': 3}
{'短评内容': '条件有点过时了，现在不是太好了。', '短评打分': 3}
{'短评内容': '一般，老式酒店，有些过时了。', '短评打分': 3}
{'短评内容': '还不错哦，装修是旧点，不过很好(⊙o⊙)哦，早餐也好吃', '短评打分': 5}
{'短评内容': '离国贸很近，但是酒店设施真的太旧了，有五六十年代招待所的感觉。', '短评打分': 4}
{'短评内容': '环境还可以，不过网络比较糟糕…', '短评打分': 5}
{'短评内容': '性价比不高，本来准备住2晚，住了1晚就换地方入住了。', '短评打分': 3}
{'短评内容': '酒店也就值这个价房间不大，还是地板砖的，设施倒是齐全。', '短评打分': 3}
{'短评内容': '很让人满意\n', '短评打分': 3}
