{'短评内容': '卫生', '短评打分': 4}
{'短评内容': '1、前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', '短评打分': 5}
{'短评内容': '不错，交通方便，近地铁。', '短评打分': 5}
{'短评内容': '还可以，就是房间有点久', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '设施齐全，装修有点旧，不过干净卫生，过道隔音太差', '短评打分': 4}
{'短评内容': '酒店比较旧，但是服务比较好，酒店周边还比较方便，地铁也放便！', '短评打分': 4}
{'短评内容': '酒店比较旧，但是服务比较好，酒店周边还比较方便，地铁也放便！', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '马马虎虎', '短评打分': 4}
{'短评内容': '马马虎虎过得去', '短评打分': 4}
{'短评内容': '马马虎虎过得去', '短评打分': 4}
{'短评内容': '性价比很高的酒店，设施齐全，服务周到，非常喜欢，值得推荐。', '短评打分': 5}
{'短评内容': '房间虽然不大，但相对这个价格算是性比价比较高的了，1张1米2的床一个人完全足够了，整体感觉还不错，还有很大的窗户。还是很值得推荐的，自己住的话，比较经济实惠，酒店式房间，比住宾馆划算，下次还会来的', '短评打分': 5}
{'短评内容': '房间新装修的。一个大男人睡可以了  。在在广州这价格能住新装修的房间可以的了 。。不但有大窗户还有风景看。谁住谁知道', '短评打分': 5}
{'短评内容': '太差了，住这破酒店不如住附近七天，垃圾', '短评打分': 2}
{'短评内容': '酒店斜对面就是地铁站，出行方便。新装修卫生条件很好，房间很干净，设施也很完善。唯一不足就是房间较小，不过这价位很值了。', '短评打分': 5}
{'短评内容': '酒店设施简单，没有餐厅，因此早餐要自己解决', '短评打分': 3}
{'短评内容': '很干净，外出旅行居住最重要就是干净。很满意。', '短评打分': 5}
{'短评内容': '设施陈旧，价格昂贵。100多块的酒店公寓还不如！太差了！\n', '短评打分': 1}
{'短评内容': '一般般啦，虽说新装修的，但比较脏些。广交会期间，要求也不能太高了。', '短评打分': 5}
{'短评内容': '设备简陋，与图片完全不一样，假的！房间里连个挂衣服的地方都没有，空调开了等于没开。不过酒店附近还不错，有逛街吃东西的地方', '短评打分': 1}
{'短评内容': '老式酒店了  房间很久 服务态度可以 是个老2星酒店', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
