{'短评内容': '京东服务很好，酒店环境也很好，每次海口中转都住这里', '短评打分': 5}
{'短评内容': '京东售后真好，京东售后真好', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '被潮湿，睡觉空调声音很大', '短评打分': 3}
{'短评内容': '环境很好，有园林的感觉', '短评打分': 5}
{'短评内容': '酒店早餐挺丰富的海景房视野非常棒，房间干净就是设施一般。', '短评打分': 4}
{'短评内容': '服务还行，浴缸不干净', '短评打分': 5}
{'短评内容': '酒店位置离机场非常近，而且有专门送机的摆渡车，过去美兰机场的话也就十几分钟。不过周围比较荒凉，没什么娱乐，但是酒店里面环境超级好，景色很美！我们就在酒店里玩了一下午，感觉比冯小刚的电影公园好玩多了！停车场有，而且挺大的，车位不少。因为早晨很早就要赶飞机，所以早餐是前台妹子帮忙打包的，很丰盛，也很贴心。酒店服务非常到位，让我们有宾至如归的感觉，总体来说非常满意！', '短评打分': 5}
{'短评内容': '园林景观酒店，房间软硬件都不行，卫生不好、前台服务挺好！', '短评打分': 4}
{'短评内容': '酒店环境不错，接机师傅很不错，在机场等行李等了40分钟，师傅一直耐心地等着我们', '短评打分': 5}
{'短评内容': '酒店特别好，特别大，环境特棒，服务态度也非常好', '短评打分': 5}
{'短评内容': '酒店环境很好，离机场近。而且便宜。', '短评打分': 5}
{'短评内容': '酒店不错，适合一家人带着小朋友去玩，环境优美，安静，度假胜地，值得入住', '短评打分': 5}
{'短评内容': '很好的卖家，谢谢喽。我的家人们都很喜欢呢。下次再来哦 ！', '短评打分': 5}
{'短评内容': '还没入住，希望不错了', '短评打分': 5}
{'短评内容': '超豪华的酒店，其实更象一个景点，园林式建筑，还有一个动物园，在里面玩一天拍拍照完全没问题，不会感觉乏味，酒店房间也很豪华，离机场近，还有接送机，早餐也不错，就是离市区远。', '短评打分': 5}
{'短评内容': '还不错，下次还会去，环境不错', '短评打分': 5}
{'短评内容': '宫殿式风格，温泉泳池都具备，房间也比较大。', '短评打分': 5}
{'短评内容': '晚上9点到达酒店，下车后有些雾气，酒店周围还在施工，有些阴森。\n到达大堂，非常气派，办好入住后有服务生带着去房间，因为自己去实在不好找，酒店太大了\n定的池畔大床房，推开落地窗就是游泳池，很不错\n早餐非常丰盛，很喜欢。吃完早饭在酒店晃悠，景色很不错，真有皇家园林的感觉，一步一景，非常美\n总体很满意。', '短评打分': 5}
{'短评内容': '酒店不错，适合家庭度假用', '短评打分': 5}
{'短评内容': '酒店环境很好 很值得去度假', '短评打分': 4}
{'短评内容': '酒店好大，环境很不错。自助一般般。', '短评打分': 5}
{'短评内容': '不在闹市区，人不多安静，设施完备，服务可以，用餐也方便', '短评打分': 5}
{'短评内容': '好海口，好酒店，非常好。', '短评打分': 5}
{'短评内容': '严重差评，订了21号的房，结果说凌晨到算20号，我一晚上没地儿去，在机场待了一夜。三方互相推责任，不退款，没一个靠谱的', '短评打分': 5}
{'短评内容': '酒店的室外环境不错，室内相对比较老旧。服务态度较一般。但是价格比较低，也就可以接受啦。', '短评打分': 3}
{'短评内容': '好！！！！！！！！！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '赞赞赞', '短评打分': 5}
{'短评内容': '酒店离机场较近，有专车接送，较为方便，应是海口机场附近最好的酒店。装修风格中式、大气，尤其院中还饲养了一些家畜及观赏性动物，很有野趣。', '短评打分': 4}
{'短评内容': '酒店离机场较近，有专车接送，较为方便，应是海口机场附近最好的酒店。装修风格中式、大气，尤其院中还饲养了一些家畜及观赏性动物，很有野趣。', '短评打分': 4}
{'短评内容': '商务出行，性价比还行！出行方便！', '短评打分': 4}
{'短评内容': '商务出行，性价比还行！出行方便！', '短评打分': 4}
{'短评内容': '环境非常不错，园林风格，一应俱全，也方便，离机场两站，有送机服务！', '短评打分': 5}
{'短评内容': '每次都推荐朋友入住这个酒店是因为很方便，特别是中转机的时候，酒店环境也不错，还有免费的接送机服务！！', '短评打分': 5}
