{'短评内容': '房间陈旧，价格虚高，没有性价比，早餐品种太少，不会再来了', '短评打分': 5}
{'短评内容': '商场停车场，国金商场和酒店相通，很方便。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，视野开阔，外滩风景一览无余。', '短评打分': 5}
{'短评内容': '我是帮人代订的这个酒店！地理位置真心不错！在陆家嘴黄金地段，离黄浦江边很近！环境不错！景观也很好！', '短评打分': 5}
{'短评内容': '视野非常好，住的很舒服', '短评打分': 5}
{'短评内容': '整体感觉不错 还不够精致', '短评打分': 4}
{'短评内容': '哈哈', '短评打分': 5}
{'短评内容': '五星', '短评打分': 5}
{'短评内容': '很不错，真的很棒！非常好！！！', '短评打分': 5}
{'短评内容': '很满意！！！！！！！你！！', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置无敌，孩子喜欢&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '特别好的酒店，很满意。下次去上海，还会选择入住。', '短评打分': 5}
{'短评内容': '摩天景观房是城景房', '短评打分': 5}
{'短评内容': '一流酒店、一流设施、一流服务，好的没话说了！', '短评打分': 5}
{'短评内容': '酒店的员工您好，我的iPhone的转换头落在房间了，方便快递给我吗？谢谢。酒店的员工您好，我的iPhone的转换头落在房间了，方便快递给我吗？谢谢。', '短评打分': 5}
{'短评内容': '非常好的酒店，位于陆家嘴金融中心区域，酒店地理位置优越，黄浦江、东方明珠电视塔近在咫尺，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店环境优美，在陆家嘴金融中心区域，是设施豪华的五星级酒店，服务也很周到，在陆家嘴金融中心应该是最好的五星酒店。', '短评打分': 5}
{'短评内容': '很舒服！！', '短评打分': 5}
{'短评内容': '第一次携程文字评论。我就是想说，国际化高档酒店，那糟透了的服务一次次的挑战宾客，到底闹哪般？', '短评打分': 4}
{'短评内容': '可以看到外滩夜景，太棒', '短评打分': 5}
{'短评内容': '这次入住未享受到升级服务，但是还是好评，顶楼的酒吧很爱，早餐偏西餐，种类少了点。', '短评打分': 5}
{'短评内容': '超赞，地方很大，格局高大上', '短评打分': 5}
{'短评内容': '环境好，设施高档。国金楼上，逛街、吃饭方便。', '短评打分': 5}
{'短评内容': '一切皆在', '短评打分': 5}
{'短评内容': '最喜欢丽思的五星级，位置观赏性最佳', '短评打分': 5}
{'短评内容': '服务态度很好下次还会去，就是停车麻烦些，希望提供停车卡方便开车族', '短评打分': 5}
{'短评内容': '价格很高，不过对得起这个价格啦！软件硬件都很好！服务员服务态度非常好！以后还会选择！', '短评打分': 5}
{'短评内容': '购物方便,晚上的观景房很不错,房间设施也比较好,值得推荐', '短评打分': 5}
{'短评内容': '非常好的五星酒店,无论从地理位置 周边环境 对于喜欢购物的我来说 ', '短评打分': 5}
{'短评内容': '非常好的酒店。装修豪华，服务周到，下次还会住此酒店。', '短评打分': 5}
{'短评内容': '酒店设施不错, 服务业很到位,符合对于丽思卡尔顿酒店得预期, 下次还会入住的', '短评打分': 5}
{'短评内容': '感觉一般，除了楼高和购物方便。好像没发现其他特色', '短评打分': 1}
{'短评内容': '服务好，满意', '短评打分': 3}
{'短评内容': '地方好，景观好，服务好，装修好，各个成面都很好，唯一美中不足的是房间送餐的东西太少了！', '短评打分': 5}
{'短评内容': '位置很好，服务到位，能欣赏到江景，下次还会住', '短评打分': 5}
{'短评内容': '环境服务到位....................', '短评打分': 5}
{'短评内容': '非常好的五星酒店，除价格略高其他无可挑剔。', '短评打分': 5}
{'短评内容': '位于小陆家嘴核心地段，周围有金贸大厦、国金中心、正大广场等，而且邻黄浦江，能看到江景，非常超值，就是价格不菲。', '短评打分': 5}
{'短评内容': '沿袭品牌传统,服务于设备果然无可挑剔.唯一一点瑕疵是在国庆期间入住时等了大约一小时,因为前位住客退房晚了.不过在行政楼层的餐厅等待,餐点与景色倒也还挺打发时间,算是度过了悠闲下午茶', '短评打分': 5}
{'短评内容': '外观环境不错，入住环境还行，早餐一般；接送服务较弱', '短评打分': 5}
{'短评内容': '位置不错，早餐一般', '短评打分': 3}
{'短评内容': '推推', '短评打分': 3}
{'短评内容': '标准服务，，程序化接待。。。下次应该还是会入住的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '高高高，外滩全景，房间也挺舒服的，好啊！高高高，外滩全景，房间也挺舒服的，好啊！高高高，外滩全景，房间也挺舒服的，好啊！', '短评打分': 5}
{'短评内容': '酒店的服务以及环境、硬件都非常不错，但可惜没有酒店车位。', '短评打分': 5}
{'短评内容': '很好，位置好，服务不错，可以看到江景，下次还会去住！', '短评打分': 5}
{'短评内容': '感觉就是太贵了 ，而且没有早餐，真是奇怪', '短评打分': 1}
{'短评内容': '相当高档,价格也高,是帮董事长订的,很不错的酒店,下次有需要还要订', '短评打分': 5}
{'短评内容': '五十二层的接待大厅略显太小，如果人多显得会太拥挤。', '短评打分': 5}
{'短评内容': '服务一流 设施一流，非常好的五星级酒店，推荐~', '短评打分': 5}
{'短评内容': '性价比很高，而且位置也好方便出行，室内装修我喜欢,不错的酒店!\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '相比广州的房间较小，但是设计还不错。还有停车还要自己付费，这个不太符合顶级酒店的服务。', '短评打分': 5}
{'短评内容': '现在人很有钱很有钱，结账的时候居然排了二十分钟的队，大批的客人等候在大厅，生意好极了！', '短评打分': 5}
