{'短评内容': '酒店位置比较好，交通方便，环境不错，面积挺大,是一个不错的酒店，出差旅游都很不错，客服态度也很好。最深刻的印象就是房间非常的干净，物品摆放整齐。尤其是被子，想像新的一样，很舒服！', '短评打分': 5}
{'短评内容': '还是挺好的', '短评打分': 5}
{'短评内容': '各方面不错', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '酒店位置挺好，步行十多分钟到高升桥，设施比较新', '短评打分': 5}
{'短评内容': '超好住！下次还来住这里 位置也很好', '短评打分': 5}
{'短评内容': '还可以，不错的', '短评打分': 5}
{'短评内容': '整体房间还是一般，特别是早餐，那是收得相当准时，还差几分钟酒店就告诉没早餐了！', '短评打分': 4}
{'短评内容': '不错的酒店。性价比可以。房间卫生，设施都挺不错，房间挺大的，隔音效果一般，不过要比普通酒店好很多，晚上还是很安静的！', '短评打分': 5}
{'短评内容': '条件不错，价格便宜就是有点吵', '短评打分': 5}
{'短评内容': '还不错，比较满意！', '短评打分': 5}
{'短评内容': '离家很近的一家，我觉得还可以，就是价格偏贵了一点', '短评打分': 5}
{'短评内容': '无车位，服务员也不帮忙解决，直接一句话“没有车位，自己找。” 态度真真的不行，房间烟味较重，唯一值得推荐的就是地理位置不错。', '短评打分': 2}
{'短评内容': '感觅还好，会常住', '短评打分': 4}
{'短评内容': '酒店各种设施都很干净，周围吃的很多，交通便利。就是wifi实在是巨慢无比，还没有住的某某快捷酒店快，电视是网络电视，根本不能流畅的看，吹风机很容易过热，然后就自动休息了。', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '挺不错的，下次还会来住', '短评打分': 4}
{'短评内容': '简单方便', '短评打分': 3}
