{'短评内容': '稍微有点偏', '短评打分': 4}
{'短评内容': '离牯岭街十分钟路程吧，周边很安静，晚餐不错', '短评打分': 4}
{'短评内容': '订的湖景房，但看不到湖景。服务员比较朴实', '短评打分': 4}
{'短评内容': '店主非常热情，电话咨询问题都耐心答复，别墅房间很干净安静，热水很充足。可以看到湖景。很美。', '短评打分': 5}
{'短评内容': '方位还不错，比较清净，但是房间只有小窗户，不怎么透气 有点味道 老板挺热情的', '短评打分': 4}
{'短评内容': '从网上攻略看评论不错，就定了。地理位置不错，靠近牯岭街，晚上也很安静。主要，老板亲切热情，真心不错。', '短评打分': 5}
{'短评内容': '环境好，菜品好，舒服', '短评打分': 5}
{'短评内容': '房间比较冷，没有取暖器，没有空调。很潮。因此睡不好。但是老板人还不错，告诉我们游玩的路程。给我们提供了很多帮助', '短评打分': 4}
{'短评内容': '房间干净，宾馆距离牯岭正街有一段距离，没有那么多人和车，更安静。天气好的时候能远远看到如琴湖，风景好。庐山长年有雾，比较潮湿，被子较潮，但还好。老板热情，还安排了上山车辆。除了安排的房间窗户对着餐厅，其他都挺好的。', '短评打分': 5}
{'短评内容': '服务一般，房间发霉！', '短评打分': 3}
{'短评内容': '酒店不大，但很干净。我住的房间光线不错，通风效果好，房间也比较大。位置还可以吧，离乘观光车的位置不远，也算方便。老板人不错，走时帮忙把行李送到汽车站，省了不少力气。', '短评打分': 5}
{'短评内容': '酒店很好，老板做菜好吃，风景很好，庐山很好玩。', '短评打分': 5}
{'短评内容': '老板做菜好吃，风景极佳！庐山太美啦！', '短评打分': 5}
{'短评内容': '安静，离镇中心很近。窗外就看到美丽的如琴湖，风景一流。下次去还住那里。', '短评打分': 4}
{'短评内容': '安静，离镇中心很近。窗外就看到美丽的如琴湖，风景一流。下次去还住那里。', '短评打分': 5}
