{'短评内容': '总体感觉还不错比较安静', '短评打分': 5}
{'短评内容': '没有想象中好！', '短评打分': 3}
{'短评内容': '感觉还行吧，就是有点吵', '短评打分': 5}
{'短评内容': '这个酒店特别差！房间没电视，床单上有头发，房间味道重，再也不会去住这酒店1分', '短评打分': 1}
{'短评内容': '活了这么久见到最烂的酒店，要不是孩子睡着了，我们根本就没办法忍受', '短评打分': 1}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '性价比高。。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '价格还可以，环境一般吧、马马虎虎！', '短评打分': 4}
{'短评内容': '安全不错，多经过一道门，蛮好的', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务周到环境优雅设施齐全交通方便', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小，比较简陋，凑合住', '短评打分': 3}
{'短评内容': '不错，出行方便，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '悦廷--服务不错，洗漱间偏小', '短评打分': 3}
{'短评内容': '酒店很温馨，不单单是酒店的布置上，还有服务上，退房的时间是下午2点，大概不是旺季吧，不管怎么样，能灵活的调整经营思路，我觉得很好，房间虽然小点，但物有所值吧。', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '酒店很旧，没电梯，设施差。', '短评打分': 3}
{'短评内容': '卫生间地漏有异味，可能是潮湿的关系。除此之外都还可以。', '短评打分': 5}
{'短评内容': '物美价廉，很不错，酒店环境也好，交通也很方便，离SM城市广场、明发商业广场、巴黎春天百货和火车站都很近，下次一定再来', '短评打分': 5}
{'短评内容': '交通还行，但是酒店价格太贵了平常要是这个价格肯定不去。房间还不错，服务还好。', '短评打分': 5}
{'短评内容': '酒店不好找出来也感觉挺偏了等车也等了一个小时才来一辆小公交车，房间也就一般般，服务态度还可以，价格的话也不是很便宜，酒店的环境不怎么样。', '短评打分': 1}
{'短评内容': '交通方便，周边娱乐及超市等设施齐全，但坐公车离轮渡有点远。', '短评打分': 5}
{'短评内容': '房间很干净，就是有点小！东西很齐全～地理位置也很好，值得入住！', '短评打分': 5}
{'短评内容': '还好吧.。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比： 非常好', '短评打分': 5}
