{'短评内容': '我都不知道怎么说这个公寓，本来是回老家打算将就住一晚的，现在我就来说说这家极品吧！晚上到了成都后打电话有人来接的，态度还可以，入住后卫生间公用也能接受，错就错在这么冷的天气空调不制冷，晚上穿着羽绒服睡的，怕宝宝着凉， 就安排睡在两个大人中间了！（还有公寓没有前台没有发票的，当场入住就交钱的）。过完年本来想预定同家公寓（老妈本来说换酒店吧，住着瘆的慌！）考虑到酒店都有点远，不想麻烦就换了房型，可是下', '短评打分': 2}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '雷丽娜', '短评打分': 1}
{'短评内容': '房间还好有空调不能开，有没卫生间，里面浴巾，毛巾都没有', '短评打分': 3}
{'短评内容': '老板人很好，很老实，好说话，房间干净', '短评打分': 3}
{'短评内容': '还不错 只要是赶火车方便。', '短评打分': 3}
{'短评内容': '对于赶路的人还是很适合的，离火车东站非常近', '短评打分': 5}
{'短评内容': '离火车站最近的家庭旅馆，方便乘车。周围普通餐饮较多，用餐也不错。', '短评打分': 3}
{'短评内容': '京东定的90元，实地考察是80元，淡季只要60元。\r\n总体而言，环境可以。', '短评打分': 4}
{'短评内容': '环境不错 设施齐全 交通方便 附近也蛮热闹的', '短评打分': 5}
{'短评内容': "老板服务很热情'卫生间条件一般'公寓地点不太好找", '短评打分': 3}
{'短评内容': '太差劲了，简直不能接受，啥都没有，糖酒会得时候，没办法才去住的', '短评打分': 1}
{'短评内容': '步行10分钟即可到达火车东站，交通还是很方便的，房间也还不错，五一的价格也不高，比较实惠。', '短评打分': 5}
{'短评内容': '：比较满意。', '短评打分': 3}
