{'短评内容': '根本不是城市便捷酒店，只是挂了个牌而已，不值这个价', '短评打分': 1}
{'短评内容': '交通挺方便的的的的的的的的的的的的的的的的的的 ', '短评打分': 5}
{'短评内容': '环境不好，价格便宜，有早餐，无停车场，总的来说还行吧', '短评打分': 1}
{'短评内容': '价格还算便宜，就是房间设施一般般，空调很给力，周围环境一般，离商业区挺近，没有停车场', '短评打分': 1}
{'短评内容': '在南宁市区，这个价格能住到这样的房间，很好的了，下次去南宁还会住那里', '短评打分': 5}
{'短评内容': '是城市便捷旗下的其它店，和城市便捷还是有区别的。不过还行！', '短评打分': 3}
{'短评内容': '酒店地理位置不错，临街，就在新和平商场对面，还送早餐。不过酒店的房间就真的不怎么样。我住的是大床房，房间小，一张大床摆中间，活动的地方都没有了。客房陈旧，酒店就只装修了外部，没装修房间。不过这样的房间这样的价钱也可以了。还有就是房间插座太少，只有电视机后面的一排，手机充电都不方便。', '短评打分': 3}
{'短评内容': '我住的特价房，特别坑爹，卫生间有异味，电视坏的，空调不能手动，热死，以后都不想了，，，，和如家同价位没得比', '短评打分': 3}
{'短评内容': '南宁城市便捷酒店位置非常好，去火车站和乘机场大巴都很近，服务热情，房间尚可。', '短评打分': 3}
{'短评内容': '房间太小！拥挤，给人感觉不好，隔音好差！没有正店好！', '短评打分': 3}
{'短评内容': '酒店位置靠近火车站，交通比较便利，价格比较实惠。但该实际上只是城市便捷酒店的托管酒店，因此硬件设施相对较差，我住的标准大床房，卫生间竟然是蹲便器，气味比较重。我问前台，说也有房间是坐便器。送的早餐不怎么样，就餐环境较差。', '短评打分': 1}
{'短评内容': '和其他真正的城市快捷硬件上差得太远,房间简陋，环境不好', '短评打分': 1}
{'短评内容': '总的来说还可以提供早餐还不错', '短评打分': 3}
{'短评内容': '还算干净，地段不错，靠近很多商场和中山小吃街。就是厕所居然是蹲厕，有点不习惯', '短评打分': 5}
{'短评内容': '这家店靠近市中心，离火车站比较近，出行比较方便。酒店外围环境不算好，酒店面积虽然不大，可是该店的员工都很敬业，服务态度非常好。性价比不错，还提供免费中西早餐。在同类价位的酒店中不多见。', '短评打分': 5}
