{'短评内容': '挺好的，还不错', '短评打分': 5}
{'短评内容': '各方面都行', '短评打分': 5}
{'短评内容': '酒店还可以，刚好赶在优惠期，100多块很不错了', '短评打分': 5}
{'短评内容': '新店开张，环境好', '短评打分': 5}
{'短评内容': '干净，舒服，实惠！下次再来', '短评打分': 5}
{'短评内容': '同。', '短评打分': 5}
{'短评内容': '同。', '短评打分': 5}
{'短评内容': '很干净，很安静，强烈推荐。', '短评打分': 5}
{'短评内容': '环境值得起那个价格', '短评打分': 5}
{'短评内容': '住过最差的酒店！设施很旧，卫生间房门还是坏的，洗澡水龙头也是坏掉的，没有房间换不了 只能将就，退房时间在入住的时候并未告知，想着就按照房卡上写着13点退房呗，结果退的那天上午11点多才打电话来让我们让12点退，还威胁说超过12.30加收半天房费，前台给的说法是因为我们是网上订的房所以要12点退，房卡上的时间只是针对于在酒店官方订的客人，那么言下之意就是歧视通过三方预定的客人咯？从没住过这么差劲的酒', '短评打分': 2}
{'短评内容': '垃圾酒店订房后，去去网上订的3点后才可以入住。。。', '短评打分': 2}
{'短评内容': '很普通的的快捷酒店的样子！  房间不是很隔音！', '短评打分': 3}
{'短评内容': '房间有异味', '短评打分': 1}
{'短评内容': '酒店服务相当恶劣，', '短评打分': 1}
{'短评内容': '网络差，电视只有十个台', '短评打分': 3}
{'短评内容': '不错的酒店。设施，服务，位置都很不错  性价比还不错,位置很好，就在交大对面, 门口有公交站台，卫生间味有点重。   总体情况可以', '短评打分': 4}
{'短评内容': '前台太度很不好我要投诉她。', '短评打分': 3}
{'短评内容': '洗澡喷头有问题，房间略吵，刚进去的时候空调也有问题。。', '短评打分': 4}
