{'短评内容': '酒店环境很好，工作人员态度很好，还免费升级了豪华房型。', '短评打分': 5}
{'短评内容': '位置好，近烈士陵园地铁站，周边服务设施齐全', '短评打分': 4}
{'短评内容': '位置可以，酒店设施稍旧一些，服务还可以', '短评打分': 4}
{'短评内容': '位置可以，酒店设施稍旧一些，服务还可以', '短评打分': 4}
{'短评内容': '离地铁站很近，交通便利！', '短评打分': 5}
{'短评内容': '距地铁站很近，出行方便快捷！', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店不算大，环境还行，交通方便，价格不算便宜！', '短评打分': 5}
{'短评内容': '交通方便，环境还行，价格也算适中，早餐一般！', '短评打分': 5}
{'短评内容': '没什么可说的总体感觉就是一般 网上图片与实际不符', '短评打分': 3}
{'短评内容': '不是专门做酒店的    水疗为主', '短评打分': 4}
{'短评内容': '一做水疗的  不像五星', '短评打分': 4}
{'短评内容': '每逢到广州出差都住这家酒店。酒店位置很好，就在广州老城区，离地铁口也近。房间内要用的东西比较齐全，桌子看上去有点旧了。房间打扫挺干净的，床软软的也比较舒服，唯一感觉不好的是有的房间没有窗户。酒店服务也不错，很快就办理完入住手续。吃东西很方便。这家酒店的卖点之一就是他们还有水疗，很适合差旅人士。', '短评打分': 4}
{'短评内容': '房间在周边来说算是最好的了，就是订的时间长也没有优惠', '短评打分': 5}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '靠近马路，不够安静', '短评打分': 5}
{'短评内容': '服务好，热情洋溢', '短评打分': 5}
{'短评内容': '服务好，态度热情', '短评打分': 5}
{'短评内容': '酒店服务好，缺点靠近马路', '短评打分': 5}
{'短评内容': '总台服务极差！', '短评打分': 1}
{'短评内容': '唉 这是个招待所啊', '短评打分': 3}
{'短评内容': '房间好高啊～～还行！', '短评打分': 4}
{'短评内容': '还可以，房间好大', '短评打分': 4}
{'短评内容': '房间环境卫生赞，花洒水稍小，自助早餐一般', '短评打分': 4}
{'短评内容': '订酒店已经说明要安静一点的房间，入住后还安排在机房下面，说要投诉才换上另外一间房，早餐品种不多，点了碗面还是馊的，电梯也没空调的，这家酒店可能主要做水疗的。', '短评打分': 1}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '房间比较大，也挺干净的，广州这个价位比较时尚的酒店好少，这家算装修还可以喽', '短评打分': 3}
{'短评内容': '这次是公司帮我订的房间，我也是第一次入住这家酒店。迎宾及前台服务挺热情，房间挺新，很高，感觉好空旷。下次还让公司帮我订这家酒店。', '短评打分': 5}
{'短评内容': '不错，帮朋友订的酒店，朋友回来说酒店还可以，跟他办事的地点很近。', '短评打分': 5}
{'短评内容': '听朋友介绍来这家酒店住的，我需经常出差，住过世界各地很多酒店，这家酒店是我住过的房间层高最高的酒店，感觉有4米左右高，很舒服。天台的游泳池水深有1.8米，很适合我晨练。入住时前台告知住客可以享受净桑优惠，购买150元一张券，可以24小时吃喝玩，包括了桑拿、电影、桌球、上网、24小时不间断自助餐等等，对我这样经常出差广州的人是又一惊喜！早餐从早上6：30就开始了，一直持续到10：30，给客人预留了充', '短评打分': 5}
{'短评内容': '酒店新装修层高很高，感觉很舒服…值得入住…', '短评打分': 3}
{'短评内容': '新开的酒店，装修还行，但是配套一般，服务一般。早餐很差，说是自助却才几样东西', '短评打分': 3}
