{'短评内容': '可以的，停车方便。只是床头没有插座，充电不了便。', '短评打分': 5}
{'短评内容': '家人一句一觉睡到大天亮比什么都强', '短评打分': 5}
{'短评内容': '京东威武，liuqiangdong威武！', '短评打分': 5}
{'短评内容': '还不错哦哦哦哦', '短评打分': 5}
{'短评内容': '环境都不错的 内部也很好', '短评打分': 5}
{'短评内容': '还是不错的，距离万达比较方便，人也不多，没有那么拥挤', '短评打分': 5}
{'短评内容': '商务住宿可以！', '短评打分': 4}
{'短评内容': '地點滿好的，離宵边大街、沃爾瑪很近，方便飯後散步和日常用品、食物水果等補充。這對商務出差是很重要的。', '短评打分': 4}
{'短评内容': '越来越旧了！前台的服务不行！', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '还可以，性价比高', '短评打分': 4}
{'短评内容': '交通方便，卫生不错。服务态度热情，细致周到。晚间室内安静适合居住休息。停车还算可以，地下停车上前台也方便', '短评打分': 4}
{'短评内容': '一个星期住2晚，不错的酒店，实惠，干净卫生…', '短评打分': 5}
{'短评内容': '不错，干净！窗口稍微有点吵，还可以忍受！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总体满意，晚上回到酒店发现送了水果和零食，蛮贴心的！', '短评打分': 5}
{'短评内容': '酒店便宜实惠.交通方便.晚上还有水果.离气车站很近.', '短评打分': 5}
{'短评内容': '离长安车站很近，很方便，晚上还送水果，很贴心，有无线路由借用，早餐也不错，下次还会入住', '短评打分': 5}
{'短评内容': '服务态度好，房间性价比高，值得一去的酒店', '短评打分': 5}
{'短评内容': '明天去长安，继续住九天，现在返51元，真正的是超高性价比了，估计在长安都很难找到这么好的性价比酒店啦！继续关注九天！！', '短评打分': 5}
{'短评内容': '优点:房间很大很干净，隔音好;缺点:没有保险箱和冰箱', '短评打分': 3}
{'短评内容': '返券50，价钱很有吸引力。同类型酒店性价比非常高。', '短评打分': 5}
{'短评内容': '房间挺干净的，前台服务也不错，满意。我们丢了一个充电器，他们帮忙找回来还保管了几天。', '短评打分': 5}
{'短评内容': '                               呵呵，一如既往的不错，下次来还是这家！！！！', '短评打分': 5}
{'短评内容': '酒店总体环境不错，服务也不错。物有所值。如果有无线路由就最好了。', '短评打分': 5}
{'短评内容': '第二次来，在那条街道，还是觉得这酒店比较好，而且还返现。^_^', '短评打分': 5}
{'短评内容': '酒店感觉还行，有赠送的水和水果等，服务周到，值得入住。', '短评打分': 5}
{'短评内容': '无论是地理位置，价格，还是房间的舒适性。均无可挑剔。如再到访这地区，也必定选择这酒店。', '短评打分': 5}
{'短评内容': '酒店的环境很不错，像很多入住朋友的感觉一样，这里服务真的很不错，下次还会入住的。', '短评打分': 5}
{'短评内容': '第三次入住了～这次是1021房～虽然入住时间上有点冲忙～感觉还可以吧～半夜还出去买吃的，不知道酒店有没附近外面送餐电话呢？酒店里面可以提供下相关信息～谢谢', '短评打分': 5}
{'短评内容': '第二次入住，房间空调有点问题～不制冷～希望可以解决。1201房。', '短评打分': 5}
{'短评内容': '房间舒服～挺好的。还收到酒店送出的小礼品，就是被褥比较大消毒水味道～皮肤有点点过敏，早餐质量不太好。', '短评打分': 5}
{'短评内容': '比预想的还要好，房间很大，很干净。这个价格住这样有星级标准的商务酒店很难得，刚进来服务员就送来一份果盘，虽然量不多，但也是一种惊喜。还有免费矿泉水，给刚进店的人一种家的温馨。由于床离电视有点远，幸亏电视够大，否则像我有点近视的还真有点麻烦。前台的美眉又漂亮又热情，赞一个，下次来还会住这儿。', '短评打分': 5}
{'短评内容': '昨天从长安回来了，还是住的九天，热情的服务，干净的房间，会继续支持！ 礼物很好，很不错。谢谢O(∩_∩)O~', '短评打分': 5}
{'短评内容': '交通方便，环境也干净，但房内没吹风机？以前住过一次好像是有吹风机的，这次住的房间没有，洗完澡不方便呀', '短评打分': 5}
{'短评内容': '今天过来还是住这个酒店，酒店真的不错 性价比高 干净 大 服务也好 会一直支持。我的真名（王旭照） 每次说送小礼物 都没联系我 嘿嘿', '短评打分': 5}
{'短评内容': '不错。房间大干净。服务态度好。就是早饭太晚了', '短评打分': 3}
{'短评内容': '今天4月30号过来东莞长安，还是住的这个酒店，以后都会过来住这边，环境，卫生，服务都很好。就是每次都是12点退房，不知道有没延迟退房的服务！！', '短评打分': 5}
{'短评内容': '酒店不错非常干净整洁', '短评打分': 3}
{'短评内容': '常住这家酒店，环境卫生都很好，设施也不错。\n晚上送水果很温馨，入住有无线路由使用，方便我的Ipad上网。\n前台服务温馨可靠，尤其喜欢郑小姐的笑容。', '短评打分': 5}
{'短评内容': '这个月14号又过去长安，还是住的这个酒店，一如既往的好，可能上次去的晚了，没水果了，不错，会继续入住', '短评打分': 5}
{'短评内容': '其他都不错，提点小意见，没有水果，没有玻璃杯。', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，价格也很实惠。地理位置也行，附近有一个广场，出行很方便。', '短评打分': 5}
{'短评内容': '很好，环境不错！服务态度好！还有免费水果赠送！', '短评打分': 5}
{'短评内容': '真的很不错的酒店，性价比超高，比其他的连锁酒店好很多，房间很大，服务态度也很好', '短评打分': 5}
{'短评内容': '第二次住了，很是给力！服务很好，没有带充电器，还借给了诺基亚的线充。。', '短评打分': 5}
{'短评内容': '不错 就是网速玩不了dota', '短评打分': 3}
{'短评内容': '酒店有些偏僻，适合商务出行，比较经济实惠。房间大，还算干净。', '短评打分': 5}
{'短评内容': '下个星期又要过去东莞长安，应该还是会住在九天，性价比好，现在去那边一般都是住这个酒店的', '短评打分': 5}
{'短评内容': '住房设施很给力，就是靠近马路边的房间很吵，建议加强防噪隔音设施！', '短评打分': 5}
{'短评内容': '一直住这家酒店，感觉总体比较是最好的，环境-价格-房间大小-用品。服务不错，还提供无线路由，ipad也可以使用高速上网。感谢前台经理郑小姐态度亲切笑容很美。', '短评打分': 5}
{'短评内容': '住的是豪华单人房，房间很大，设施还可以，每天都有水果送', '短评打分': 5}
{'短评内容': '的确设施不错，内部环境很好，服务也到位，值得推介', '短评打分': 5}
{'短评内容': '已经住了2次，酒店环境真的不错，性价比高，以后过来都会住在这边', '短评打分': 5}
{'短评内容': '去长安，这家最舒心。这次居然提供无线路由，让我的Ipad也能高速上网。', '短评打分': 5}
{'短评内容': '和同事出差一起预定了两间，同行的都觉得很好！性价比很高的酒店！干净、安静,服务很好，要求的服务反映很快，而且会尽力解决！在此感谢！', '短评打分': 5}
{'短评内容': '很好，物超所值！干净，服务好！本来觉得150元的酒店应该很差，想住一宿不行就换呢，结果一直出差住了10天，很满意！', '短评打分': 5}
{'短评内容': '就店确实不错，又住了一天。', '短评打分': 3}
{'短评内容': '这是我第三次入住了，感觉不错的，房间很干净，晚上睡觉也很安静。', '短评打分': 5}
{'短评内容': '服务还不错，上次给送了一个苹果和一个柑，要是价格还能降低一点，那就更好了。', '短评打分': 5}
{'短评内容': '已经入住，酒店房间宽敞，干净，真值。', '短评打分': 3}
{'短评内容': '房间很大，晚上还有送水果，每天都不一样送的。早餐12元很有营养。', '短评打分': 3}
{'短评内容': '非常不错吖，晚上还送水果呢，设施一应具全，长安住宿就这里啦，表扬一下：网速给力哈！', '短评打分': 3}
{'短评内容': '还是一如既往的干净，应有尽有，服务良好，唯一就是早餐不是自助的。已经是第n入住了。', '短评打分': 5}
{'短评内容': '一直选择这家就是相比周围的酒店性价比最高，缺点就是不能开窗通风，空气有点不是太好', '短评打分': 5}
{'短评内容': '安静舒适，服务态度好，性价比高，就是有的房间窗户正对居民楼', '短评打分': 5}
{'短评内容': '酒店设施还是不错的，只是停车场以及周边环境不是很好，所以总的来说能给八十分。', '短评打分': 5}
{'短评内容': '在长安镇来看,综合多方面而言是很不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置不好找，北站來要轉大圈。\n酒店干净、便宜。\n毛巾浴巾太破旧，感觉不够干净。\n袋装的沐浴露，用起来不够，早上冲洗就無得用了！最不好是收費和不收費的鬚刨放在一起，早上起來使用時不知用了收費的鬚刨，雖然不贵但不服。\n整体还行，一般般。', '短评打分': 5}
{'短评内容': '房间环境可以,但少了吃饭', '短评打分': 3}
{'短评内容': '酒店性价比很好，离镇中心稍微有些远，总体不错', '短评打分': 5}
{'短评内容': '房间太大，工作人员很热情，还送水果。\n缺点就是浴室有一点点脏，除此之外，其它的都还好，下次还会入住。', '短评打分': 5}
{'短评内容': '虽然靠近国道但不是太吵，服务好有时候会送水果', '短评打分': 5}
{'短评内容': '一如既往的入住，相对干净，性价比高，服务不错的。', '短评打分': 5}
{'短评内容': '价格一如既往适中，还送水果，可以在前台借无线路由，服务不错，就是没有可以开的窗户，感觉空气不是太好', '短评打分': 5}
{'短评内容': '前台服务好，房间舒适，价格适中，送早餐感觉不错', '短评打分': 5}
{'短评内容': '不错的酒店，很干净。', '短评打分': 3}
{'短评内容': '干净、便宜。\n毛巾浴巾太破旧，感觉不够干净。\n沐浴露袋装的，好象用起来不够，冲洗次数多的话，就不够用了，不过，换一个角度来说，环保方面还是可以的，不准过量用，也不冲洗次数太多哈！\n整体还行，一般般。', '短评打分': 5}
{'短评内容': '酒店不错 房间很大 干净 设施用品齐全 洗发水是飘柔 赞', '短评打分': 3}
{'短评内容': '很久没去这家店住了，奇怪的是现在这家店为什么没有水果送了？', '短评打分': 5}
{'短评内容': '价格合理，服务热情，有水果送。总体感觉不错。', '短评打分': 5}
{'短评内容': '安静舒适，价格适中，以后还会选择，大运会临近，身份证管理比较严格了', '短评打分': 5}
{'短评内容': '设施新，房间大，好', '短评打分': 3}
{'短评内容': '可以，性价比挺高。干净，舒适，商务住宿不错的选择！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '可以，不错，好。设施可以，价格不错，住得好。', '短评打分': 5}
{'短评内容': '一贯的支持，性价比高。不吵，干净，大。（凑凑字数）', '短评打分': 5}
{'短评内容': '总体还是不错的，值得推荐。周围吃饭、超市比较方便。', '短评打分': 5}
{'短评内容': '我定的是豪华房，房间太大了。不过窗外的风景就是一尺之隔的居民“万国衣展”。', '短评打分': 5}
{'短评内容': '上次入住说好是电脑房，结果去了没有按排，说协议房不是电脑房，这次去自己带了电脑，结果宽带又没法儿用，空调也不能制热。。', '短评打分': 1}
{'短评内容': '地段还可以，房间不错，周围有饭馆，可以延迟到下午两点退房。', '短评打分': 5}
{'短评内容': '酒店是属于是商务型的酒店,在东莞商务出差在那不错,条件也很好.服务很周到.', '短评打分': 5}
{'短评内容': '位置很好找，在107国道上(长安车站和长安门之间)，交通十分方便。房间整洁而且空间很大。', '短评打分': 5}
{'短评内容': '不错，下次再来,环境不错，卫生不错，设施也不错！', '短评打分': 5}
{'短评内容': '房间很大，虽然靠近107国道，但是却很安静，值得推荐。', '短评打分': 5}
{'短评内容': '性价比高,房间干净,基本设备都齐备,热水一开就有', '短评打分': 5}
{'短评内容': '酒店在汽车站边不是很远，房间很大，设施很新，早餐送餐不收服务费。床上用品、毛巾很干净，性价比不错！', '短评打分': 5}
{'短评内容': '不错的酒店，跟大家评论的一样，感觉很舒服，印象深的是洗手间的热水很快，一开龙头就很烫，不像有些酒店要放半天才出热水，下次还会入住。', '短评打分': 5}
{'短评内容': '最早住这家店，后来住过莲花，喜儿顿，名典，国际，长安酒店等一批普通或者4星以上酒店，还是选这家，就为了舒服，我一直定商务大床。', '短评打分': 5}
{'短评内容': '住的是豪华大床房，不错，房间很大，床很舒服，而且最难得的是，在107国道上，居然非常安静，赞！', '短评打分': 5}
{'短评内容': '这次入住非常满意。服务态度好，环境优雅', '短评打分': 5}
{'短评内容': '酒店挺好的，设施挺齐全，服务很周到，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '位于繁华地带，周边交通挺便利，酒店挺商务化，挺适合出差人士入住。', '短评打分': 5}
{'短评内容': '酒店很好 安静 设施好 房间干净 宽敞 还会来住', '短评打分': 5}
{'短评内容': '还不错，服务上随叫随到，房间里也很干净，设施完善，住的还比较舒适。', '短评打分': 5}
{'短评内容': '酒店还不错，挺干净的，卫生间打扫的挺干净，没什么异味，这点挺满意的。', '短评打分': 5}
{'短评内容': '位置很好，离汽车站走路5分钟。卫生还可以。就是不含早餐，有点遗憾。', '短评打分': 5}
{'短评内容': '很不错！~性价比很高，房间环境，条件都很不错，', '短评打分': 3}
{'短评内容': '很不错，4天内 住了3家，就这家性价比最好了，条件也很好', '短评打分': 5}
{'短评内容': '非常好的商务酒店 住了好几次了', '短评打分': 5}
{'短评内容': '+酒店不错 推荐', '短评打分': 3}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '酒店挺不错的', '短评打分': 5}
{'短评内容': '酒店环境还不错，打扫的蛮干净的，设施也比较新，价格也不贵，挺值得。', '短评打分': 5}
{'短评内容': '不错，就是吃饭不方便。', '短评打分': 5}
{'短评内容': '这家酒店在当地来讲，还是不错的，性价比蛮高的。', '短评打分': 5}
{'短评内容': '酒店房间面积蛮大，感觉挺宽敞挺舒适的。', '短评打分': 5}
{'短评内容': '服务态度都还好，酒店的价格还是比较优惠的，房间也很干净，位置也好找，真的还是挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '一切都好 就是服务态度一般，离长安汽车站特别近 步行就到了 ', '短评打分': 5}
