{'短评内容': '漂亮至极', '短评打分': 5}
{'短评内容': '环境好，客栈也很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好的客栈 在古城南面 这里不收维护费  老板很好很热情 大堂里有几只汪星人 古城里都是石板路 拉杆箱不是很好拉', '短评打分': 5}
{'短评内容': '靠近古城南门，位置好找。凌晨两三点到的，老板友好热情。就是地方有点局促，不过大堂倒是很好，很适合一起聊天发呆。', '短评打分': 5}
{'短评内容': '老板热心，客栈靠近南门，坐车出行方便，性价比高', '短评打分': 5}
{'短评内容': '地方很好找，客栈环境很好，热水都很好，没有其他客栈那边那样吵闹，本人喜欢安静，这边绝对是最好的选择，老板很不错，陪喝茶聊天推荐景点，还请我们去酒吧玩，很不错哟?，下次来玩还住这边。  ', '短评打分': 5}
{'短评内容': '出行前半个月在网上寻找合适的客栈，看到吉庆祥客栈是2010年开业，所以环境很干净，吉庆祥客栈是个闹中取静的地方，白天出去游玩晚上回来可以安心的好好休息。客栈的人都很热情，帮我们预定纯玩团，还派车接机，推荐我们附近的美食，招待我们喝茶喝酒，入住了四天，意犹未尽，下次如果来丽江，还会选择吉庆祥客栈  ', '短评打分': 5}
{'短评内容': '酒店地理位置不错，设施中规中矩，洗漱用品质量不错，非常好用，此处应该点赞。服务员都很热情。  ', '短评打分': 5}
{'短评内容': '服务员态度好，还特意留言天气干燥等注意事项，特别好  ', '短评打分': 5}
{'短评内容': '客栈闹中取静，静静的坐在院子晒晒太阳，累了和掌柜喝喝茶聊聊天。觉得这里真的是天堂，来了就不想走了。很好很舒心。  ', '短评打分': 5}
{'短评内容': '吉庆祥客栈很温馨，栈中的哈士奇叫“哈皮”', '短评打分': 3}
{'短评内容': '环境很好很安静~', '短评打分': 3}
{'短评内容': '＋酒店挺好的，很温馨，环境也不错，很喜欢他家的小院子，离古城很近，很方便。', '短评打分': 3}
{'短评内容': '很好，很划算。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
