{'短评内容': '不错，还可以', '短评打分': 3}
{'短评内容': '前台接待很好 不用付押金 ', '短评打分': 4}
{'短评内容': '有个窗，但是等于无窗，窗外也是密闭的，并不通风采光，被子是黄的，有异味。价格199，图便宜。这样的旅馆怎么通过消防验收的呢？如果着火估计无处逃生。七天还是长点心吧，什么店都加盟，不怕砸了招牌。差评，差评，差评', '短评打分': 2}
{'短评内容': '虽然附近还有一家七天 隔得很近 可是还是这家好 干净好多 而且附近超级多吃的 推荐大家吃本真铜锣烧和冠记的炸面肠粉', '短评打分': 5}
{'短评内容': 'OKOK!', '短评打分': 4}
{'短评内容': '总的来说还可以，入住确认的不是很快，人一多前台就忙不过来了', '短评打分': 5}
{'短评内容': '房间还是够两个人住的，不感觉有多小，总的来说还可以', '短评打分': 5}
{'短评内容': '环境不错，性价比高', '短评打分': 5}
{'短评内容': 'wifi不是很好，很容易断网', '短评打分': 5}
{'短评内容': '很好非常好非常好', '短评打分': 5}
{'短评内容': '很好非常好非常好', '短评打分': 5}
{'短评内容': '住了很多次，卫生还可以，价格实惠，下次再来。', '短评打分': 5}
{'短评内容': '此房子宽阔优雅，是我在旅游生活的好选择。', '短评打分': 5}
{'短评内容': '住了很多次，房间不大不小很合适，挺干净。', '短评打分': 5}
{'短评内容': '很好。房间有点小。', '短评打分': 5}
{'短评内容': '住了几天，感觉还不错，就是房间有点小', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '好好好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '相当好！！！！！！！！！！！！！！！！！！～～～～～～～～～！～～！！～！！～！～！！～～～～～！！', '短评打分': 5}
{'短评内容': '保持水准！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '唔错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '地段好！靠近江南西地铁站，公交巴士也方便,商业街美食街吃玩很方便,价格也还行，就是隔音不好,卫生需加强!满意!', '短评打分': 4}
{'短评内容': '卫生不错 快捷酒店的标准 房间比较小', '短评打分': 5}
{'短评内容': '酒店房间不错，安静舒适客人反馈很满意，下次再住。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '别的一般，服务生很不错', '短评打分': 4}
