{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '总的来说还是很好的', '短评打分': 4}
{'短评内容': '方便，比较旧', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '设施好', '短评打分': 5}
{'短评内容': '周围环境好！', '短评打分': 5}
{'短评内容': '这个还可以性价比不错', '短评打分': 5}
{'短评内容': '美团更便宜', '短评打分': 4}
{'短评内容': '就是电视剧不太好，其余的都可以了！', '短评打分': 5}
{'短评内容': '明明特意要的178元带窗户的 结果给我一个无窗的房间 找前台理论 他们说房间满了 调换不了 还问我你住不住 要是不带窗户的 我就可以定更便宜的了 这一晚上闷死了 无语中 再也不去了 ', '短评打分': 1}
{'短评内容': '价格便宜，房间干净。', '短评打分': 3}
{'短评内容': '我是10月份住的，无窗房空调还可以，离商业街近，但无停车位。卫生条件还行，价格能接受。', '短评打分': 5}
{'短评内容': '装修非常不好  室内环境非常差 还肮脏  还没有停车的地方  卫生间也非常不干净  嘿  门没有任何安全感 没有地方停车 嘿 总体不好', '短评打分': 1}
{'短评内容': '离中街步行街很近，逛街很方便。环境也不错，晚上很暖和。下次还会来的。', '短评打分': 5}
{'短评内容': '室内条件、地理位置都不错 价格还算合理，但是对早餐不太满意。', '短评打分': 5}
{'短评内容': '我来说两句，这个宾馆的地理位置特别好，是沈阳市中心地带交通和出行都很方便，价格也比较理想，有电脑房和普通房，', '短评打分': 3}
{'短评内容': '酒店位置相当不错 设施也很齐全 房间灯比较暗 早餐一般', '短评打分': 5}
{'短评内容': '环境和位置都很好，可以上网是电脑房。是来沈阳市的首先下榻之处，', '短评打分': 5}
{'短评内容': '地理位置相当的好，价格算不上特别便宜，但是好在地理位置，去故宫那是相当的近啊，楼下就是金店，非常方便！值得初来乍到的朋友！', '短评打分': 5}
{'短评内容': '环境优雅位子最佳是初次来沈首选之处', '短评打分': 5}
{'短评内容': '没有自己的停车场  如果附近找不到位置 那就惨了 因为是商业街 白天肯定会被警察叔叔罚款。卫生条件一般，不算脏，但是由于装修很老，导致有一种破烂的陈旧感觉，硬件设施一般，有浴缸 但是没有消毒，整个房间没有找到卫生纸。汗。 价格也不便宜', '短评打分': 1}
{'短评内容': '荟华楼商务宾馆住宿环境不错,服务态度也好', '短评打分': 5}
{'短评内容': '沈阳荟华楼商务宾馆位置不错，环境优雅，紧挨着刘老根大舞台和故宫，服务一般，饭菜质量也不错，住了一周觉得很满意，以后但沈阳还会入住。我推荐给大伙儿。', '短评打分': 5}
{'短评内容': '酒店在商业中心附近，出行蛮方便的，房间隔音效果很不错，住着蛮温馨的', '短评打分': 5}
{'短评内容': '酒店的位置还是不错的，但服务质量真是不怎么样，前台的服务员态度很差，设施也非常的陈旧，价格也挺高的，不便宜，所以建议大家不选择', '短评打分': 1}
{'短评内容': '位置好方便出行.卫生和设施条件很不错整体感觉上来讲是非常到位的.我本人很喜欢这家酒店.', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，设施完善，服务周到热情，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '酒店位置非常好,就在中街的一端。出门转个弯就到刘老根大舞台了。兴隆大家庭,故宫,帅府离的都很近。酒店设施虽有些陈旧,但也算是标准配置,又有电脑和早餐,性价比还是蛮高的。推荐入住。', '短评打分': 5}
{'短评内容': '门口停不了车，酒店里面也很一般房价还行吧当时也是因为去的比较晚了也没有太注意，位置还可以，和一般的商务酒店都差不多。', '短评打分': 1}
{'短评内容': '想在沈阳中街附近找一家商务酒店，荟华楼是我最终的选择，从地理位置到价格，再到了卫生服务，这家酒店都很超值，有一点可能不是很理想，就是早餐太简单了，不过，这个价钱，已经不错了。', '短评打分': 5}
{'短评内容': '房间设施有些陈旧.家具比较老.但酒店位于步行街.属于繁华地段，交通还算方便.', '短评打分': 5}
{'短评内容': '设施一般', '短评打分': 1}
{'短评内容': '地点处于闹市区很好，就是比较旧，早餐太差连杯饮料都没', '短评打分': 1}
{'短评内容': '应该说是离中街步行街最近的一家商务经济酒店了。荟华楼是沈阳最大的珠宝店，酒店就是他们开的，在商店的楼上，离中街步行街步行2分钟，离故宫也就5分钟，位置非常的方便。酒店中规中矩，没有什么特色，房间设施有些旧，但是设备保养得还算可以，房间很暖和，但是临街的房间非常的吵，毕竟是在商业街上的酒店吗。总之性价比还是不错的，在中街应该是非常不错的选择了。', '短评打分': 5}
{'短评内容': '酒店还可以，不过房间有点热，隔音不太好。\r\n但是酒店里的电脑不错，现在找房间里有电脑的酒店简直是太难了，单位配的电脑又太沉。所以对那些和我一样出门不愿意带电脑的朋友们，这里是个不错的选择。', '短评打分': 5}
{'短评内容': '房间比较宽敞，16平吧。出门就是中街，逛街购物方便。就是提到的停车场没有。处于闹市区，办事商务不建议，尤其是开车。早餐一般，勉强吃饱。', '短评打分': 5}
