{'短评内容': '还算可以吧', '短评打分': 4}
{'短评内容': '服务不错，但是空调老旧，很响，晚上睡觉感觉嘈。', '短评打分': 4}
{'短评内容': '服务较好，早餐也不错，新装修的，稍微有点气味。前面在修路，有点堵。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '装修大气，设施齐备，环境安静，服务周到。', '短评打分': 5}
{'短评内容': '很不好，条件简陋，洗澡水不热，是80年代的床。选181的要慎重', '短评打分': 2}
{'短评内容': '不错，去办事单位很方便，交通，位置都不错。', '短评打分': 4}
{'短评内容': '安静，但是东西陈旧，什么都没有，不值这个价', '短评打分': 3}
{'短评内容': '环境和地段不错，不过房间旧了，设施陈旧，最受不了卫生间的那股味道。价格也不便宜。', '短评打分': 3}
{'短评内容': '房间旧，早餐好。', '短评打分': 5}
{'短评内容': '就是有点旧了，没有格林豪泰那种酒店性价比高，但是还是挺安静的。', '短评打分': 4}
{'短评内容': ' 不错 比较满意..', '短评打分': 3}
{'短评内容': '确认晚了，住的环境挺安静的，价格也不错，下次去还会选的', '短评打分': 5}
{'短评内容': '环境还可以，就是上网不是那么方便，说好有网线，可入住后没有 ，协商好久才换了个能上网的房间。', '短评打分': 1}
{'短评内容': '性价比很高，地理位置非常好，出门走两步便是百脑汇电脑城，去川大也差不多两三百米的距离。订的大床房，房间很大，卫生间也不错。不过没有网络，而且装修感觉不是很新。', '短评打分': 5}
{'短评内容': '环境不错、价格也合适、推荐、', '短评打分': 3}
{'短评内容': '真的就是招待所，地点不错，有停车场，适合带车旅游居住，就是没有网络不太方便，网上订房不含早餐，加上早餐价格有点小贵。', '短评打分': 5}
{'短评内容': '真的就是招待所，适合学生结伴旅游或三口之家居住，就是没有网络不太方便，网上订房不含早餐，加上早餐价格有点小贵。', '短评打分': 5}
{'短评内容': '如果按照160元价格应该还可以，上网不是每个房间都可以，另外是通过借猫上网，不是太方便，停车位置很多，方便。', '短评打分': 5}
{'短评内容': '交通方便，酒店环境很安静，三人间很适合家庭旅游或学生结伴出行', '短评打分': 5}
{'短评内容': '价格是优势 地段也好 交通方便  （不能属于酒店  是正宗的招待所）  就是烟味太大 进房间后连我这个会抽烟的人  都被熏的睡不着 把窗户开了个通宵 （烟味之大毫不夸张）', '短评打分': 5}
{'短评内容': '第三次入住该酒店了,仍然是位置好,环境好,闹中取静', '短评打分': 5}
{'短评内容': '3月17号入住，一楼比较阴冷，空调不太给力，装修比较旧，不过房间很大，被褥比较干净，尤其是在大院里，环境很安静，因到川大考试距离特近，住在这里还行。', '短评打分': 5}
{'短评内容': '总体还稠糊，为了方便么，晚上就是我那个屋的空调不是非常好，服务员满通情达理的', '短评打分': 5}
{'短评内容': '位置好，停车场方便，房老服务一般。适合图方便的客人。', '短评打分': 5}
{'短评内容': '希望前台 小姐的 服务态度能有所改善，（总服务台的）', '短评打分': 5}
{'短评内容': '环境不错，地理位置什么的也不错，唯一不好的地方是工作人员的服务态度。。。不热情', '短评打分': 5}
{'短评内容': '安静舒适，停车出行都很方便。就是不带早餐。', '短评打分': 5}
{'短评内容': '酒店服务热情，停车场很大，位置不错服务热情。美中不足就是房子有些老，设施比较旧。', '短评打分': 5}
{'短评内容': '房间还行，设施齐全。酒店比其他好的地方就是有一个很大的停车场，院子，吃了饭还能在里面散步。就是卫生间小了。', '短评打分': 5}
{'短评内容': '住宿条件还好，舒适安静。', '短评打分': 3}
{'短评内容': '大环境不差,免费停车,安静,就是房间内设施较旧。', '短评打分': 3}
{'短评内容': '招待所环境不错，住得还舒适，好。', '短评打分': 3}
{'短评内容': '已入住。宽敞、舒适', '短评打分': 3}
{'短评内容': '招待所在院子内，很安静，房间也很干净，热水很给力，卫生间是蹲厕，太好了。交通便利，出院子大门就有公交车站到闹市，离新南门车站步行约二十分钟，总体来说性价比还是不错的！', '短评打分': 5}
{'短评内容': '，还不错，晚上很安静，睡的很好！', '短评打分': 3}
{'短评内容': '酒店服务非常好.台历很漂亮', '短评打分': 3}
{'短评内容': '房间环境还是可以，前台的美女服务态度不好。', '短评打分': 5}
{'短评内容': '环境还好，就是总台服务员的态度差.还有就是房间里没有大灯，总是处于很朦胧的状态。', '短评打分': 5}
{'短评内容': '环境还不错，离川大很近，最重要的是安静。', '短评打分': 5}
{'短评内容': '整洁舒适，交通便利，环境安静，服务很好，下次去成都还会定那里', '短评打分': 5}
{'短评内容': '刚才写的点评全没了。。。生气，就简单的写吧，二层楼梯旁右手这边的房间三人间床大，舒适，房间宽敞，液晶电视，不能上网，三层左手这边的三人间房间小，床很小，电视机，却基本没法看，可以上网，厕所是蹲式的，反味较大，夜间接待的小姑娘人很好，服务热情~不能刷卡', '短评打分': 5}
{'短评内容': '超级舒适，超级宽敞，超级棒，以后来四川一定还住这里，呵呵', '短评打分': 5}
{'短评内容': '一环以内，地段很好，有充足的停车场，周围交通也很方便。房间内东西比较齐全，难得是蹲厕，这点比较喜欢，较干净，服务员也挺热情，价格实惠。', '短评打分': 5}
{'短评内容': '九月三十日入住三人间，房间很大，总体不错，马路对面的小吃有八宝粥，黑米粥，蒸饺很不错，料多又实惠。', '短评打分': 5}
{'短评内容': '十一期间入住的，原本不是预定的这家，不过因为有3人，好不容易才找到这家有3人床位的酒店，因为是军区招待所，所以价格很实惠才170，平均下来每人不到60一天，但是却房间很大，整面窗户视野很好，不像有的经济型酒店没有窗户不透气，招待所中央区域还有休闲的小公园，散步聊天都很不错。招待所距离新南门车站只有1站路，离滨江边也不远，到春熙路也才几站路，另外一边便是四川大学，地理位置极佳。虽说在百脑汇电脑城后面', '短评打分': 5}
{'短评内容': ' 标间感觉不错，设施很全~推荐~', '短评打分': 3}
{'短评内容': '这房间还不错 性价比高  适合刚毕业的小青年们住！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '环境和服务都很好。', '短评打分': 3}
{'短评内容': '安全，安静，特别是离电脑城很近，办事很方便，就在百脑汇旁边。', '短评打分': 5}
{'短评内容': '房间还算干净，环境也不错。就是有点潮湿', '短评打分': 3}
