{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '老板的态度很好 值得入住', '短评打分': 5}
{'短评内容': '古香古色，很特别的体验', '短评打分': 5}
{'短评内容': '古香古色，很特别的体验', '短评打分': 5}
{'短评内容': '来丽江的第一天入住的，感觉还行吧。房间比较大，这个客栈有一店和二店，订的时候一定要注意区分！个人觉得一店比二店好。也许是淡季去的，感觉房间比较久没入住人了，天花板还有蜘蛛侠。', '短评打分': 5}
{'短评内容': '客栈真的太满意了 首先 位置非常好找 而且很安静 就在古镇内 却不吵闹 客栈非常热情 提供水和水果 无限量 出去玩回来感冒了 客栈老板 帮忙找药 给沏黑糖水 特别贴心 ', '短评打分': 5}
{'短评内容': '我和老公定的是9号晚上入住的，但是我们因为行程改变，9号六点就到店里了，规定是下午两点才能入住，但是店家非常好，九点客人走了，就让我们入住了，还特别的热情，让给我们提供免费的饮料，点心，水果，和茶。下次去丽江，一定还住你家。', '短评打分': 5}
{'短评内容': '非常好的酒店，定了两间房，有免费的早餐，蛋糕，牛奶，平常还有免费的饮料，水喝，干净，舒服，卫生，风景也好，住了三晚，现在去大理了。', '短评打分': 5}
{'短评内容': '很不错的酒店，出入方便，老板人也很nice，晚上出去玩也就，步行10分钟', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '没有点评说得那么好，但是整体不错。主要是无聊的时候去附近走了走，周边的客栈条件差不多，但是会便宜三分一的价格，小吃什么的也基本上是任吃。所以虽然客栈不错，但性价比不高', '短评打分': 4}
{'短评内容': '环境整体不错，可乐雪碧，茶，免费提供。就是住的临街，早上会自然叫醒，其他都OK', '短评打分': 5}
