{'descr': '交通方便', 'star': 5}
{'descr': '房间太破了', 'star': 4}
{'descr': '还好，很不错', 'star': 5}
{'descr': '酒店很一般', 'star': 2}
{'descr': '酒店条件差，价格便宜', 'star': 2}
{'descr': '各方面都非常不错，赞，哈哈哈！各方面都非常不错，赞，哈哈哈！各方面都非常不错，赞，哈哈哈！各方面都非常不错，赞，哈哈哈！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '服务一般，设施很旧，是个老宾馆，早餐不错！门口挺乱。', 'star': 3}
{'descr': '服务一般，设施很旧，是个老宾馆，早餐不错！门口挺乱。', 'star': 3}
{'descr': '服务一般，设施很旧，是个老宾馆，早餐不错！门口挺乱。', 'star': 3}
{'descr': '服务一般，设施很旧，是个老宾馆，早餐不错！门口挺乱。', 'star': 3}
{'descr': '环境只能说还凑合，对于酒店服务真是醉了，前台人员说话太难听，不文明，没素质，服务态度太差', 'star': 2}
{'descr': '环境一般、整体还算可以！就是酒店太老了', 'star': 3}
{'descr': '需要重新装修', 'star': 3}
{'descr': '太次 不是一般的次', 'star': 2}
{'descr': '房间很大，联通还算便利。就是设施比较陈旧。', 'star': 3}
{'descr': '位置不错，离公路大桥很近，交通挺方便，酒店设施还可以。', 'star': 5}
