{'短评内容': '交通便利服务一般', '短评打分': 3}
{'短评内容': '房间里有虫子。', '短评打分': 3}
{'短评内容': '很好，不是第一次住了，面积比其他酒店都要大', '短评打分': 3}
{'短评内容': '马马虎虎吧，价格合适！', '短评打分': 3}
{'短评内容': '酒店服务 卫生超好 很满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大很宽敞明亮', '短评打分': 3}
{'短评内容': '没有电脑房，关键你们携程别总是推荐责任', '短评打分': 4}
{'短评内容': '满意，就是卫生做的差了点', '短评打分': 4}
{'短评内容': '去的时候找不到位置,出火车站看不到,还要转几个弯过几个马路.....环境不错,很干净...下次去潍坊还会住这边', '短评打分': 5}
{'短评内容': '酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  ', '短评打分': 5}
{'短评内容': '酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  酒店不错 下次还会住这里  ', '短评打分': 5}
{'短评内容': 'SO  GOOD！  很值得体验的宾馆！很有家的感觉！强烈推荐！', '短评打分': 5}
{'短评内容': '很好的酒店，空间非常大，就是地板有点异味，希望可以改进', '短评打分': 5}
{'短评内容': '房间很大，比较舒服。', '短评打分': 3}
{'短评内容': '环境不错，房间够大，光线不错，值得推荐，', '短评打分': 1}
{'短评内容': '位置很不错，服务不错，房间很大，光线很好，也很新', '短评打分': 5}
{'短评内容': '很不错哦。房间很大，采光也很好。配置也完善。唯一就是电脑好像不能开，不懂怎么回事', '短评打分': 5}
{'短评内容': '不错，就是酒店内商品少点,要是能增加点商品就好了，早餐一般。', '短评打分': 5}
{'短评内容': '酒店很不错，房间大，挺干净的，像家的感觉，下次还住那', '短评打分': 5}
{'短评内容': '环境不错..服务到位..好地方', '短评打分': 3}
{'短评内容': '很舒服啊，房间很大很宽敞舒适，，绝对好评，下次还选这儿', '短评打分': 5}
{'短评内容': '很宽敞', '短评打分': 3}
{'短评内容': '价格合适！装修新，服务周到，离火车站不远。下次还来住', '短评打分': 3}
{'短评内容': '酒店服务不错，就是晚上有服务员乱开门，影响人休息', '短评打分': 5}
{'短评内容': '酒店包间超大的说，环境也不错，价格适中，位置离火车站5分钟的路，总之不错，值得推荐~', '短评打分': 5}
{'短评内容': '房间的暖气太热了 都出汗干燥，早上就不是很热，房间超大', '短评打分': 5}
{'短评内容': '酒店不错，很暖和，房间也够大。前台服务也很好。就是电脑耳机有点坏。修好的话可以说完美了，值得入住。', '短评打分': 3}
{'短评内容': '房间真的很大,床也很大,采光很好,不知道是不是我点背,电话不通,网速超慢,地暖温度不够', '短评打分': 3}
{'短评内容': '，房间很大，内部设施一般，价格偏高', '短评打分': 3}
{'短评内容': '该酒店隔音效果一般，室内色彩搭配不够柔和，其它的还不错！', '短评打分': 3}
{'短评内容': '房间宽敞、大气，干净、整洁，交通方便，周边离火车站、长途汽车站比较近！该酒店是公寓改造而成的，有部分房间还住着居户。', '短评打分': 5}
{'短评内容': '很干净宽敞的商务酒店！', '短评打分': 3}
{'短评内容': '挺安全。在装修。', '短评打分': 3}
