{'短评内容': '早餐很贴心', '短评打分': 5}
{'短评内容': '早餐有点简陋，除此之外其他都还不错', '短评打分': 5}
{'短评内容': '还可以，物美价廉，出差住的，整体条件还可以，一分价格一分货嘛，有麻将房，如果住在附近会比较吵感觉。整体还算满意', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '服务好，价格实惠！环境也好', '短评打分': 5}
{'短评内容': '服务不错。。一分钱一分货', '短评打分': 4}
{'短评内容': '还是很不错的，下次还会选择！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还算不错哦，住是没话说，交通也还行。就是门口修地铁站，晚上施工好吵，加上隔音一般般，晚上休息不是很好。', '短评打分': 5}
{'短评内容': '还算不错哦，住是没话说，交通也还行。就是门口修地铁站，晚上施工好吵，加上隔音一般般，晚上休息不是很好。', '短评打分': 5}
{'短评内容': '整体还行吧，早餐还是不错的！', '短评打分': 4}
{'短评内容': '只能说出差随便住住吧！不太理想！还没窗！', '短评打分': 4}
{'短评内容': '酒店交通方便，房间整洁干净卫生，服务热情，挺好的。交通便利利于出行，还是挺不错的性价比蛮高的。', '短评打分': 4}
{'短评内容': '酒店交通方便，房间整洁干净卫生，服务热情，挺好的。交通便利利于出行，还是挺不错的性价比蛮高的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
