{'短评内容': '环境不错，服务也不错，很干净下回还来。', '短评打分': 5}
{'短评内容': '环境不错，很好。下回还来', '短评打分': 5}
{'短评内容': '还可以11', '短评打分': 5}
{'短评内容': '老板娘很热情', '短评打分': 5}
{'短评内容': '整体还可以吧', '短评打分': 4}
{'短评内容': '酒店服务态度挺好，但是设施有点旧了，定了两间房，有一间房间有异味，放了好久。隔音一般般，整体还行，主要是便宜。', '短评打分': 4}
{'短评内容': '房间很好。很干净。Wi-Fi很快。', '短评打分': 5}
{'短评内容': '环境很好，很干净，下回还来', '短评打分': 5}
{'短评内容': '环境很好，很干净，下回还来', '短评打分': 5}
{'短评内容': '环境很好 下回还来', '短评打分': 5}
{'短评内容': '环境不错，很干净。', '短评打分': 5}
{'短评内容': '环境不错，下回还来。', '短评打分': 5}
{'短评内容': '环境不错，很满意下回再来。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '此酒店整体来说，还可以', '短评打分': 4}
{'短评内容': '很好很安静', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '挺好干净，服务态度好', '短评打分': 5}
{'短评内容': '总体来说还行，提几点建议吧，隔音太差，晚上外面动静太大了，还有就是服务员私自进房，还好只是收拾收拾卫生，东西没少。其他还行吧', '短评打分': 5}
{'短评内容': '卫生干净，', '短评打分': 5}
{'短评内容': '服务有待提高，没有文化宫店的服务好，房屋设施挺不错。', '短评打分': 4}
{'短评内容': '还好，不过房间有点小，没窗户。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '不错吧，就是房间出奇的小，黄金周入住，这还算不错的！', '短评打分': 4}
