{'descr': '很便宜很不错啊', 'star': 5}
{'descr': '在如皋算是比较好的连锁酒店。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '无', 'star': 5}
{'descr': '设施比较齐全，服务不错，性价比较高！', 'star': 5}
{'descr': '整体感觉还可以，就是3楼由KTV，由些吵。', 'star': 5}
{'descr': '下次还住。', 'star': 5}
{'descr': '房间比较大，但没有地毯。最不好的一点就是不隔音，噪音很大。', 'star': 1}
{'descr': '如皋唯一的经济型连锁酒店,性价比高,附近有大型超市(大润发),KTV有点吵,还有酒店没有自己的停车场,自驾一族需自己解决停车问题.', 'star': 5}
{'descr': '服务态度很好，早餐好。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '早餐很不错。。推荐', 'star': 3}
{'descr': 'OK', 'star': 5}
{'descr': '服务很周到，位置很便利，价格也优惠，挺实惠的', 'star': 3}
{'descr': '大床 只有一份 洗漱用品。房间偏小  而且 舞厅比较吵', 'star': 1}
{'descr': '如家的设施还算可以的，卫生条件也不错，而且这个位置交通也挺方便的，我觉得还是挺不错的。', 'star': 3}
