{'短评内容': '久了点，还好&hellip;', '短评打分': 5}
{'短评内容': '服务非常好！地理位置方便！', '短评打分': 5}
{'短评内容': '每次去香港的选择，地理位置太放便了。干净·就是价位每年都涨了', '短评打分': 5}
{'短评内容': '酒店位置不错，吃饭逛街都很方便', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度很好', '短评打分': 5}
{'短评内容': '酒店本身有点久，交通方便，周围设备还可以～～～～～～～～～～～～～早餐简单的可以………………………………', '短评打分': 4}
{'短评内容': '性价比超高，楼下有大超市，对面是庙街，尖沙咀小巴士6路。', '短评打分': 5}
{'短评内容': '地理位置很好，离上海街和庙街很近，夜宵很方便房间够大，但有一些霉味洗手间够大，但洗手盆很小，一开水喷得到处都是', '短评打分': 4}
{'短评内容': '差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差', '短评打分': 3}
{'短评内容': '非常好的位置，三个地铁站，跨境巴士总站，机场巴士，吃饭的地方也很多，对面就是711和小超市，庙街夜市，走路就可以到海港城，轮渡码头，科学馆也不远，旁边是九龙公园。房间相当于快捷酒店，唯一的缺点就是电梯要等很久。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置喜欢，周边方便，距离海港城也不远，地铁也方便，每次都住这里。', '短评打分': 5}
{'短评内容': '不错，不错。&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错的酒店，位置也不错，下楼找吃的也方便。', '短评打分': 5}
{'短评内容': '刚回来。酒店一般，出单后，隔十二小时才确认，抵港后十五点后才能拿房卡，还要押金。', '短评打分': 5}
{'短评内容': '酒店活动，价格实惠，力度很高', '短评打分': 5}
{'短评内容': '比想象的要好，大堂够气派，周边交通方便，不管是去机场还是热门商圈', '短评打分': 5}
{'短评内容': '地点优越 环境挺好 有海景或城市景色房 性价比很高', '短评打分': 5}
{'短评内容': '很好的酒店，前台一个妹子好漂亮。', '短评打分': 5}
