{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '床大，采光好，干净，舒适。', '短评打分': 5}
{'短评内容': '酒店很大吧，但是房间很小，前台理直气壮给我说实际只有10平米，朋友没带身份证开证明很麻烦，说送早餐结果给钱的时候也没有。总体还行', '短评打分': 3}
{'短评内容': '位置方便，房间干净', '短评打分': 5}
{'短评内容': '前台服务很好，装修也很新。离地铁站也很近，很有适合出游，好评好评', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间插头少，还坏了一个，桌子少，不好放东西。地理位置还可以，安静。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境还好，比较便宜，离市中心不远，', '短评打分': 5}
{'短评内容': '还行，服务也不错，大家可以去，价格也不算高！', '短评打分': 3}
{'短评内容': '价格低，真心一般。', '短评打分': 3}
{'短评内容': '房间挺大的，就是卫生间水龙头坏了，但是也很快派人过来维修了。挺好的！', '短评打分': 4}
{'短评内容': '酒店的地理位置很好，坐车很方便，进门的感觉很温馨。设施设备条件一般，不过房间在小区里面，比较安静。', '短评打分': 4}
{'短评内容': '房间里面环境很一般。但是地理位置很好。离火车北站东站都挺近。锦里这些逛的地方也不远。打车都十来块钱。还能给保管行李。这个很方便。总的还说还是很满意的。毕竟交通方便。', '短评打分': 4}
{'短评内容': '就是房间的设备有些简陋，只能提供一个睡觉的地方。门感觉不是太牢靠。', '短评打分': 5}
{'短评内容': '，酒店布置的很有特色，也比较干净，服务也很好，比较正宗的青年旅社', '短评打分': 3}
{'短评内容': '第一印象还不错哦！房间也很大！', '短评打分': 3}
{'短评内容': '环境不错，性价比还可以。离新南门非常非常的近，交通非常非常的方便。对于仅仅以成都为中转站的背包族来说，绝对是不二的选择。', '短评打分': 5}
{'短评内容': '酒店虽是公共卫浴， 还是比较方便，交通也方便，就是隔音差了点。', '短评打分': 5}
{'短评内容': '房间很不错，环境很舒服', '短评打分': 3}
{'短评内容': '住这里就是因为离新南门车站近，非常近~~', '短评打分': 5}
{'短评内容': '个别服务员的服务态度不好，也许是接待洋人太多，自己飘飘然了。位置很好，房间一般般，还算干净吧，电视基本上没有信号。', '短评打分': 5}
{'短评内容': '虽说没有独立浴室，但是房间还可以，隔两天再想订已经订完。离新南门车站也很近。', '短评打分': 5}
{'短评内容': '还可以的，有家的感觉。', '短评打分': 3}
{'短评内容': '酒店还行，没电视没卫生间对现代人来说还是出乎意料，不过环保啦…', '短评打分': 3}
{'短评内容': '推荐入住的酒店，客观来讲如果如家可以在148元拿下的话我绝对不住这里，地理位置很好，处于成都中央，服务很好，整体感觉温馨。', '短评打分': 5}
{'短评内容': '最大的优点是离新南门汽车站非常近，房间很干净，服务员也很亲切，要求不是很高的驴友来这是觉得没错。', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，就在新南门汽车站旁边，去锦里、春熙路什么的打车都挺近的，酒店的接待挺热情，不过房间的设施比较一般，隔音很差', '短评打分': 5}
{'短评内容': '很好  很干净  服务也很热情  有种不一样的体验', '短评打分': 5}
{'短评内容': '交 通 方 便 ，就在新南门隔壁，虽然绕了点路，还算近', '短评打分': 5}
{'短评内容': '交通方便，就在新南门车站旁边，是中转的好住处，环境也不错，干净卫生，好多国外驴友都选择这里，推荐！', '短评打分': 5}
{'短评内容': '不错  安静  干净 ，简单。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '晚上九点多到店，前台说我们预定的房型已满了，吓了一跳，好在前台又告诉我们可以免费帮我们升级为带卫浴的标间不多收费用，这一点不错，赞一个。这家旅舍很有青旅的氛围，外国驴友也很多，最大的优势是地理位置，就在新南门车站旁边，对于第二天要赶车的驴友很便利。卫生一般，对住宿条件要求不高的经济型驴友还是推荐的。', '短评打分': 5}
{'短评内容': '有家的感觉', '短评打分': 3}
{'短评内容': '顺利入住，旅舍免费升级了房间，满意。', '短评打分': 3}
{'短评内容': '地理位置比较方便，房间也算大。但因为我晚了去，换了一个房间给我，没有提前知会，希望以后能够与客人沟通。', '短评打分': 5}
{'短评内容': '地理位置优越，是隶属于交通宾馆的。跟新南门汽车站（成都市旅游集散中心）在一条道上（临江路），所以走过去也就5分钟。从旅馆走到江边闲逛一下也很惬意。订的是双人间（不带卫生间），由于房源紧张，调配到二楼一个带厕所的房间，虽然房间小了点，但是对得起这个价格了，整洁卫生。所以很满意啦。', '短评打分': 5}
{'短评内容': '本酒店性价比还可以，对于驴友们来说交通非常便利，距离成都旅游集散中心（新南门汽车站）很近，步行3分钟就到。酒店设施齐全，24小时热水，房间有空调电热毯，卫生条件还可以。对于背包族的驴友们来说是不错的选择。强力推荐。', '短评打分': 5}
{'短评内容': '虽然房间内家具比较少，但旅舍装修整体考究，很喜欢，推荐。并且有很多其他旅游城市的青旅信息，方便实用。', '短评打分': 5}
{'短评内容': '因为住宿条件的问题转去了隔壁的成都交通饭店，虽说价位稍微高一点，但是条件要好很多', '短评打分': 1}
{'短评内容': '比较适合年轻人居住，没有独立卫生间的房间还是不太方便，特别是冬天。', '短评打分': 5}
{'短评内容': '位置好，希望酒店提升卫生和服务细节！提高前台工作人员的服务素质和水平；强化待人接物的礼仪和态度！清洗干净床单和枕套（上面有明显的污渍）！', '短评打分': 5}
{'短评内容': '酒店的位置很好，大厅内有电脑可以上网比较方便！但是服务人员的水平和态度有待提高！', '短评打分': 5}
{'短评内容': '这家酒店最大的优点就是它的位置。如果打算以成都为中转站坐长途大巴去周边景点旅游的话，这个酒店的位置非常好！步行至新南门汽车站大概五分钟吧。去成都市区内的旅游景点也比较方便，门口有一些公交车可以选择。房间比较大，公共洗漱区和卫生间的卫生比较好；公共浴室的水流大，水温舒适。缺点：工作人员服务意识和态度一般，每次前台在复印客人证件的时候都要拿到别的地方去印，效率低且容易损坏或丢失客人的证件；员工和客人发', '短评打分': 5}
{'短评内容': '房间布置简单但蛮有特色的，床也挺软的，一切方便够用，喜欢', '短评打分': 5}
{'短评内容': '很舒适。价格也很好。', '短评打分': 3}
{'短评内容': '干净简单，离新南门3分钟！无线网！98元房是平房一层，上卫生间经过院子！但洗澡水24小时很热，卫生间干净整洁！', '短评打分': 5}
{'短评内容': '环境不错。坐机场大巴达岷山饭店走路15分钟可到旅社。旅社离长途客运站超近。', '短评打分': 5}
{'短评内容': '服务态度很好，但设施较陈旧', '短评打分': 3}
{'短评内容': '服务态度很不错，住的都是老外，这些人比较奔放，晚上一两点还在吵吵，环境卫生还不错，从性价比来说可以了，比较适合在成都只住一晚上的过客，而且离汽车站超近，隔两条街就是地铁站，交通很便利。', '短评打分': 5}
{'短评内容': '过去了 价格还不错 最重要的是性价比高 而且交通特别便利 唯一不足的是店员太大意了 竟然把我的订单漏掉 还好解决的挺好 人缘挺好 唯一就是有个女店长的态度让人不爽 但总体还是可以的', '短评打分': 5}
{'短评内容': '还是性价比较高的,最适合自助游,下次来成都还会选这家的,出门交通特别方便.', '短评打分': 5}
{'短评内容': '简单干净，公用的卫生间和洗澡房，老外多，适合年青驴友。不错，推荐。', '短评打分': 5}
{'短评内容': '地理位置很好，离新南门车站很近，步行到地铁口大约十分钟。服务非常好。房间很干净，有种淡淡的香味，配合古朴的家具，很有味道。酒店设计可能更适合外国朋友，主要是没电视，有点不习惯，大部分标识以英文为主。', '短评打分': 5}
{'短评内容': '第一次入住青年旅社，这家是在网上看到很多好的评价后选的，总体感觉很好，虽然是公共浴室，但是水大，非常爽呀！房间虽然没有电视那些，但是有空调布置的也很温馨，床舒服，工作人员服务态度也很好，最最最重要的，就是离新南门汽车站超级近，有多近，这个很多人没有写，近到我们住的那件二楼拉开窗户往外一看，哈哈，就是汽车站，晚上睡觉也不会觉得吵，第二天去九寨沟坐大巴非常方便，九寨沟的大巴车票也是可以提前几天买的哦，', '短评打分': 5}
{'短评内容': '不错的客栈，很有情调的。很干净，适合自由行。', '短评打分': 5}
{'短评内容': '旅舍干净舒服,服务员很热情友好.', '短评打分': 3}
{'短评内容': '总体不错，对得起这个价格，服务人员也很热情。尤其是地理位置真的很方便。', '短评打分': 5}
{'短评内容': '离新南门汽车站很近，设施简单，用水不成问题，可以代购车票，收手续费，老外居多。', '短评打分': 5}
{'短评内容': '虽然房间设施简陋但很干净，有空调，公共浴室是室外独间，干净水大，性价比很高', '短评打分': 5}
{'短评内容': '第一次住青年旅舍，原来真的还不错，干净又卫生，还有些小资的感觉，那么多人抢还是有原因的!真要挑毛病的话，那也就是隔音效果差了些。以后出游就考虑住它了', '短评打分': 5}
{'短评内容': '挺干净、酒店的装饰挺特别，价格合理，值得再去！', '短评打分': 5}
{'短评内容': '旅舍環境很乾淨很舒服﹗前台的人員服務態度很好, 房間裡有無線上網，超方便﹗前台有吹風筒外借和飲用水機﹗', '短评打分': 5}
{'短评内容': '距離新南門旅遊集散中心只有三分鐘距離，很方便﹗門口也有去武候祠和大熊貓基地的汽車﹗旅舍環境很乾淨很舒服﹗前台的人員服務態度很好, 房間裡有無線上網，超方便﹗', '短评打分': 5}
{'短评内容': '房间干净，公共卫生间也很好。', '短评打分': 3}
{'短评内容': '干净卫生，小有格调', '短评打分': 3}
{'短评内容': '交通方便，就在新南门长途客运旁边，离机场大巴也很近，也比较干净，下次还考虑这', '短评打分': 5}
{'短评内容': '便宜经济，前台服务真诚友好，驴友们的不错选择', '短评打分': 5}
{'短评内容': '便宜经济，前台服务真诚友善，驴友们的不错选择', '短评打分': 5}
{'短评内容': '不错的选择，便宜干净，驴友们一个不错的选择。', '短评打分': 5}
{'短评内容': '离新南门汽车站很近，地铁从华西坝走过来一小段路，性价比还行', '短评打分': 5}
{'短评内容': '由于只在成都呆一晚，第二天早起去九寨，就选择了交通青年旅舍，总体来说还不错：1.交通：在岷山饭店下机场大巴打车到旅舍8元钱，10分钟车程吧，旅舍距离新南门车站真的很近，步行5分钟就可以到达；2.房间：设施简单些，基本进屋就是睡觉了，床很软很舒服，超出我的预期；3.卫生：公共卫生间及浴室卫生都很不错，也没有觉得不太方便；4.环境：入住的外国人很多，旅舍布置很温馨，很有那种悠闲的调调！', '短评打分': 5}
{'短评内容': '氛围不错，客栈老外居多，房间很干净，共用的洗手间和洗浴间也很卫生，是驴友聚集的好地方。', '短评打分': 5}
{'短评内容': '外国人居多，驴友的话去住住还行，舒适型的不推荐，房间不提供开水，需自己去饮水机打，没有电视机，进了房门就只有睡觉，没有卫生间，需WC或洗漱要去公共卫生间。', '短评打分': 1}
{'短评内容': '成都交通青年旅舍入住卫生状况比较令人称道，房间大小也合适，床睡上去很舒适，被褥很干净，交通也非常的便利，离汽车站和春熙路都很近。', '短评打分': 5}
{'短评内容': '很有感觉的青旅\u3000有着成都的味道\u3000特别一提的是床\u3000那才叫一个舒服', '短评打分': 3}
{'短评内容': '很干净，交通很便利，服务也不错，下次还回去的~', '短评打分': 5}
{'短评内容': '不错！环境很亲切，虽然不是独立卫浴，但是可以接受。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '挺有情调的一家旅社，是作为背包客的年轻人该去的地方，交通很方便，店主不是像别的宾馆是在事务性的忽悠你，而是像主人一样能帮年轻人的就帮一把，非常喜欢', '短评打分': 5}
{'短评内容': ' 很hostel，很复古，就是“驴”店。不足点就是没有电视机。', '短评打分': 3}
{'短评内容': '环境挺好的，小资情调…', '短评打分': 3}
{'短评内容': '优点：卫生情况还不错，地理位置比较好，比较安静，公共洗浴的水不错。\n缺点：房间设施过于简单。120的房没有卫生间。\n最不应该发生的事情：酒店住宿都是登记身份证，可那天晚上住宿时，不知为什么服务员要押下我们的身份证，说明天给；可第二天她又不上班，没给我。害得我们去了机场发现没身份证，又回去拿的，差点耽误了飞机。\n这点十分不满意', '短评打分': 5}
{'短评内容': '优点：卫生情况还不错，地理位置比较好，比较安静，公共洗浴的水不错。\n缺点：房间设施过于简单。120的房没有卫生间。\n', '短评打分': 5}
{'短评内容': '很不错啊', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '标间环境还不错，最好不要住简易的房间，隔音很差，遇上没有公德的住客，晚上休息不好', '短评打分': 5}
{'短评内容': '第二次在成都住酒店，第一次是堪培拉到店里没有网上预定，价格很贵，只是有洗澡的，这个酒店只能说价格还算实惠。其它的都不咋样。', '短评打分': 5}
{'短评内容': '挺好的，不错！下次还会来这里！呵呵！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '去过成都自由行的驴友都特别推荐的酒店，我是下了机场大巴，走了15分钟到的酒店。酒店隔壁就是旅游集散中心，可以早上很方便的出门，有发往峨眉、九寨等地', '短评打分': 5}
{'短评内容': '环境不错，服务人员素质( ^_^ )不错嘛！', '短评打分': 5}
{'短评内容': '位置很好，出门就是南门车站，还有到大熊猫基地的公交车。\n夫妻间不能上网，与说明不符。不知为什么笔记本只在旅舍前台屋内能连上无线网络。。。。。。上网实在不方便，不会再住', '短评打分': 1}
{'短评内容': '房间太差，电视都没有，建议房价50元，能接受。', '短评打分': 1}
{'短评内容': '环境不错，主要是出门一拐弯就到新南门车站了！非常适合坐早班车。\n不过这个旅馆全是英文标识，报纸啊，不知道图便宜的普通中国人是否好意思来住，呵呵，貌似不能刷卡。', '短评打分': 5}
{'短评内容': '不错不错，挺有情调。而且在新南门后面，交通超级方便~~', '短评打分': 5}
{'短评内容': '�b����������,��Ҩ������������Ų����ĩ���������������������������recommend=1', '短评打分': 3}
{'短评内容': '很不错的一家青年旅舍，店主的服务态度也很好的。房间干净整洁。因为是地处火车站附近相对的出行很是便捷。总体感觉良好！！！', '短评打分': 5}
{'短评内容': '总体还可以，位置很不好找，找了n久问了很多人才找到。。。。性价比不如7天连锁。', '短评打分': 1}
{'短评内容': '服务很专业，很热情，房间干净整洁，感觉很舒适，价格上也很合理。', '短评打分': 5}
{'短评内容': '设施虽简陋，但还算干净整洁，适合背包族居住，集散中心就在隔壁，到周边旅游非常方便。', '短评打分': 3}
{'短评内容': '旅店挺好找的，就在新南车站后边，离地铁站也挺近，出行也挺方便的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '住了好多所谓经济型，真是还不如青年旅社干净卫生，地方挺好找的，前台也不错，房间层高很大，不过双人间90元没有电视没有洗手间，也挺贵的，下次会和背包的朋友一起来。交通方便，旁边就是旅游集散地，里面都是老外。', '短评打分': 5}
{'短评内容': '管理挺严格，服务上很热情很周到，房间干净整洁，住的也挺舒适。', '短评打分': 5}
