{'短评内容': '无早餐，其它还好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '位置好，能停车，无早餐', '短评打分': 5}
{'短评内容': '住过很多次了，挺好的', '短评打分': 5}
{'短评内容': '还可以  前台很好 环境还行  ', '短评打分': 5}
{'短评内容': '住了好多次，挺好的', '短评打分': 5}
{'短评内容': '还不错。。。。。。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '不错实惠', '短评打分': 4}
{'短评内容': '执业医师考试来的，不能提前一个月预定，最后提前一周预定的，3楼很安静，好停车', '短评打分': 5}
{'短评内容': '位置还不错 不临街 比较安静 但是隔音效果挺一般的 隔壁房间大声说话都能听见 灯光较暗  房间也略小 服务态度还可以 挺干净的 ', '短评打分': 3}
{'短评内容': '很好，便宜还干净，下次还去这里', '短评打分': 5}
{'短评内容': '很棒，环境很好，床舒服。建议以后选择这家，不会后悔的哦', '短评打分': 3}
{'短评内容': '传统快捷酒店', '短评打分': 4}
{'短评内容': '很一半', '短评打分': 3}
