{'短评内容': '一般！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '京东定的房比门市便宜多了 房间很大很安静', '短评打分': 5}
{'短评内容': '还好 就是房间有点小', '短评打分': 4}
{'短评内容': '床单没洗的。毛巾也不干净，优点就是便宜了。周边环境还行。好像靠近地铁站', '短评打分': 3}
{'短评内容': '不错，挺好的，就是房间不通风，总有一股异味', '短评打分': 5}
{'短评内容': '可以。。。。。。。', '短评打分': 4}
{'短评内容': '房价刚好，不贵，整洁干净，服务好，交通便利。', '短评打分': 5}
{'短评内容': '每周都来开。', '短评打分': 5}
{'短评内容': '环境可以安全可以', '短评打分': 5}
{'短评内容': '房间太旧', '短评打分': 5}
{'短评内容': '安静 方便 便宜', '短评打分': 5}
{'短评内容': '挺好的 方便便宜', '短评打分': 5}
{'短评内容': '周围没有很多便利店，厕所很尴尬啊哈哈哈哈，不过还挺安静的', '短评打分': 5}
{'短评内容': '房间太闷，没法透气，卫生间臭得自己打水冲了一遍，看来是要加点钱升级了', '短评打分': 3}
{'短评内容': '还好，有点小', '短评打分': 5}
{'短评内容': '基本很好，就是隔音差一点', '短评打分': 5}
{'短评内容': '烟味很大很臭，空气很不流通，空调也不凉', '短评打分': 3}
{'短评内容': '性价比高………………………………', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比较实惠，装修挺好，挺新。但是位置比较偏了点。', '短评打分': 5}
{'短评内容': '酒店的房间配置不错，能够满足基本的商务需求，对于短期出差的人来说非常合适。', '短评打分': 5}
{'短评内容': '总体而言还算可以，住过3次啦，不过前台那个换了，微笑没那么饱满···\n\n缺点就是热水供不上，晚上GF很有抱怨，望能改善···\n\n明天会再次入住，希望有所改观···\n', '短评打分': 5}
{'短评内容': '很不错的快捷商务酒店！第一次住motel168，感觉比7天如家还要实惠。以后出行会考虑再入住', '短评打分': 5}
{'短评内容': '这次还可以 把毛巾换了吧 太残旧了', '短评打分': 3}
{'短评内容': '这家酒店服务还不错，但这次住的房间小了点，而且洗水盆还漏水。', '短评打分': 5}
{'短评内容': '有点偏，但是房型还是不错的，装修好，很安静。', '短评打分': 5}
{'短评内容': '一如既往的高性价比，卫生条件，环境很棒的', '短评打分': 5}
{'短评内容': '但是这次去 卫生不太好  洗手盆漏水严重', '短评打分': 5}
{'短评内容': '价格挺便宜，下次来还会住在这里，交通也不错，就是房间内装修粗糙了一点，服务一般，早餐太差', '短评打分': 5}
{'短评内容': '很老很老很老很老很老很老很老很老设施很老\n价格一般 位置一般', '短评打分': 1}
{'短评内容': '离公司比较近，还可以，对得起价格。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境还可以，基本满意，不过最恼火是没风筒', '短评打分': 1}
