{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '经济实惠。', '短评打分': 4}
{'短评内容': '就在西栅景区后面（北边），走过去要十分钟。楼下就是酒吧，晚上可以消费唱K。房间卫生不错，', '短评打分': 4}
{'短评内容': '离西栅景区很近，吃饭什么的也很方便，房间很干净', '短评打分': 5}
{'短评内容': '离西栅很近，步行10分钟左右，房间很干净', '短评打分': 5}
{'短评内容': '位置很好，离景区很近', '短评打分': 5}
{'短评内容': '老板很年轻，晚上都会在公共前台放映影片。', '短评打分': 5}
{'短评内容': '很干净人也不多，适合旅行', '短评打分': 5}
{'短评内容': '周边的环境很舒服，淡季去的时候很舒服，而且房间干净，性价比超级高。', '短评打分': 5}
{'短评内容': '在西栅附近，都是统一规划的青旅，没有青旅的感觉，但是很正规。住的是四人间，有独立卫生间。老板是个漂亮女生。就是店里面的wifi没有信号。', '短评打分': 5}
{'短评内容': '很干净很干净', '短评打分': 5}
{'短评内容': '酒店位置很好，出入比较方便，离景点很近，店家也比较热情。', '短评打分': 3}
{'短评内容': '门口有给客人放了茶叶可以泡来喝', '短评打分': 5}
{'短评内容': '店主一家很亲切', '短评打分': 5}
{'短评内容': '离景区很近，挺好的。', '短评打分': 5}
{'短评内容': '价格实惠、服务热情，离西栅三分钟，可以停车，一分钟内早中晚餐都可找到，挺好！', '短评打分': 4}
