{'短评内容': '差，墙壁都发霉，主要是距离妇幼保健院近方便。不会再考虑入住', '短评打分': 1}
{'短评内容': '恩非常满意，希望下次活动更给力~', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': 'nice environment, easy to get taxi, reasonable price', '短评打分': 3}
{'短评内容': '每次到广州都想去做。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '前台服务很好，噪音有点大，还算满意，交通方便', '短评打分': 5}
{'短评内容': '前台服务很好，噪音有点大，还算满意，交通方便', '短评打分': 5}
{'短评内容': '干净，便利，服务态度好。', '短评打分': 5}
{'短评内容': '房间空间小，异味，设施陈旧，周边交通拥堵。', '短评打分': 3}
{'短评内容': '很好，很不错。', '短评打分': 5}
{'短评内容': '方便是最大的特点', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
