{'descr': '干净，整洁。环境也还可以，就是无线网络有点慢', 'star': 4}
{'descr': '挺实惠的，房间也挺干净……', 'star': 3}
{'descr': '价格合适，环境不错，同时宽带还请进一步改善，偶尔出现好长时间连接不上的问题，总体还是不错的。', 'star': 5}
{'descr': '住宿环境很舒服，服务态度不错，还是非常满意的', 'star': 5}
{'descr': '酒店环境一般，卫生水平一般，和连锁快捷酒店相比稍微逊色一些，有点在于价格较便宜', 'star': 5}
{'descr': '酒店环境不错，床很舒服，网络比较给力。\n但电视机频道的清晰度还是需要改进一下下', 'star': 5}
{'descr': '环境挺不错的，里面设施也还好，不过下雨的时候我住的那个房间漏雨，哈哈！', 'star': 5}
{'descr': '挺好的，就是的提前好几天预定，有几次想住都没房~', 'star': 5}
{'descr': '环境好,服务热情', 'star': 3}
{'descr': '酒店服务还不错，周边也有很多饭店选择，但酒店内部设施陈旧，有霉味。', 'star': 3}
{'descr': '感觉不错，就是网速不太给了，环境不错，服务态度有待改正\n', 'star': 5}
{'descr': '一楼房间空气不好，卫生间积水，给差评居然说没入住。', 'star': 1}
{'descr': '此酒店价位与房间相符，服务很和蔼到位，当然性价比为首的讲还算不错', 'star': 5}
{'descr': '精致，安静，简洁，干净…打车不知道怎么走，可以打到二十七中乖弯就是了。', 'star': 3}
{'descr': '服务态度不好！！！冬天24小时没热水！！！房间狭小！！！', 'star': 1}
{'descr': '挺好！房间很干净，店家服务态度很好，让人感到很舒服。', 'star': 5}
{'descr': '挺好的 就是热水不行晚点要么没有要么很小', 'star': 3}
{'descr': '.酒店还好，是军区招待所改的，至少安全有保证哦', 'star': 3}
{'descr': '我住的是402房间楼上有抽水蚌轰鸣声很响，室内登光不够亮，不太理向。', 'star': 3}
{'descr': '＋很好', 'star': 3}
{'descr': '不是很舒服的住宿，水不好，没浴巾没电话，网络差得要死。唯一觉得床还算舒服', 'star': 3}
{'descr': '房间条件一般，面积较小，如夏天入住晚上蚊子特多，必须做好和蚊子战斗的准备，最关键是对面是部队，就不要想睡个懒觉了，早上6:00就开始吹号，放音乐。', 'star': 1}
{'descr': '装修一般，毛巾布怎么干净，还没有雨巾。洗澡貌似莫有热水，很纠结。布过床听舒服的。总体来说还行吧。装修一般，毛巾布怎么干净，还没有雨巾。洗澡貌似莫有热水，很纠结。布过床听舒服的。总体来说还行吧。', 'star': 5}
{'descr': '酒店一般，服务态度有待提高和规范。入住的一楼房间潮，很难受，换房间服务员很不高兴，还以加钱、房间都已定完及入住时自己不说等原因推诿，令人费解。不过，还是给调了，还算可以。给个好评吧', 'star': 5}
{'descr': '不错 第二次的入住 依然给力 推荐 物超所值', 'star': 5}
{'descr': '很好的服务很到位，卫生情况也良好！很值得出差旅游的入住！希望以后可以有免费早餐！', 'star': 5}
{'descr': '不错哦 就是洗发液和沐浴液太少了。。。。。。', 'star': 5}
{'descr': '环境优雅，距离民航大酒店很近（打的5分钟，5元）服务周到，热情。淋浴温度不高，压力不大，无浴巾。综合满意。', 'star': 5}
{'descr': '＋环境很好，窗台等一尘不染，服务态度令人满意。不足，无浴巾，水不热，无电话。但是下回还会选择该酒店。', 'star': 3}
{'descr': '缺点是房间小，没有电话，没有浴巾，电视只有4个台，电脑上网极慢，洗澡水温度不够，前台服务员看不出热情，没有早点，也有优点哈，一楼有个老北京涮坊，还可以吧，楼层服务员亲切。\n', 'star': 1}
{'descr': '性价比不错,一切都挺好,就是电视频道少些', 'star': 5}
{'descr': '地理位置很好，比较安静。附近小吃挺多的。房间卫生还行，空调不能用。只有毛巾，没有浴巾和防滑毛巾。', 'star': 5}
{'descr': '房间偏小,隔音差.就价格来说不错了,楼下还有说相声的.', 'star': 3}
{'descr': '很好', 'star': 3}
