{'短评内容': '不怎么样了', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没有早餐，不能加床', '短评打分': 5}
{'短评内容': '豪华标间，房间挺大的，挺不错。', '短评打分': 5}
{'短评内容': '房间很大，设施一般。中评', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '前台服务很好，去到了一提就知道，然后很快办理了入住。房间里wifi很好很快。不过有个小问题。进门时电热水壶开关是按下的，结果插卡取电后就开始干烧。幸亏我们听见声音，把壶拿下来。希望将来能注意一下。', '短评打分': 5}
{'短评内容': '房间是在高层住宅楼里的，环境还好。房间很大，也没什么异味。可惜紧临大路，订房的时候忘了要个不临街的了。', '短评打分': 5}
{'短评内容': '价格便宜，相对于价格，非常非常超值。交通方便，周围有好多路公交。房内的大床超大，住着很舒服。设施也很完善。', '短评打分': 5}
{'短评内容': '条件一般，卫生一般，被褥看起来好久没换了，幸亏自己带的。临街的房间晚上路上全是渣土车跑的声音，十一黄金周没别的选择了，只好凑合。', '短评打分': 3}
{'短评内容': '每次都是给朋友定这个酒店，离得近，照顾起来比较方便', '短评打分': 5}
{'短评内容': '帮朋友预定的，因朋友回国临时住一两天，已经收到写成的确认信息了，结果到了前台还说没有预定，我的名字和朋友的名字都没有，后来提供了写成发来的信息，还是说没有，说可能是携程把名字给他们报错了，无奈，不过好在房间还有，第二天延住，好在房间不错，是那种公寓楼改建的宾馆，有厨房有卫生间，一室一厅，还比较干净，采光也不错，服务员就很差，自始至终没有一个好脸，躲在暖气后面磕着瓜子，要不是距离我家比较近办事方便，', '短评打分': 4}
{'短评内容': '房间大，有交易厨房，适合小住', '短评打分': 3}
{'短评内容': '酒店最大优点屋子比较大，地理位置也不错，旁边有大超市，说是公寓酒店，除了抽油烟机，什么也没有', '短评打分': 3}
{'短评内容': '感觉住在家里的感觉，有点回家的感觉，真好', '短评打分': 5}
{'短评内容': '房间很大，但啥装修太差，灯光灰暗不忍直视', '短评打分': 3}
{'短评内容': '冬天暖气不太热！！房间很大，床没有如家的舒服！！望改进！！', '短评打分': 5}
{'短评内容': '公寓式的，乱，热水很慢，要自己烧，是电热水器，家具很简陋', '短评打分': 1}
{'短评内容': '很明亮，交通便利，性价比较好，值得推荐。楼下小吃也不错', '短评打分': 5}
{'短评内容': '标间住得也比较舒服，指示没有电话，但是对于这个价钱来说已经是很好了。所以来西安住了3天。下次还来。', '短评打分': 5}
{'短评内容': '酒店给人宾至如归的感觉，纯单身公寓，跟自己家一样，感觉超好，而且价格远远超乎想象，原先在杭州这样的最低也要289，极力推荐，下次来西安还住这个。而且服务员态度也很好。', '短评打分': 5}
{'短评内容': '附近可选酒店少，价格便宜，但设施不是很好，商家大概是买的大厦里业主的房子，与住家是混住的，感觉不太好。', '短评打分': 1}
{'短评内容': '公寓式的，感觉不是很正规，设备比较简单，住了几天，不是这儿坏就是那儿坏的。\n周边有个人人乐超市，还算方便，门前那条路堵车比较厉害。', '短评打分': 1}
{'短评内容': '定的豪华套间，房子够大，还带自动麻将机，但是有点吵，马路上车子喇叭声都听得见，关窗户也没用，另外枕头太高，睡得不舒服', '短评打分': 5}
{'短评内容': '都不错,就是房间太紧张了,住了一晚上,第二天居然续不了房,晕死,还要再找酒店.', '短评打分': 5}
