{'短评内容': '很满意的酒店，价格不便宜！早餐当地特色', '短评打分': 5}
{'短评内容': '在景区里发行房间一般，服务态度不是太热情，冷冰冰的！周围环境还可以，靠近东门', '短评打分': 4}
{'短评内容': '酒店位置优越，环境优美，就在湖边散步回来就可以入住，观景阳台设计风格独特。', '短评打分': 5}
{'短评内容': '位置很清净，感觉很好。停车统一在古城门外', '短评打分': 5}
{'短评内容': '位置不错，很安静', '短评打分': 4}
{'短评内容': '临时决定来台儿庄，在众多客栈中选了崇华楼，没有失望，很暖和，据说是景区里面唯一的有地暖的客栈，在一条安静的小路上，淡季的原因吧，人少 但是夜景还是不错的，推荐入住', '短评打分': 5}
{'短评内容': '给爸爸妈妈订的，爸爸说很满意，打电话到酒店确认路线，酒店服务人员很热情，说的很详细，下次自己去枣庄玩的时候备选', '短评打分': 5}
{'短评内容': '还可以吧，房间空调声音有点儿吵，早点确实不错，但其他时间没饭', '短评打分': 4}
{'短评内容': '很难得给五分的店，主要是前台小妹太热情，我从东门进来，热情的加微信，告诉地址，推荐房间，以后有机会再来', '短评打分': 5}
{'短评内容': '有地暖.服务很好，推荐，', '短评打分': 5}
{'短评内容': '酒店古色古香，位置优越，装修风格独特既注重细节又不局限于形式，与徽派的建筑风格相得益彰，入住虽是淡季，服务却很热情，第二天的早餐四菜一汤也很丰盛，优质服务的理念不低于旁边的台庄公馆，唯一需要改进的就是冬季的地暖，总之很满意不虚此行。', '短评打分': 5}
{'短评内容': '服务很好，一直和我们联系，为我们指引方向，感动。酒店位置也很好，非常美的湖边，水景很漂亮，并且离酒吧区较远，安静自在。非常好！', '短评打分': 5}
{'短评内容': '酒店地处运河边，闹中取静。徽派建筑，古香古色，室内与室外风格一致，古韵十足。因为是假期，住宿全满，早餐供应略显紧张。总的来说，台儿庄古城不虚此行。', '短评打分': 4}
{'短评内容': '带父母出游，老人很高兴。酒店不错给五分，特别是服务员态度好，饭菜很可口，是一次不错出行。', '短评打分': 5}
{'短评内容': '位置稍远，但是非常安静，环境也还好。。。但是床单被罩建议清洗干净，早餐显得有点应付了', '短评打分': 5}
{'短评内容': '环境好，设施好，安静，离景点很近！价格稍微有些偏高！', '短评打分': 5}
