{'短评内容': '总体还行吧', '短评打分': 5}
{'短评内容': '房间内要用的东西比较简齐全，简约风格，久看不腻，\xa0桌子干净线条轮廓感都刚刚好，\xa0\xa0床软软的也比较舒服一躺下会感觉身体慢慢的要陷入其中，\xa0枕头也舒适\xa0荞麦枕头能更好的帮助睡眠，起到预防落枕的效果，酒店服务好\xa0\xa0前台的说话好听想的周全，入住前会问楼层的高低，喜欢什么样子的房型，从客人的角度想问题\xa0感觉满意\xa0吃东西很方便\xa0酒店附近不远有步行街夜晚有夜市，小吃，方便的很\xa0酒店向北就是女人街，\xa0喜欢文化的氛', '短评打分': 5}
{'短评内容': '酒店位置很好\xa0门口的公交站牌很多，地铁二号线，可转通合肥火车南站，也马上要建成了，酒店对面是长江饭店，向东50米就是新华书店和麦当劳，步行10分钟左右就是市府广场与银泰购物中心。', '短评打分': 5}
{'短评内容': '酒店位置很好\xa0门口的公交站牌很多，地铁二号线，可转通合肥火车南站，也马上要建成了，酒店对面是长江饭店，向东50米就是新华书店和麦当劳，步行10分钟左右就是市府广场与银泰购物中心。', '短评打分': 5}
{'短评内容': '房间内要用的东西比较简齐全，简约风格，久看不腻，\xa0桌子干净线条轮廓感都刚刚好，\xa0\xa0床软软的也比较舒服一躺下会感觉身体慢慢的要陷入其中，\xa0枕头也舒适\xa0荞麦枕头能更好的帮助睡眠，起到预防落枕的效果，酒店服务好\xa0\xa0前台的说话好听想的周全，入住前会问楼层的高低，喜欢什么样子的房型，从客人的角度想问题\xa0感觉满意\xa0吃东西很方便\xa0酒店附近不远有步行街夜晚有夜市，小吃，方便的很\xa0酒店向北就是女人街，\xa0喜欢文化的氛', '短评打分': 5}
{'短评内容': '地方不错，价格合适', '短评打分': 5}
{'短评内容': '很好  不错  很繁华的地段', '短评打分': 5}
{'短评内容': '以前住过7天，没想到这次居然住的这么差，没有外窗，内窗是一条过道不敢开房间有点闷，换房间说满房，先是没有洗漱用品，自己去拿的，后来是没有梳子找客房送的，再是洗澡只有一条浴巾还是有个破洞的，电视机也按不动，看不了节目，半夜楼道不知道哪一间聊天嬉戏打闹叫前台看了弄到两点才安静下来。隔音效果一点都不好，所以不能图便宜自己找罪受。', '短评打分': 2}
{'短评内容': '完美', '短评打分': 5}
{'短评内容': '可有', '短评打分': 5}
{'短评内容': '经常住。不错不错', '短评打分': 5}
{'短评内容': '住了好久好久 了 真的很好很好', '短评打分': 5}
{'短评内容': '整体还可以，就是空气流通不太好', '短评打分': 4}
{'短评内容': '价格适中，环境不错，性价比很高，卫生条件不错。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好 很好 要十五个字 不抽', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
