{'descr': '干净整洁卫生，交通便利，就是网速不太给力', 'star': 5}
{'descr': '帮朋友预定的，听说不怎么样，住了一天就退房改去如家了', 'star': 1}
{'descr': '不错的经济型快捷酒店，老板娘很有女人味，打扫卫生的大妈很负责。下次还会选择这家酒店。', 'star': 5}
{'descr': '想起来了，最大的特点是服务员敲门时会说，（你好，服务员）三声也就是2秒后直接开门进屋，房子不能反锁。太没有规矩。', 'star': 1}
{'descr': '因出差办事地方在附近，住宿在此，其实170不便宜了相对于这样的住宿环境。呼市真心贵啊。', 'star': 5}
{'descr': '我入住的是单人问，实际价格与网上价格不符，比网上要贵呢，房间太小了，我很不满意。', 'star': 1}
{'descr': '房间整洁，服务态度很好，周围便利店药店都有，打车也方便，又在城市的东边 不错 ', 'star': 5}
{'descr': '入住的是单人间，比较干净整洁，虽然离市区有段距离，但比较好打车，相对清静，周边设施也比较齐全。对面有一家24H便利店，价格也划算，下次还会来入住。给个好评吧。', 'star': 5}
{'descr': '房间还可以，就是地址偏了点，呼和浩特的公交又不报站！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '酒店的位置距机场比较方便，离开会的地方也很近，房间还算满意，比较干净，隔壁是饭馆，提供三餐，服务人员的整体素质一般，总体还算满意。', 'star': 3}
{'descr': '性价比还可以,就是酒店的网不行,没有早餐,不方便.其他的什么都还可以,打的什么的都很方便.服务什么的都还不错.', 'star': 5}
{'descr': '古色古香的旅店，距离西湖不到500米，步行就可，非常方便。周围吃饭购物场所都相当多，门口就有家可的便利店；出门右转路口南边就是传说中的吴山烤禽，非常好吃；一个街区之隔的友好饭店的自助餐也很好，旋转餐厅，能看到西湖全景。到几大景点都有公交车直达。唯一一点不足就是房间感觉很潮湿，不太透气，可能与年代太久有关，如果不介意的话，还是非常值得体验的一家店。对了，夜间小广告相当多啊。', 'star': 5}
{'descr': '古色古香的旅店，距离西湖不到500米，步行就可，非常方便。周围吃饭购物场所都相当多，门口就有家可的便利店；出门右转路口南边就是传说中的吴山烤禽，非常好吃；一个街区之隔的友好饭店的自助餐也很好，旋转餐厅，能看到西湖全景。到几大景点都有公交车直达。唯一一点不足就是房间感觉很潮湿，不太透气，可能与年代太久有关，如果不介意的话，还是非常值得体验的一家店。对了，夜间小广告相当多啊。', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '环境很好很别致 就是隔音效果不好 当时住在一楼 走廊上行人的说话声脚步声吵了点。。。', 'star': 5}
{'descr': '环境很好很别致 就是隔音效果不好 当时住在一楼 走廊上行人的说话声脚步声吵了点。。。', 'star': 5}
{'descr': '属于老式格楼的感觉，屋子很小，但地理位置不错，在湖边，步行7分钟可以看到湖～', 'star': 3}
{'descr': '属于老式格楼的感觉，屋子很小，但地理位置不错，在湖边，步行7分钟可以看到湖～', 'star': 3}
{'descr': '这个酒店带给我家的感觉，虽然陈旧，但是很温暖。离西湖很近。', 'star': 5}
{'descr': '这个酒店带给我家的感觉，虽然陈旧，但是很温暖。离西湖很近。', 'star': 5}
{'descr': '地理位置还可以，距离西湖很近。旁边有工地施工，周围环境不好。楼是老楼，用的倒是中央空调。早饭没有，买15元的券买的时候说自助，其实不是的。到隔壁快餐店去点15元的东西，还不如自己直接去吃，', 'star': 1}
{'descr': '地理位置还可以，距离西湖很近。旁边有工地施工，周围环境不好。楼是老楼，用的倒是中央空调。早饭没有，买15元的券买的时候说自助，其实不是的。到隔壁快餐店去点15元的东西，还不如自己直接去吃，', 'star': 1}
{'descr': '位置比较好，离西湖不远，又不至于过于吵闹，还古色古香的。。条件嘛，就是一般快捷酒店的感觉，可能因为是老楼，设施和布局有点旧', 'star': 5}
{'descr': '位置比较好，离西湖不远，又不至于过于吵闹，还古色古香的。。条件嘛，就是一般快捷酒店的感觉，可能因为是老楼，设施和布局有点旧', 'star': 5}
{'descr': '该地方地理位置优越，离西湖很近，但是房间实在太小，隔音实在太差。房间周转率实在太高，要求12点退房，可是1点去 要求入住却无法入住，但是却要求 晚上 6点前一定要登记入住 ，否则白订。难以理解，是不是这个挤压在我们头上的时间都给了钟点房。。。', 'star': 1}
{'descr': '该地方地理位置优越，离西湖很近，但是房间实在太小，隔音实在太差。房间周转率实在太高，要求12点退房，可是1点去 要求入住却无法入住，但是却要求 晚上 6点前一定要登记入住 ，否则白订。难以理解，是不是这个挤压在我们头上的时间都给了钟点房。。。', 'star': 1}
{'descr': '位置不错，离西湖步行5分钟。价格也不贵。房间稍小是瑕疵', 'star': 5}
{'descr': '位置不错，离西湖步行5分钟。价格也不贵。房间稍小是瑕疵', 'star': 5}
{'descr': '运气很好，订到了周末百元大床房~\n古香古色的一家店，离西湖又近，很赞的说~\n更没想到的是，离火车站也那么近~\n推荐~~~', 'star': 5}
{'descr': '运气很好，订到了周末百元大床房~\n古香古色的一家店，离西湖又近，很赞的说~\n更没想到的是，离火车站也那么近~\n推荐~~~', 'star': 5}
{'descr': '很有情调，感觉很不错的，民国时候老旅店改造的，有很多名人住过。设施也就是还好了，电视太老旧而且太小了。不过位置好啊，离西湖很近，闹中取静的感觉', 'star': 5}
