{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '很好，很满意！好好好好好好好好好，就是国定假日价格太高，条件确实很好，干净，宽敞，有机会去千鸟湖还会考虑？', '短评打分': 5}
{'短评内容': '经济实惠。环境不错。方便。', '短评打分': 5}
{'短评内容': '千岛湖镇的中心，对面就是一个湖，看起来还不错。只是那天我们碰到下雨，感觉不爽。为什么一定要写到50个字呢', '短评打分': 5}
{'短评内容': '感觉不错，湖区很美', '短评打分': 4}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '酒店位置好，临湖。下面环湖公园很好玩，风景秀丽，酒店平时性价比高的，节假日涨的不靠谱了，没早餐，网速尚可。', '短评打分': 4}
{'短评内容': '房间是在一栋大厦里面的8楼。房间设施比较陈旧，周边比较吵闹，不过性价比不错。', '短评打分': 4}
{'短评内容': '很一般的店，节假日去的，价格抬得很高，平时也就一百左右，房间只有一层楼，以便可以看见湖，另一半是面对小区。前台只有一个人在忙，入住和退房都办了很久~~~', '短评打分': 3}
{'短评内容': '环境挺好。设备齐全。就是靠近马路有点小吵。', '短评打分': 5}
{'短评内容': '这个酒店最大的优点是周六晚上不涨价，在晚班抵达长途汽车停靠站附近  缺点是靠马路且房间隔音差', '短评打分': 3}
{'短评内容': '湖景不错，位置稍偏，景色很好，交通较利', '短评打分': 3}
{'短评内容': '位置较便利，酒店标识不是很好，第一次入住不好找。快捷酒店，性价比还是算好的。', '短评打分': 3}
{'短评内容': ',位置尚可，新酒店油漆重，电梯公用较脏', '短评打分': 3}
{'短评内容': '房间还不错，只是这次住朝北的房间，看不到湖景~', '短评打分': 3}
{'短评内容': '前台服务态度挺好的，酒店布置也挺新，就是临着一小型建筑工地，一大早就吵起来了。酒店临着东南湖区，离镇上也超近，公交步行都方便，晚上沿着湖滨一圈逛着，很舒适！就是离中心湖区的码头较远，打车要15元。不过离市中心近，也方便点，吃饭去千岛湖广场，有家雷记小厨不错！', '短评打分': 5}
{'短评内容': '我们已入住尚客优快捷酒店，非常干净，抬头就能看到湖水，感觉非常舒畅。唯一不足是地下停车位较暗，停车位到酒店总台不好找。', '短评打分': 5}
{'短评内容': '听人介绍选的这家，湖景房景色真的不错，倚窗而立对面的湖景尽收眼底。喜欢拍照的妹妹过条马路就可以尽情拍了。房间很大，床也够宽敞，一个大床足够二人睡。房间里还有一台电脑，可上网~到热闹的中心广场也不算远，打车非常便宜，人均二元，哈哈~不过他们喜欢拼车的~可惜周末要贵100哦，不然更好啦！', '短评打分': 5}
{'短评内容': '7月26号去的，不错的酒店。服务态度很好，房间也比较干净，巧的是定了三间（803，805，807）还是湖景房。二楼的饭店也不错，菜烧的很到位，在那里吃了二餐。工薪阶层不错的选择。', '短评打分': 5}
{'短评内容': '不错，物美价廉，服务也很好.就是有个小插曲，坐电梯时，电梯上面的那块超重的台板掉了下来，喀到我儿子的肩膀，要是砸到了头，后果不敢想来了。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务周到，位置有点难找', '短评打分': 3}
{'短评内容': '很新的酒店，环境很美…位置也不错', '短评打分': 3}
{'短评内容': '还算挺干净的，电梯还在装修，周围在施工，吵了点', '短评打分': 5}
{'短评内容': '酒店总体还是不错的！前台也蛮热情\n只是店面有点小，有点难找', '短评打分': 3}
{'短评内容': '房间很干净，也比较大，设备比较齐全，服务人员的的态度也很好，就是外围环境在装修比较乱，但也是不可抗拒的，还有就是门面太小，我们在那个地方转了还几圈才找到的。', '短评打分': 5}
{'短评内容': '酒店直接在八楼，所以可能大门在侧面不太好找，间数不多，阿姨把打扫客房挺干净的，前台推荐的秀水人家食府跟网上说的一样，很实惠，以后区还会考虑住的', '短评打分': 5}
{'短评内容': '还不错，是新的\n就是节假日价格那是相当的贵\n你懂的', '短评打分': 5}
{'短评内容': '内部环境很好，装修很新，服务态度也好，就是朝大路，有点吵', '短评打分': 5}
{'短评内容': '环境不错，很干净，价格稍贵，可能是51节日的原因', '短评打分': 5}
{'短评内容': '房间好干净，总台态度也很好，美中不足的就是隔音效果不太好。值这个价，下次还会去住这个酒店的。', '短评打分': 5}
{'短评内容': '房间空间很大很干净，对面湖景不错，前台服务态度很好，性价比超高', '短评打分': 5}
{'短评内容': '挺干净就是有点小', '短评打分': 3}
{'短评内容': '超好的，服务也特别好，环境也没的说，交通也是很便利，透过窗就可以看到湖景，非常棒', '短评打分': 5}
{'短评内容': '新开的还不错  店员很好 东西齐全 离景区有一点远  不过价位便宜 坐公交 打车都可以去景区', '短评打分': 3}
