{'短评内容': '位置居中，出行方便，有停车场！', '短评打分': 4}
{'短评内容': '不能选便宜的，太坑', '短评打分': 3}
{'短评内容': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。 ', '短评打分': 5}
{'短评内容': '早餐比较简单', '短评打分': 5}
{'短评内容': '真心是服了这家酒店的前台了，一惊一乍，服务态度极其恶劣。外貌老陈，酒店装修也老陈，可是软件等，尤其是人的服务态度却并没有成熟过硬～失望！', '短评打分': 4}
{'短评内容': '还可以，不错，环境一般，卫生还可以', '短评打分': 4}
{'短评内容': '很一般很一般！呜呜呜！！！非常一般非常要不非常要不非常一般，非常一般非常一般非常一般非常一般非常一般', '短评打分': 2}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '很好，基本都住这里！', '短评打分': 5}
{'短评内容': '很好，基本都住这里！', '短评打分': 5}
{'短评内容': '114价格既然开票108郁闷…', '短评打分': 1}
{'短评内容': '住过最烂的酒店，酒店居然连不上wkfi，给服务员说，直接回复解决不了，挂我电话，也是绝了！', '短评打分': 2}
{'短评内容': '地理位置好，周围环境方便，性价比高', '短评打分': 4}
{'短评内容': '空调冷风…冻死', '短评打分': 5}
{'短评内容': '还好吧，网上价更优惠！', '短评打分': 3}
{'短评内容': '环境很好，建议可以入住！！！！！！！！！', '短评打分': 5}
{'短评内容': '隔音太差，床板太硬，早餐很一般，总体评价一般，价格比较适中', '短评打分': 1}
{'短评内容': '条件可以,早餐过于简单', '短评打分': 3}
{'短评内容': '各方面都比较差，没有什么好的地方', '短评打分': 3}
{'短评内容': '位置不错，周围比较安静，经济型酒店，卫生间是落地玻璃，没有隐私，不太方便，隔音效果比较差，早上人来人往，太吵', '短评打分': 3}
{'短评内容': '该酒店从开业以来，每次出差去遵义都是住的这里，卫生服务都不错。', '短评打分': 5}
{'短评内容': '酒店设备很新。贝壳房虽小，但卫生间足够大。不错。', '短评打分': 5}
{'短评内容': '其他都还可以，就是没窗户，很无奈啊 ，我住的是140的', '短评打分': 5}
{'短评内容': '环境很好，床睡的也很舒服', '短评打分': 3}
{'短评内容': '前台服务态度太差，其中有一男的，年龄不大，好像欠他钱似的，以后我是不会去住了,', '短评打分': 1}
{'短评内容': '交通多方便的，本来想着只是睡一觉，选了没有窗的房间。但是发现没有窗还是不很舒服。', '短评打分': 5}
{'短评内容': '酒店很安静，虽然临街但是过往的车辆不多，干净、整洁，打长途全免费，下午两点退房，出酒店步行五分钟有个新开的美食城，全是遵义的名小吃，这些都让人很满意。但不足有三点：1、提供的早餐难吃，2、房间门隔音效果不好、外面说话听得很清楚，3、上午睡觉的时候、服务员在外面说话声音非常吵闹，希望以后注意一下不要影响客人休息。', '短评打分': 5}
{'短评内容': '装修卫生很好酒店环境还是挺好的，价格要是再便宜些就更好，态度一般，位置还好。', '短评打分': 3}
{'短评内容': '  房间、环境还不错，就是没有窗户，有点闷。', '短评打分': 5}
{'短评内容': '住进去后发现除了没有窗子以外各方面都还是不错的，服务态度不错。', '短评打分': 5}
{'短评内容': '比较新，设施比较新一些.住着舒适度也非常不错，而且位置好方便出行.', '短评打分': 5}
{'短评内容': '新酒店，新设施！不错的选择！只是隔音效果较差！', '短评打分': 5}
{'短评内容': '很好，很温馨！设施不错，只是洗澡水有点凉！', '短评打分': 5}
{'短评内容': '床特别舒服，睡到9点才起床差点误了事情！', '短评打分': 5}
{'短评内容': '位置略偏了一些，不过室内的硬件设施及卫生条件还不错.住着感觉挺舒服的.', '短评打分': 5}
{'短评内容': '酒店是新开业的，位置挺不错大堂很绚丽，房间设施很舒服。而其长途电话全免以后来了遵义都会住这里。', '短评打分': 5}
{'短评内容': '硬件设施比较新一些.所以住着还不错,服务各方面也是蛮贴心的,整体水平很好.', '短评打分': 5}
{'短评内容': '汇川很好啊！！新酒店，温馨，而且房间够大，服务也很好。地理位置嘛也不错，其实遵义本来就很小的。', '短评打分': 5}
{'短评内容': '这个酒店位置很好。周围吃的很多。\n值得一提的是贝壳房也很大啊！就是没窗。', '短评打分': 5}
{'短评内容': '不错！打电话电话还免费！\n而且是新酒店，舒服。', '短评打分': 5}
{'短评内容': '隔音效果太差，其他都还不错。停车场没保安没路灯。\r\n', '短评打分': 5}
{'短评内容': '很不错的酒店，环境也很好，气分也不错，下次再一定再来', '短评打分': 5}
