{'短评内容': '美滋滋', '短评打分': 5}
{'短评内容': '不能加儿童床，加床加钱', '短评打分': 5}
{'短评内容': '还不错，挺实惠', '短评打分': 4}
{'短评内容': '环境不错，干净卫生', '短评打分': 5}
{'短评内容': '停车方便，房间干净卫生', '短评打分': 5}
{'短评内容': '没写过评论！我经常住这边，出差住合适，推荐！值得一提的洗澡舒服…接下来就不用再啰嗦了…经常出门的你懂得…', '短评打分': 5}
{'短评内容': '我住的这个单间一个人很舒服，该有的都有，反正一个宾馆该有的都备齐了。以后有机会还会再来的。', '短评打分': 5}
{'短评内容': '适合商务出差', '短评打分': 5}
{'短评内容': '环境好。服务也好。卫生干净。住的最好的宾馆！真是最棒的一次住宿！虽然钱多了点。但是都是值得的！！！！！', '短评打分': 5}
{'短评内容': '房间很大，很不错，热水是温泉水。房间有点味道，床头无插孔。', '短评打分': 5}
{'短评内容': '出差住着还是不错的', '短评打分': 4}
{'短评内容': '酒店不错，房间很宽敞，室内整洁', '短评打分': 5}
{'短评内容': '房间比较宽大，物品设施也可以，有停车场，总体不错。', '短评打分': 4}
{'短评内容': '挺好的，就是早餐太差了。第二天都没有吃到鸡蛋。', '短评打分': 5}
{'短评内容': '环境真的不错', '短评打分': 5}
