{'短评内容': '很好.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通不错，服务不错，客房环境不错，靠近交通要道，坐地铁方便，坐公共汽车也方便，装修比较新，房间有电吹风', '短评打分': 5}
{'短评内容': '房间卫生很干净，性价比高。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '连毛巾都没有', '短评打分': 3}
{'短评内容': '环境卫生，安静舒适，靠近北京路步行街，方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '去过很多次七天了服务都是不错的，非常的棒住的舒服可以的666！非常好下次再在这里订吧！', '短评打分': 5}
{'短评内容': '容易找，近地铁站，在老城区，安静！干净！舒适！', '短评打分': 5}
{'短评内容': '朋友说不错', '短评打分': 5}
{'短评内容': '房间卫生整洁，周边环境清净，门口有公园。不好的地方是被子，浴巾都很旧了，上面还有小破洞。', '短评打分': 5}
{'短评内容': '帮朋友订的，挺好', '短评打分': 5}
{'短评内容': '挺好的............................................................', '短评打分': 4}
{'短评内容': '服务热情', '短评打分': 5}
{'短评内容': '房间挺好～', '短评打分': 4}
{'短评内容': '确实该酒店的地理位置非常方便，便于自己这次出去办事和逛街。', '短评打分': 5}
{'短评内容': '一家不新不旧的七天，算是在闹中取静的位置，附近就有地铁站和公交车站，交通便利。房间方正，唯一怀疑的是订了传统大床房结果入住了自主大床房，因为牙具是后来打到前台让补充的，内窗，窗外堆了些杂物，其他都 OK ，周末168的价格还是算比较有性价比。', '短评打分': 4}
{'短评内容': '确实该酒店的地理位置非常方便，便于自己这次出去办事和逛街。这次拿到的房间比较小，而且靠近电梯间，隔音又差，早上的时候有一段时间会比较吵，影响睡眠。本来一度考虑跟前台换个房间，但想到这次在酒店房间里待的时间实在很短，换个房间都浪费自己时间，所以就算了。房间的卫生情况以及床铺的舒适程度都还让人满意。', '短评打分': 4}
{'短评内容': '到宾馆，报龙都化工周军订的房', '短评打分': 5}
{'短评内容': '好。这家七天酒店，环境很好，很安静，出入很方便，离地铁站，和公交车站都很近，吃的也很方便。', '短评打分': 5}
