{'短评内容': '出乎意料的好，休闲的首选。', '短评打分': 4}
{'短评内容': '真的不推荐去住，比较差', '短评打分': 3}
{'短评内容': '真心没住过这么差的三星级酒店，卫生差，Wi-Fi没有，电视机就一个频道…简直糟糕透顶。', '短评打分': 1}
{'短评内容': '酒店绿色植物多，空气新鲜，桂花飘香，值得入住，家里的老人和小孩都满意', '短评打分': 5}
{'短评内容': '周边环境不错。', '短评打分': 2}
{'短评内容': '如果是带孩子的家庭出游，一定不能选择标间，太小了，床太窄，而且一股霉潮的气味，墙上长霉，卫生间也长霉，马桶不干净，想多找床被子，结果柜子里的被子也长霉，找前台要床干净的被子，从中午打了电话，一直到晚上9点打了3次电话才催来，送来的被子依然是长霉的，但总算是晒过，没有潮味。这完全不是三星宾馆的感觉。据说豪华标间会比较好！最最不能接受的是，空调出风口正好对着2张床！这谁能受得了！！怎么睡啊！这么小的房', '短评打分': 3}
{'短评内容': '设施有点老旧，环境很好。没有早餐，不太适合自驾游去的人。一般都是团组去的。', '短评打分': 3}
{'短评内容': '不值得这个价，环境差，条件差！', '短评打分': 3}
{'短评内容': '优点：周边环境很好，空气清新。缺点：每个房间都有一个小动物陪伴，我们这间是只蛐蛐，隔壁一间是一窝老鼠。房间卫生极差，我住过的最差的，没有之一。这样的房间国庆期间还268一晚，还不包括早餐，早餐另外收费15元，就是单人分量的稀饭馒头和一个鸡蛋......我只想说，抢钱也要有技术含量！！', '短评打分': 2}
{'短评内容': '周边环境不错，但硬件真心不行', '短评打分': 4}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '酒店周边环境不错，很绿色，适合休养。就是位置有些偏僻，也没什么娱乐设施。', '短评打分': 5}
