{'短评内容': '前台那个小姐姐  你马着个脸什么意思  我差你钱还是咋的  房间里马桶都是烂的  被单上还有红点  脏的！', '短评打分': 3}
{'短评内容': '呵呵呵呵呵', '短评打分': 1}
{'短评内容': '呵呵呵', '短评打分': 1}
{'短评内容': '呵呵呵呵呵', '短评打分': 1}
{'短评内容': '有停车场哦，环境很好，非常不错的，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '帮老公预定的，应该还不错，信赖京东，很不错哦。', '短评打分': 5}
{'短评内容': '房间比较大，但是房间隔音效果不是很好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '因为出入境管理处周一才上班所以又住啦一晚上。非常不错的地方。龙都广场店楼下就是摩尔玛特 步行五分钟能到东方广场，彩灯公园看灯会，酒店地处五星街是老城区的商业中心相当于成都的春熙路 出行方便交通便捷 ', '短评打分': 5}
{'短评内容': '酒店在老城区，龙都广场。自贡看灯会的话入住这家很靠谱步行几分钟就到啦！楼下有摩尔玛特超市 旁边各种馆子很有自贡特色哦！好多年没回老家啦老妈想看看家乡变化 考虑这边出行吃饭很方便就预订的这里。环境也很安静哈', '短评打分': 5}
{'短评内容': '安全，舒适', '短评打分': 5}
{'短评内容': '不错，出行方便，安静安全', '短评打分': 5}
{'短评内容': '这次出差运气真好，扔到酒店搞活动，只花了个钟点房的价格就住了个200多元的豪华双床房，又宽敞又明亮，洗澡非常舒服，用的还是封包毛巾，干净又卫生，还睡的是荞麦保健枕头，有助于睡眠和颈椎的恢复，一觉睡到自然醒！', '短评打分': 5}
{'短评内容': '川内出差一直支持岷山集团旗下的158酒店！自贡店非常不错！前台服务很好！耐心细致礼貌！建议更新卫生间设施。强烈建议更换或清洗空调内部零件，空调出风时带有很明显的粉尘！', '短评打分': 4}
{'短评内容': '可以。都方便。凭酒店券只需十元二十四小时停车费', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 3}
{'短评内容': '个人觉得还是不错的，很卫生，早餐对得起这个价格', '短评打分': 5}
{'短评内容': '环境一般，偏差。但是难得的是位置很好，楼下就有很多好吃的干锅，位置很中心，去那里都方便。', '短评打分': 5}
{'短评内容': '还不错，就是没按网上标的返款', '短评打分': 3}
{'短评内容': '地理位置很好，也比较干净，周围吃饭购物出行很方便；就是酒店太长了，到房间要走好久……', '短评打分': 5}
{'短评内容': '住了二天,感觉酒店整体还不错.关键是地处繁华地段,方便购物,餐饮,出行.', '短评打分': 3}
{'短评内容': '酒店服务还是不错的，预先告知了酒店会带小孩，所以安排了比较安静的房间。\n优点：最大的有点还是服务不错。另外位于老城区，生活较方便，价格较便宜。\n缺点：酒店设施比较旧，停车不太方便。（服务还是不错的，告知酒店客服已经无停车位，客服亲自到停车场门口协调安排停车位）', '短评打分': 5}
{'短评内容': '酒客客房服务做的好差劲，连床铺都整不干净，太敷衍了。', '短评打分': 1}
{'短评内容': '服务非常，酒店的地理位置很好。有机会还去这里。', '短评打分': 5}
{'短评内容': '4环景还可以', '短评打分': 3}
{'短评内容': '各方面都不错全部给5分', '短评打分': 3}
{'短评内容': '住宿环境挺好的，服务也很热情周到，总体感觉不错，特别是浴室很舒服～', '短评打分': 3}
{'短评内容': '服务很不错，就是早餐稍微晚一点去就没有什么了，冷冷的感觉', '短评打分': 5}
{'短评内容': '可以，就是走廊很长，房号大的话要走很久。', '短评打分': 5}
{'短评内容': '总体感觉还不错的，水龙头和花洒有点问题，一开水就四处乱喷，忘进行检修。\n总台的一个年轻女孩态度不好，我们明明订了2天的住宿，并且在入住登记的时候按照要求支付了400元给前台，但是第二天外出归来房卡就打不开门了，去前台询问，她硬是在没有核实的情况下说我们只预定了一天的，并且第二天的房价要按照178元来收取，并且要求我再缴纳100元给她，经过据理力争，在场的一位主管帮我们解决了问题，我让她在新缴纳的押', '短评打分': 5}
{'短评内容': '酒店位置不错！就是停车位紧张！希望能有自己酒店的专用停车位！～', '短评打分': 5}
{'短评内容': '酒店交通方便，离彩灯公园也很近。热水也随时都有。唯一的就是确实有点闹。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，离彩灯公园步行十分钟左右，楼下就是干锅汤锅一条街，吃东西，停车很方便，房间还不错，就是有股烟味，自贡灯会值得一看', '短评打分': 3}
{'短评内容': '环境还行，早上有点吵……设施有点老化…', '短评打分': 3}
{'短评内容': '房间卫生还可以 服务态度也很好', '短评打分': 3}
{'短评内容': '还行，交通方便，退房的时候服务员态度不好。', '短评打分': 5}
{'短评内容': '地理位置不错，但是门前的单行道很不方便。周围餐饮较多，吃喝倒是很方便，但是非常嘈杂，特别是酒店后面临小巷的房间受餐馆噪音影响较大。卫生间小，特别是淋浴间小得连个门都安不下。总体感觉超值谈不上，基本上物有所值。', '短评打分': 5}
{'短评内容': 'hao.....................................................................................', '短评打分': 5}
{'短评内容': '还行。\n房间稍微小了点，电视机也小了点。', '短评打分': 5}
{'短评内容': '位置很好，周边有大超市，还有KFC和麦当劳。打车也很方便。缺点是房间看起来比较暗，走廊里有发霉的味道。', '短评打分': 5}
{'短评内容': '酒店整体环境还可以，虽说在用餐时有些小误会，不过该店的经历很快地妥善处理了', '短评打分': 5}
{'短评内容': '周边餐饮，商业挺发达，比较方便。好长的走廊，我觉得酒店有一种比较奇怪的味道，跟别的安逸有些区别，不是很干净。网速还可以。总体来讲性价比还是良好。', '短评打分': 5}
{'短评内容': '自贡这个酒店还可以，在商业区，电梯不方便，早餐不全！', '短评打分': 5}
{'短评内容': '酒店还是不错的，位置也不错，内部看起来装的比较干净，走廊太长。', '短评打分': 5}
{'短评内容': '蛮不错！', '短评打分': 3}
{'短评内容': '周边餐饮、购物也很方便.有早餐，这个价格来说还是不错的！\n', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，隔音差些', '短评打分': 3}
{'短评内容': '交通、购物便利！就是门口是单行道，开车来的时候错过了，结果绕了一圈才回到街口，车库入口在背后小街，车位有限！\n整体感觉不错！', '短评打分': 5}
{'短评内容': '酒店位置对于参观灯会的游客来说很方便！周边餐饮、购物也很方便！带有早餐，还是不错的！\n建筑通廊很长，有多个消防跑梯，防火门都开敞（符合消防要求），但会出现之前有评论的安全担忧，建议在每个房门后加设一个软链锁扣，可能更安心！\n综合性价比高！\n\n', '短评打分': 5}
{'短评内容': '酒店很不错，值得推荐。但服务人员态度不敢恭维!', '短评打分': 3}
{'短评内容': '基本设施还行，位置不错，就是屋内有异味，下水道有臭气出来，晚上屋外有电器噪音（不是空调），春节期间价格翻倍，有所不值。', '短评打分': 1}
{'短评内容': '感觉还是可以，挺舒适的`````````价钱也比较合理！~````', '短评打分': 5}
{'短评内容': '房间还行服务也不错在市中心很方便', '短评打分': 3}
{'短评内容': '地理位置优越 房间条件还不错 只是洗手间太透明化了 \n', '短评打分': 5}
{'短评内容': '不错，很干净舒适，如其名。', '短评打分': 3}
{'短评内容': '总体上酒店还不错，整体很新，很规范服务好，设施设备都很到位。加上安逸158的品牌。是一家性价比很不错的酒店。', '短评打分': 3}
{'短评内容': '还不错，就是老婆觉得酒店的浴室和厕所太透明化了~早餐一般，清房的工人在发现客户未离开时不曾主动退避，感觉需要加强员工的基本素养。', '短评打分': 5}
{'短评内容': '还可以哈！就是价格相对来说比较高哈\n汽车站也开了个连锁酒店！价格在77元！设施都差不多！不过地理位置很好', '短评打分': 5}
{'短评内容': '地段不好，感觉比较一般！\n\n早餐简单，服务还可以！', '短评打分': 1}
{'短评内容': '干净，设施一般，洗漱用具缺剃须刀，较嘈杂。', '短评打分': 5}
{'短评内容': '很不错的酒店，我定的豪华单间，床很大，一个人睡很爽！\n就是睡懒觉没赶上早餐，不知道早餐怎么样。\n网速也很快，有一点瑕疵就是装洗发水和沐浴露的盒子看起来很脏。。。。\n不过下次去的话还是会选择安逸158！', '短评打分': 5}
{'短评内容': '价格较便宜，内部设施还可以，就是地毯稍旧，电话是免费的，可以省去部分电话费，呵呵。', '短评打分': 5}
{'短评内容': '经济实惠，房间整洁干净，比较适合商旅人士。 交通也算比较方便。', '短评打分': 5}
{'短评内容': '还不错，地方虽然在闹市中心，但晚上也不吵，价格可以。', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '感觉上非常合适的商务酒店，性价比高，这样的价格还有早餐，很好！服务不错，位置也不错，购物、逛街、小吃很方便！', '短评打分': 5}
{'短评内容': '适合自己一个人出来玩的时候住 经济实惠 楼下很方便 吃的逛得都有\n房间就是这个价钱吧 也没什么好处跟坏处 厕所有点小 跟图片基本一样 \n下次自己来还会选择这。', '短评打分': 5}
{'短评内容': '酒店感觉一般，硬件条件装修很差，网速很慢。', '短评打分': 3}
{'短评内容': '安逸连锁里面这家房间最大了，还有沙发和写字桌，值得住', '短评打分': 5}
