{'短评内容': '很好.设施老旧', '短评打分': 5}
{'短评内容': '从大堂到房间较远', '短评打分': 5}
{'短评内容': '特别好，非常满意，凌晨三点钟飞机，还给打包早餐，贴心，下次还来', '短评打分': 5}
{'短评内容': '环境 早餐都不错', '短评打分': 5}
{'短评内容': '酒店前台，服务热情，早餐丰盛，海边景色秀丽，对过就能看到蜈支洲岛。酒店内的泳池很大，亲自设施很多，不过就是感觉有些脏，特别是小小孩区域。健身设备也可以。绕酒店的一圈小河，很别致。园林风景也很棒。性价比比亚龙湾区域的酒店高很多。', '短评打分': 5}
{'短评内容': '非常差，尤其是前台代表宏，非常差', '短评打分': 1}
{'短评内容': '房间很不错，床垫很舒服叫人欲罢不能！定的时候看到有儿童乐园才定的，但是住了三天都在维修，游泳池也没有浅的儿童池，导致小朋友在酒店里很是无聊，没有地方可以玩，沙滩也是不能下海的，风和浪太大了，酒店不知道什么原因一直在装修的样子，在阳台晒太阳都可以看到对面大堂屋顶工人一直在换瓦装修，别墅区一半也都在装修，各种装修材料满院子都是，去往海滩的路也被挡了一半，唯一好评的恐怕就是房间了。', '短评打分': 4}
{'短评内容': '环境不错，酒店很高大上！', '短评打分': 5}
{'短评内容': '以是人多以书假余，余因得遍观群书。既加冠，益慕圣贤之道，又患无硕师名人与游，尝趋百里外，从乡之先达执经叩问。先达德隆望尊，门人弟子填其室，未尝稍降辞色。余立侍左右，援疑质理，俯身倾耳以请', '短评打分': 5}
{'短评内容': '不错的一次酒店体验', '短评打分': 5}
{'短评内容': '原来是凯宾斯基后来被万达收去了，总体来说不错。但比原来的凯宾斯基软件上还是有差距。', '短评打分': 5}
{'短评内容': '酒店很好很大，服务态度超好', '短评打分': 5}
{'短评内容': '环境干净卫生，住着舒适', '短评打分': 5}
{'短评内容': '很舒服！！！！', '短评打分': 5}
{'短评内容': '京东的服务还是不错滴，效率挺高，问题解决很及时', '短评打分': 5}
{'短评内容': '还不错！！和去哪儿上的价格没什么区别！！关键是订单响应速度比去哪儿快许多！', '短评打分': 5}
{'短评内容': '环境优美 安静 适合渡假 景色很好', '短评打分': 5}
{'短评内容': '挺好的度假', '短评打分': 5}
{'短评内容': '一般吧，没有9号好！', '短评打分': 2}
{'短评内容': '地理位置比较偏，服务不错，比较安静', '短评打分': 4}
{'短评内容': '环境很好，比较安静，交通也方便', '短评打分': 5}
{'短评内容': '酒店环境是真不错～本身喜欢这种东南亚风格的酒店～到了酒店给我们免费升级成至尊海景～服务服务也还不错～总体还不错的', '短评打分': 5}
{'短评内容': '酒店设施配备齐全，酒店服务态度到位', '短评打分': 5}
{'短评内容': '相当不错，就是吃饭不方便，带孩子去很好，海边风大浪大，不能下水，其余都不错。', '短评打分': 5}
{'短评内容': '相当不错，就是吃饭不方便，带孩子去很好，海边风大浪大，不能下水，其余都不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，住了两天，酒店很大，服务很好！', '短评打分': 5}
{'短评内容': '泳池沙滩都不错。感觉蛮好的。明年三亚行直接在这住。', '短评打分': 4}
{'短评内容': '挺好的..', '短评打分': 5}
{'短评内容': '本次预定的是至尊海景房，因酒店布局问题，需要在阳台侧面才能看到一部分海。房间装修过于复杂，布局不合理，60几平方的房室内还比较局促。特别是床头后方的茶水台，烧开水就影响床上休息的人，设计不当。早餐人比较多，品质一般。', '短评打分': 3}
