{'短评内容': '像是养老公寓改的酒店，条件一般，停车困难', '短评打分': 4}
{'短评内容': '还不多，挺干净的', '短评打分': 5}
{'短评内容': '出行方便', '短评打分': 5}
{'短评内容': '体面好的服务态度很好干净快捷', '短评打分': 5}
{'短评内容': '还行吧，周围什么都没有', '短评打分': 4}
{'短评内容': '服务态度很好，干净快捷。', '短评打分': 5}
{'短评内容': '服务态度很好干净快捷。', '短评打分': 5}
{'短评内容': '服务态度很好，快捷干净', '短评打分': 5}
{'短评内容': '挺好的干净快捷服务态度很好', '短评打分': 5}
{'短评内容': '从来不评价，这回我忍不住了。连wift都没有的宾馆，别的就不说了。。。。。', '短评打分': 3}
{'短评内容': '环境不太好，不推荐入住', '短评打分': 3}
{'短评内容': '是一个公寓，晚上走楼梯有点渗人，没有连上wifi，因为只有二楼有，把我们分在三楼所以没能连上。自己带的电脑网线也不管用。房间有点小，明明是大床房不知道为什么还有一张单人床，可能是三人间。太挤了。以后不会住了。', '短评打分': 3}
{'短评内容': '条件和价格不符，卫生间有异味，陈设简陋，使用不便，就像旅馆，晚上半边楼道灯都不亮，只是离车站近点。', '短评打分': 3}
{'短评内容': '非常好。住的很舒服 住了4调', '短评打分': 3}
{'短评内容': '很想普通家庭', '短评打分': 2}
