{'短评内容': '真的非常好，东西落下了还帮忙记，环境也特别棒', '短评打分': 5}
{'短评内容': '你打咯模样', '短评打分': 5}
{'短评内容': '环境不错  周边的景也很美走几步就可以吃到美味的小吃啦', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '酒店很有特色！值得大家入驻！前台服务态度很好。住在酒店特别文艺范。下次来厦门的话还是想住这家酒店。谢谢', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不太好找，会发路线短信，跟着标志建筑走，还是蛮便利的，要爬坡，拉着箱子有点累。就在海天堂构旁边，环境很好，房间装修非常棒，大爱。前台有帅哥，还有小礼物，棒棒哒', '短评打分': 5}
{'短评内容': '很喜欢，下次还会住', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '不太好找，会发路线短信，跟着标志建筑走，还是蛮便利的，要爬坡，拉着箱子有点累。就在海天堂构旁边，环境很好，房间装修非常棒，大爱。前台有帅哥，还有小礼物，棒棒哒', '短评打分': 5}
{'短评内容': '环境不错，很有文艺气息，晚上也很安静', '短评打分': 5}
