{'短评内容': '还不错，比想象好。适合装B', '短评打分': 5}
{'短评内容': '性价比不错，非常满意，下次还来，会推荐朋友。小区绿化非常好，还有温泉。建议温泉稍晚点再开放，这样可以晚一点结束', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境非常棒 南面是海 北面是机场 刚好喜欢民航飞机 在阳台上就可以看到飞机起起落落 感觉非常棒 关上玻璃推拉门也不会觉得吵… 房间面积很大 很宽敞… 不足的是 房间的网络不太好 刚好遇上运营商线路故障… 总体来说只能用惊喜来评价…', '短评打分': 5}
{'短评内容': '去三亚多次，每次都住这。通透的房间，一边面朝大海，一边面朝机场，也不吵。楼下有泳池，下午还有温泉，很喜欢这里。', '短评打分': 5}
{'短评内容': '不错，位置好，可以看日落，美。马路对面是海', '短评打分': 5}
{'短评内容': '房间设施不错，价格合适，我很喜欢。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，住了九天，换了几个房型，过几天还去！', '短评打分': 4}
{'短评内容': '很好的房间，下次还会来的，', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '环境很好，就是蚊子太厉害！', '短评打分': 4}
{'短评内容': '房间大是满大的，但不是很干净，我在房间里还看到壁虎哪，小虫多，我老婆被咬了好几口。不过价格还好，洗衣机，冰箱都有，', '短评打分': 5}
{'短评内容': '环境确实很美，很大的游泳池，还有温泉泡，距离海边很近，在阳台上可以欣赏到美丽的海景。和老婆在房间呆了几天一直没出门，很惬意。服务员很热情，不厌其烦。下次来继续选择这家公寓。', '短评打分': 5}
{'短评内容': '经理免费给我升级海景房，海景效果特别好。非常值得推荐，泳池很干净，温泉也很舒服。', '短评打分': 5}
