{'短评内容': '很雅致的酒店', '短评打分': 5}
{'短评内容': '前台服务员态度非常恶劣、业务水平低、连个人发票都不知道怎么开、知道理亏后态度近乎嚣张、还蛮不讲理地说：你赶时间昨晚上不开、酒店没有你来住不会倒闭的这种话！这是我长大以来见过最没素质的酒店前台、建议取消与该酒店的合作！', '短评打分': 2}
{'短评内容': '无早餐，酒店位置在景区内，较方便，有停車的地方，但位置较少，附近也有停車场，国庆假期旅游适合休闲游，也不是很拥挤，个人认为可以的', '短评打分': 5}
{'短评内容': '可以，节日中还是可以', '短评打分': 5}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '酒店分南楼、北楼，就是老房子改的宾馆，设施比较少。房间外面比较吵，但古街那基本没什么住宿的宾馆，短住一天还凑合。', '短评打分': 3}
{'短评内容': '春节入住，酒店周边环境很好，地处月河老街。逛街 吃饭 泡酒吧都很方便 尤其是早晨和夜晚的老街景色很好', '短评打分': 4}
{'短评内容': '春节时期入住，预定的房间有麻将桌，但使用需另外付钱。酒店地处月河老街，环境非常好、逛街、吃饭都非常方便。', '短评打分': 4}
{'短评内容': '就在月河景区里面，过两条桥就到了；一楼房间，不潮湿，还不错！', '短评打分': 5}
{'短评内容': '景点不错了', '短评打分': 3}
{'短评内容': '地段非常好，不过硬件实在一般，卫生也不好。', '短评打分': 4}
{'短评内容': '地段非常好，不过硬件实在一般，卫生也不好。', '短评打分': 4}
{'短评内容': '地段非常好，不过硬件实在一般，卫生也不好。', '短评打分': 4}
{'短评内容': '替爸妈订的，老两口住着觉得经济实惠环境也不错，他们满意就好！', '短评打分': 4}
{'短评内容': '酒店条件不配这个价格。第二天果断换酒店。', '短评打分': 4}
