{'descr': '房间很好 下次再来  打扫得也很彻底', 'star': 5}
{'descr': '房间挺干净的', 'star': 5}
{'descr': '都还不错的', 'star': 5}
{'descr': '早餐还不错', 'star': 5}
{'descr': '整体的都还可以', 'star': 5}
{'descr': '早餐还是可以的', 'star': 5}
{'descr': '一塌糊涂不喜欢', 'star': 5}
{'descr': '6', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务不错', 'star': 5}
{'descr': '早餐棒！', 'star': 5}
{'descr': '环境还不错，位置也不错，性价比很高。', 'star': 5}
{'descr': '很好的一次旅行', 'star': 5}
{'descr': '这家酒店比较经济实惠，比南站附近240的如家酒店干净多了 性价比比较好，', 'star': 5}
{'descr': '酒店的早餐还不错', 'star': 5}
{'descr': '房间比较有特色 圆床 设施都还可以 但是就是房间有一股味道 很久都散不了 总体还是满意的', 'star': 5}
{'descr': '环境还算可以，就是早餐实在是让人无话可说', 'star': 5}
{'descr': '酒店环境挺好，迷你间也挺大的，不错！下次还会再去。', 'star': 5}
{'descr': '酒店很干净就是卫生间下水道很慢其它都不错', 'star': 3}
{'descr': ' 床太硬了', 'star': 3}
{'descr': ' 蛮喜欢房间布置的,不过就是蚊子很多啊,提供的驱蚊片没什么用......估计跟空调管上面天花板的洞有关。周边有很多吃饭的地方,很好啊!总体还是满意的。', 'star': 3}
{'descr': '离参加培训的地方很近，酒店设施一般、标间大小还可以，卫生和服务还可以。酒店周边交通十分方便。', 'star': 5}
{'descr': '离参加培训的地方很近，酒店设施一般、标间大小还可以，卫生和服务还可以。酒店周边交通十分方便。', 'star': 5}
{'descr': '已经入住，房间小，有点味道', 'star': 3}
{'descr': '已经入住，房间小，有点味道', 'star': 3}
{'descr': '地点好，交通方便。价格便宜，房间比较大。总之很超值。', 'star': 5}
{'descr': '地点好，交通方便。价格便宜，房间比较大。总之很超值。', 'star': 5}
{'descr': '交通，吃饭都很方便', 'star': 3}
{'descr': '交通，吃饭都很方便', 'star': 3}
{'descr': '交通便利，住宿條件不是很好。服務需要提升。呵呵', 'star': 5}
{'descr': '交通便利，住宿條件不是很好。服務需要提升。呵呵', 'star': 5}
{'descr': '往昌平方向和海淀学区都比较方便，在中关村附近，交通便利。住宿条件一般了。呵呵', 'star': 5}
{'descr': '往昌平方向和海淀学区都比较方便，在中关村附近，交通便利。住宿条件一般了。呵呵', 'star': 5}
{'descr': '交通便利，但是环境一般，服务态度需要大大提高。', 'star': 3}
{'descr': '交通便利，但是环境一般，服务态度需要大大提高。', 'star': 3}
{'descr': '交通方便,只是卫生条件很差', 'star': 3}
{'descr': '交通方便,只是卫生条件很差', 'star': 3}
{'descr': '\n宾馆条件一般只是交通比较便利', 'star': 3}
{'descr': '\n宾馆条件一般只是交通比较便利', 'star': 3}
{'descr': '可以推荐，位置不错，就是设施有些老。环境比较陈旧。', 'star': 5}
{'descr': '可以推荐，位置不错，就是设施有些老。环境比较陈旧。', 'star': 5}
{'descr': '可以推荐，位置不错，就是设施有些老。环境比较陈旧。', 'star': 5}
{'descr': '可以推荐，位置不错，就是设施有些老。环境比较陈旧。', 'star': 5}
{'descr': '距离东山步行街不远，离同曦鸣城也不远，还算可以。。然后房间虽然是迷你，但是还是挺大的。。不错。。', 'star': 5}
{'descr': '第一感觉还不错，接下去三天看下，不过离地铁站还是挺远的', 'star': 5}
{'descr': '第一感觉还不错，接下去三天看下，不过离地铁站还是挺远的', 'star': 5}
{'descr': '地理位置好，调节还行，就是房间光线不太好，不怎么通风 ，总体来说不错', 'star': 5}
{'descr': '地理位置好，调节还行，就是房间光线不太好，不怎么通风 ，总体来说不错', 'star': 5}
{'descr': '价格在这一带算很便宜了，卫生非常差', 'star': 3}
{'descr': '价格在这一带算很便宜了，卫生非常差', 'star': 3}
{'descr': '特价房相对周边的价位来说还可以，房间挺宽敞的，显示无窗，但实际上是有窗的，只是窗前面有一面墙，打开窗户能换换空气也就可以了。唯一不舒服的就是洗手间，洗手间仿佛是改造的移动型的厕所一样，里面有点小，洗手池跟淋浴居然共用一个水龙头。唉！苦于现在的宾馆价格都很贵，这个还可以凑合。', 'star': 5}
{'descr': '特价房相对周边的价位来说还可以，房间挺宽敞的，显示无窗，但实际上是有窗的，只是窗前面有一面墙，打开窗户能换换空气也就可以了。唯一不舒服的就是洗手间，洗手间仿佛是改造的移动型的厕所一样，里面有点小，洗手池跟淋浴居然共用一个水龙头。唉！苦于现在的宾馆价格都很贵，这个还可以凑合。', 'star': 5}
{'descr': '隔音效果不是很好啊，热水温度调节有点问题，叫人换水壶很久没来，总体而言，胜在比较干净，价格便宜', 'star': 3}
{'descr': '房间不大，很是温馨，交通便利。。超市什么的也很近。。就是早餐有些单调。。不过对于这个价钱。总的来说 还是很不错的！ 以后还会住  推荐一下。', 'star': 5}
{'descr': '  房间有点小！服务一般！不是迷你房没有沙发！', 'star': 3}
{'descr': '还好，一分钱一分货啦，，男友说好小，，装修新，总体还行 ，水压不稳。。水时热时慢的', 'star': 5}
{'descr': '房间有味道，厕所臭，价格倒是不贵，但是环境不好。', 'star': 1}
{'descr': '房间有味道，厕所臭，价格倒是不贵，但是环境不好。', 'star': 1}
{'descr': '还不错，感觉有点小，不过很清新，该有的里面都有，还有早餐', 'star': 5}
{'descr': '位置还好，就是设施有些旧，隔音不太好，可能跟价位有关', 'star': 5}
{'descr': '位置还好，就是设施有些旧，隔音不太好，可能跟价位有关', 'star': 5}
{'descr': '我感觉真心不错，地理位置也好，交通便利，以后会常来', 'star': 5}
{'descr': '第一感觉还不错，接下去三天看下，不过离地铁站还是挺远的', 'star': 3}
{'descr': '第一感觉还不错，接下去三天看下，不过离地铁站还是挺远的', 'star': 3}
{'descr': '离办事的公司很近，中午还可以回去休息一下，住着很方便。住的是豪华标间，房间挺大的，服务一般，卫生一般。', 'star': 5}
{'descr': '离办事的公司很近，中午还可以回去休息一下，住着很方便。住的是豪华标间，房间挺大的，服务一般，卫生一般。', 'star': 5}
{'descr': '干净舒适,圆床有特色', 'star': 3}
{'descr': '酒店位置很好找 地铁（竹山路）打车两公里或者可以公交。内部设施基本满意，迷你房温馨的圆床 床头和上方都有镜子，显空间很大。值得推荐', 'star': 5}
{'descr': '酒店位置不错，出行很方便，但是特价房条件一般，厕所空间小，隔音效果差', 'star': 5}
{'descr': '酒店位置不错，出行很方便，但是特价房条件一般，厕所空间小，隔音效果差', 'star': 5}
{'descr': '房间还算干净，价格嘛还算适中，不足的是床不舒服', 'star': 3}
{'descr': '房间还算干净，价格嘛还算适中，不足的是床不舒服', 'star': 3}
{'descr': '果然是特价房啊，唉~', 'star': 3}
{'descr': '果然是特价房啊，唉~', 'star': 3}
{'descr': '在上地西里附近，还是很方便的地方。出门吃饭都挺方便', 'star': 5}
{'descr': '在上地西里附近，还是很方便的地方。出门吃饭都挺方便', 'star': 5}
{'descr': '交通方便还不错', 'star': 3}
{'descr': '交通方便还不错', 'star': 3}
{'descr': '保洁阿姨很好~空调不怎么热~开起来噪音很大~电视的噪音也很大~设施卫生条件一般~性价比还好~···', 'star': 5}
{'descr': '保洁阿姨很好~空调不怎么热~开起来噪音很大~电视的噪音也很大~设施卫生条件一般~性价比还好~···', 'star': 5}
{'descr': '交通便利，设施完善，服务热情，态度好，哈哈。', 'star': 5}
{'descr': '交通便利，设施完善，服务热情，态度好，哈哈。', 'star': 5}
{'descr': '环境还可以，就是感觉小一点', 'star': 3}
{'descr': '环境还可以，就是感觉小一点', 'star': 3}
{'descr': '在这个地段有这个价格不错，不过早晨房间没电，打內线电话没人接。', 'star': 3}
{'descr': '在这个地段有这个价格不错，不过早晨房间没电，打內线电话没人接。', 'star': 3}
{'descr': '出差北京一直在住的酒店，只是有时候预订不到，在上地还是比较方便的，酒店比较老了，环境一般，卫生条件一般，很是适合晚上睡觉白天上班的出差。', 'star': 5}
{'descr': '出差北京一直在住的酒店，只是有时候预订不到，在上地还是比较方便的，酒店比较老了，环境一般，卫生条件一般，很是适合晚上睡觉白天上班的出差。', 'star': 5}
{'descr': '这里很好，便宜干净，还有正规足疗。很不错。', 'star': 3}
{'descr': '这里很好，便宜干净，还有正规足疗。很不错。', 'star': 3}
{'descr': '房间老化严重，墙皮都起来了，卫生间原本外包的管道外漏着。网线也不够长。', 'star': 1}
{'descr': '房间老化严重，墙皮都起来了，卫生间原本外包的管道外漏着。网线也不够长。', 'star': 1}
{'descr': '不用多说。这里确实相对设备比较陈旧，而且卫生做得很不到位，走廊都有异味，还有就是冬天的时候大房子供暖不好哦。这次晚上冻死我了。第2天就加了一个被子才好点。', 'star': 1}
{'descr': '不用多说。这里确实相对设备比较陈旧，而且卫生做得很不到位，走廊都有异味，还有就是冬天的时候大房子供暖不好哦。这次晚上冻死我了。第2天就加了一个被子才好点。', 'star': 1}
{'descr': '相对干净，安静。作为休息这地还不错。。。。。。', 'star': 5}
{'descr': '相对干净，安静。作为休息这地还不错。。。。。。', 'star': 5}
{'descr': '房間與服務整體上還可以拉，房間與服務性價比不錯', 'star': 5}
{'descr': '房間與服務整體上還可以拉，房間與服務性價比不錯', 'star': 5}
{'descr': '性价比比较高', 'star': 3}
{'descr': '性价比比较高', 'star': 3}
{'descr': '价格比较合适，交通比较方便。房间的装修比较老了，其他还好。', 'star': 5}
{'descr': '价格比较合适，交通比较方便。房间的装修比较老了，其他还好。', 'star': 5}
{'descr': '房间不错。', 'star': 3}
{'descr': '服务特别差，从前台的工作效率到服务人员的服务，都非常没有素质。\n只有价位稍显合理，其他无任何优点，如果不在乎几十元的朋友们，我希望大家还是放弃这家宾馆吧，特价房简直就是折磨！', 'star': 1}
{'descr': '服务特别差，从前台的工作效率到服务人员的服务，都非常没有素质。\n只有价位稍显合理，其他无任何优点，如果不在乎几十元的朋友们，我希望大家还是放弃这家宾馆吧，特价房简直就是折磨！', 'star': 1}
{'descr': '环境不错，设备齐全，很不错。', 'star': 3}
{'descr': '便宜实用，适合出差人士对环境要求不是太高的人，总体来说还是挺满意的交通方便、离超市也挺近的华联超市。靠近地铁13号线大概要走十五分钟总体上说很满意的。', 'star': 5}
{'descr': '便宜实用，适合出差人士对环境要求不是太高的人，总体来说还是挺满意的交通方便、离超市也挺近的华联超市。靠近地铁13号线大概要走十五分钟总体上说很满意的。', 'star': 5}
{'descr': '第二次入住了，但是明显没第一次的好，标准间还没有经济间的2/3大！！！！', 'star': 5}
{'descr': '第二次入住了，但是明显没第一次的好，标准间还没有经济间的2/3大！！！！', 'star': 5}
{'descr': '帮朋友定的，房间有点小，床有点小。环境一般，价格一般', 'star': 1}
{'descr': '帮朋友定的，房间有点小，床有点小。环境一般，价格一般', 'star': 1}
{'descr': '交通方便！但户间不咋滴，太旧了。', 'star': 3}
{'descr': '交通方便！但户间不咋滴，太旧了。', 'star': 3}
{'descr': '酒店连开水都没有 房间不足十平 最可恨的锁是坏的  在不去了', 'star': 3}
{'descr': '酒店连开水都没有 房间不足十平 最可恨的锁是坏的  在不去了', 'star': 3}
{'descr': '再次入住\n一层的房间没窗户 \n没了时间观念 第一天睡到了10点\n性价比高吧 不强求啥了', 'star': 5}
{'descr': '再次入住\n一层的房间没窗户 \n没了时间观念 第一天睡到了10点\n性价比高吧 不强求啥了', 'star': 5}
{'descr': '在北京能找到这样便宜的酒店算不错了，当然，服务可想而知！', 'star': 5}
{'descr': '在北京能找到这样便宜的酒店算不错了，当然，服务可想而知！', 'star': 5}
{'descr': '很好，很舒服！便宜实惠！', 'star': 3}
{'descr': '很好，很舒服！便宜实惠！', 'star': 3}
{'descr': '地方还凑活，便宜是最重要的，出差就将就下吧！', 'star': 5}
{'descr': '地方还凑活，便宜是最重要的，出差就将就下吧！', 'star': 5}
{'descr': '昨晚住了个小房间，有空调，很暖和。地方小点，图个便宜呗', 'star': 5}
{'descr': '昨晚住了个小房间，有空调，很暖和。地方小点，图个便宜呗', 'star': 5}
{'descr': '前台的态度有点不耐烦了，这是让我寒心的一点，每次北京都在他们那住！希望前台多多注意自己的态度，谢谢！不热爱自己这个岗位你可以离开！', 'star': 5}
{'descr': '前台的态度有点不耐烦了，这是让我寒心的一点，每次北京都在他们那住！希望前台多多注意自己的态度，谢谢！不热爱自己这个岗位你可以离开！', 'star': 5}
{'descr': '推荐啊！在上地这块找不到这么实惠又方便的地了！设施是陈旧了点！但是只要不是太高要求的，住着还是挺舒服的！', 'star': 3}
{'descr': '推荐啊！在上地这块找不到这么实惠又方便的地了！设施是陈旧了点！但是只要不是太高要求的，住着还是挺舒服的！', 'star': 3}
{'descr': '设施陈旧，不过实惠。交通也很方便，电梯里的灯还是没修，太暗了。另外，热水经常没有。', 'star': 1}
{'descr': '设施陈旧，不过实惠。交通也很方便，电梯里的灯还是没修，太暗了。另外，热水经常没有。', 'star': 1}
{'descr': '住的一楼一个房间，条件真是太差啦，空调的声音特别大，戴着耳塞睡觉，下水道声音也很大。', 'star': 1}
{'descr': '住的一楼一个房间，条件真是太差啦，空调的声音特别大，戴着耳塞睡觉，下水道声音也很大。', 'star': 1}
{'descr': ' 环境不错，下次还选他。', 'star': 3}
{'descr': '性价比不错，在北京这个地方其实还算不错的旅馆了，主要是交通较方便', 'star': 5}
{'descr': '性价比不错，在北京这个地方其实还算不错的旅馆了，主要是交通较方便', 'star': 5}
{'descr': '很喜欢龙泉湖这个名字，成都人或简阳人懂的。酒店环境不错，公交非常方便。如果在清华附近办事，清华西门有很多公交，可以到达上地环岛南。酒店就在马路对面，很方便。要逛街的话，上地华联购物中心也不错。', 'star': 5}
{'descr': '很喜欢龙泉湖这个名字，成都人或简阳人懂的。酒店环境不错，公交非常方便。如果在清华附近办事，清华西门有很多公交，可以到达上地环岛南。酒店就在马路对面，很方便。要逛街的话，上地华联购物中心也不错。', 'star': 5}
{'descr': '房间不错，挺温馨，服务周到，就是隔音不是很好', 'star': 5}
{'descr': '入住四天特价房，价位与实际相符，就是隔音有点不太好。总体还行。。。。', 'star': 3}
