{'descr': '很好，就是有地毯，有点味道', 'star': 5}
{'descr': '就地铁出来，位置挺方便的，环境还行，家具略破，但是看在这个价格的份上算是比较nice了吧', 'star': 5}
{'descr': '离五角场近，地铁边，交通也方便，前台服务好', 'star': 5}
{'descr': '很不错的酒店，比较安静，离地铁站很近，很方便的 ', 'star': 5}
{'descr': '价格适中 环境还不错 值得推荐 有服务很方便', 'star': 5}
{'descr': '订的特价房，比想象的好，房间内有小沙发，有窗，但不吵', 'star': 5}
{'descr': '店位置极佳，房间设施一般，特价房也只能如此了，可以推荐的', 'star': 5}
{'descr': '交通太便利，就在地铁出口附近。但设施太旧、太简陋，房间太小！如果想出行过得更舒服，建议换一家！', 'star': 1}
{'descr': '交通非常便利，但设施、房间面积让人失望。档次较低，如果下次家人再来，肯定不选它。', 'star': 1}
{'descr': '虽说是抢到了特价房，但仍想说——你千万别认为自己赚了！！莫泰的档次真是比较低！最为重要的是，有安全隐患！1楼几间客房直接比邻沿街店面，与他们共用通道，可以24小时直通大马路！没有任何安全措施！前台及大厅在另一方向！完全不能提供基本的安全监护！此外房间小，尤其洗漱及淋浴间面积如此节约，转个身都费劲;设施旧，床硬，可以明显感受到里面一个个的弹簧圈；提供的一次性洗漱用品，那个差——仅胜与无！还不如申明：', 'star': 1}
{'descr': '交通及生活便利性实在是无敌！但如果你对居住的品质有所要求，可能无法满足！房间太小，设施较低档，空调较吵。最为关键的是，我此次所定特价房，是在1楼，紧邻沿街店面，环境太差。与商铺后门共用一过道，居然还可以直通马路人行道，而不经过前台——也就是说，任何马路上的行人均可直接来敲你的门！安全系数太低！！非常惊讶，莫泰居然还有这种“全开放”的房间！！！！', 'star': 1}
{'descr': '房间在一楼，水龙头有点坏了的意思（水比较小），隔音不太好，个人认为和不是特价的房间只是楼层的差别，总体还行。', 'star': 5}
{'descr': '房间还不错', 'star': 3}
{'descr': '服务人员非常热情，房间一般，设施有点旧。地理位置好！', 'star': 5}
{'descr': '还可以了', 'star': 3}
{'descr': '房间很大 电视很清晰 频道很多 离五角场也很近 吃的东西很多。 但是 装修比较老，卫生不是很好，房间地板上竟然有个洞！蛮无语的！ 还有就是晚上没有热水 由于住在一楼靠近大堂 那个吵啊！ ', 'star': 5}
{'descr': '特价房不以有没有窗户为标准，而是看靠不靠着电梯，四楼还可以接受，三楼就感觉电梯声音有点儿吵了。', 'star': 5}
{'descr': '莫泰，知名品牌，值得信赖，难能可贵的是特价房是有窗户的。不足是特价房的电梯噪音对于声音敏感的人肯定是不适合的。', 'star': 5}
{'descr': '酒店还好但是因为住在一楼，靠近服务台的，太吵了……每天一早五六点钟被退房的吵醒，特别大声，虽然是特价房吧TUT', 'star': 1}
{'descr': '房间小，物品旧，而且通风不好，还美其名曰中央空调。经常有好多招嫖传单', 'star': 1}
{'descr': '不错，交通方便，离五角场非常近~~很多好吃的好玩的地方~~~离10号线非常近~~~服务也不错', 'star': 5}
{'descr': '不错~房间很大。环境很好，离五角场很近。\n', 'star': 5}
{'descr': '便捷、实惠；便捷、实惠；便捷、实惠；便捷、实惠；便捷、实惠；便捷、实惠；便捷、实惠；', 'star': 5}
{'descr': '性价比很高，酒店环境卫生不错，比想象中的要好，，，值', 'star': 5}
{'descr': '环境很好，前台工作人员的服务态度也很好，还会再来的。', 'star': 5}
{'descr': '...还不错，舒心……', 'star': 3}
{'descr': '网上预定房间和方便', 'star': 3}
{'descr': '虽然有点小，但挺干净，也挺舒服的~≧▽≦)/~', 'star': 3}
{'descr': ' 环境不错 挺干净的 闹中取静', 'star': 3}
{'descr': '非常脏，前面收拾的垃圾都在房间没扔掉。恶心。', 'star': 1}
{'descr': '住的特价双床！地理位置不错！但房间比较小和旧，隔音比较差，花洒水压太小。服务员蛮热情的。还行吧。', 'star': 3}
{'descr': '给我们的房间比较偏 晚上睡着特别冷 在1楼旁边不知道是不是别人家的饭店后门 大早上就开始折腾了 一晚上没怎么睡好', 'star': 1}
{'descr': '虽然没有想象的那么好，不过对住宿要求不高的还是可以的，毕竟在上海这种都市！\n唯一就是给我的房间时最边上的靠近马路，说想换可人家说没有了，晚上开空调外面很响，影响睡眠！以后建议不要选三楼！', 'star': 5}
{'descr': '服务不错，离五角场商业区也很近，如能订到168的特价房就更好了', 'star': 5}
{'descr': '前台服务很好，离五角场很近，非常方便。也挺卫生的，就是装修有点老', 'star': 5}
{'descr': '不推荐特价房，环境不好。啊啊啊啊啊啊20字', 'star': 1}
{'descr': '。 房间很小很烂，非常不满意', 'star': 3}
{'descr': '地理位置很好，出行方便，周围商业设施齐全\n房间整洁干净，服务态度优良', 'star': 5}
{'descr': '环境还算比较整洁，交通比较方便，靠近地铁站。', 'star': 5}
{'descr': '离五角场很近，去机场也方便。房间挺普通，空调温度不高，而且温度不可以调整，感觉挺冷的。我住一楼，觉得房间不隔音，外面挺晚还有人走动。', 'star': 5}
{'descr': '房间干净，不错', 'star': 3}
{'descr': '房间一进去就一股极度恶心的味道扑面而来，房间很多地方发霉，我的床单居然是两色的…拜托洗过没', 'star': 3}
{'descr': '房间内部感觉一般般。但是离五角场真的很近。', 'star': 5}
{'descr': '前台的服务员，一脸的不高兴，好像别人欠他钱一样，而且办理入住和离店的速度很慢。早餐卷是能不给就不给，而且早餐实在是太差了。下次不会来了。', 'star': 1}
{'descr': '还行吧，空间比较宽敞，装修可以，不足就算床单破了个大洞', 'star': 3}
{'descr': '一般,只是因为离办事的地方比较近，如果再选不会选了。', 'star': 1}
{'descr': '交通很方便，到五角场商圈分方便,到机场很便捷', 'star': 3}
{'descr': '订了商务大床房 房间没有想象中的大 装修的也很奇怪 隔音效果很差 一大早就能听到隔壁的吵声和外面清洁员工的讲话以及对讲机里面的声音', 'star': 1}
{'descr': '位置很方便，出门200米就是地铁10号线五角场店，附近吃饭地方很多，在附近办事的住在这很好，就是这次住的地方，窗外都是空调发动机的声音，晚上比较吵！', 'star': 5}
{'descr': '非常好的服務品質我掉下苹果的手机在房内他还我了', 'star': 3}
{'descr': '还不错。', 'star': 3}
{'descr': '交通方便，离地铁站、商场都近；卫生也不错，下次有需要还去', 'star': 5}
{'descr': '酒店距离五角场商圈步行十分钟，交通便利。酒店位子比较隐蔽，不是很好找。 设施有些老旧', 'star': 5}
{'descr': '离办事的地方特近，所以就选择了。非常不错', 'star': 5}
{'descr': '一般般吧  性价比 还可以，就是隔音不太好 晚上不停的能听到别人 开门关门的声音', 'star': 5}
{'descr': '环境差，服务态度不好。装修比较老旧了。我有看到保洁人员用客人用过的浴巾擦地板。想想有点怕怕', 'star': 1}
{'descr': '总体来说还不错，离学校近，早餐也不错，有点吵', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间干净卫生,逛街方便.', 'star': 3}
{'descr': '设施服务都很差，莲蓬头换了两次都是坏的，出水有问题。服务还很差', 'star': 1}
{'descr': '位置及房间环境都还不错，推荐。', 'star': 3}
